BBN_train                               	NFL                                                                                                 	He calls the contracts `` critical to winning in the                                                                                                                                                                                                                                                        	|'' and has played his part in the bidding wars .                                                                                                                                                                                                                                                            
BBN_train                               	Goldman                                                                                             	Rated single-B-1 by Moody 's Investors Service Inc. and single-B-plus by Standard & amp ; Poor 's Corp. , the issue will be sold through underwriters led by                                                                                                                                                	|, Sachs & amp ; Co .                                                                                                                                                                                                                                                                                        
BBN_train                               	Westinghouse Electric                                                                               	Other major issues hitting highs included American Telephone & amp ; Telegraph Co. ,                                                                                                                                                                                                                        	|Corp. , Exxon Corp. and Cigna Corp. , the big insurer .                                                                                                                                                                                                                                                     
BBN_train                               	Skadden Arps                                                                                        	Mr. Wolf has eschewed merger advice from a major Wall Street securities firm , relying instead only on a takeover lawyer , Peter Atkins of                                                                                                                                                                  	|Slate Meagher & amp ; Flom .                                                                                                                                                                                                                                                                                
BBN_train                               	Gannett                                                                                             	Knight-Ridder Inc. is faced with continued uncertainty over the pending joint operating agreement between its Detroit Free Press and                                                                                                                                                                        	|'s Detroit News , and has told analysts that earnings were down in the third quarter .                                                                                                                                                                                                                      
BBN_train                               	The                                                                                                 	                                                                                                                                                                                                                                                                                                            	|Toronto-based real estate concern said each bond warrant entitles the holder to buy C $ 1,000 principal amount of debentures at par plus accrued interest to the date of purchase .                                                                                                                         
BBN_train                               	New York                                                                                            	One employee with the group said RJR moved 11 employees of the group back to                                                                                                                                                                                                                                	|in September because `` there was supposed to be a future . ''                                                                                                                                                                                                                                              
BBN_train                               	New York                                                                                            	The new edition lists the top 10 metropolitan areas as Anaheim-Santa Ana , Calif. ; Boston ; Louisville , Ky. ; Nassau-Suffolk , N.Y. ;                                                                                                                                                                     	|; Pittsburgh ; San Diego ; San Francisco ; Seattle ; and Washington .                                                                                                                                                                                                                                       
BBN_train                               	big                                                                                                 	For one thing , there is an old master on the wall -- `` Samuel Anointing David , '' a                                                                                                                                                                                                                      	|baroque canvas painted by Mattia Preti , a 17th-century Neapolitan .                                                                                                                                                                                                                                        
BBN_train                               	recommendation                                                                                      	Mr. Stevens said he kept a `` buy\/hold ''                                                                                                                                                                                                                                                                  	|on the stock only because `` all the damage has been done . ''                                                                                                                                                                                                                                              
BBN_train                               	big                                                                                                 	The basket products are `` an evolutionary step '' in solving problems in trading                                                                                                                                                                                                                           	|blocks of stock that came to light in the 1987 market crash , said SEC Commissioner Joseph Grundfest .                                                                                                                                                                                                      
BBN_train                               	Ogilvy                                                                                              	The company is expected to spend about $ 30 million a year on its two-year corporate campaign , created by WPP Group 's                                                                                                                                                                                     	|& amp ; Mather unit in New York .                                                                                                                                                                                                                                                                           
BBN_train                               	Dodge                                                                                               	Alongside such long-familiar names as Chevrolet , Ford and                                                                                                                                                                                                                                                  	|are nameplates that did n't exist until three years ago : Acura , Sterling , Hyundai .                                                                                                                                                                                                                      
BBN_train                               	Marine                                                                                              	A former U.S.                                                                                                                                                                                                                                                                                               	|, Mr. Dinkins got off to a quick start in politics , joining a local Democratic political club in the 1950s , linking up with black urban leaders such as Charles Rangel , Basil Paterson and Mr. Sutton , and getting himself elected to the state assembly in 1965 .                                      
BBN_train                               	New York                                                                                            	Copper Michael Frawley , metals trader for PaineWebber Inc. in                                                                                                                                                                                                                                              	|, said there is good technical support between $ 1.10 and $ 1.12 a pound for December copper , which ended Friday at $ 1.1580 a pound , up 1.6 cents .                                                                                                                                                      
BBN_train                               	The                                                                                                 	                                                                                                                                                                                                                                                                                                            	|two companies later agreed to settle for $ 95 million .                                                                                                                                                                                                                                                     
BBN_train                               	Revco                                                                                               	In addition ,                                                                                                                                                                                                                                                                                               	|'s 1,900 stores in 27 states represent a lot of real estate , he said , and demographics are helping pharmacies : The nation 's aging population will boost demand for prescription drugs .                                                                                                                 
BBN_train                               	UAL Corp.                                                                                           	The bid for Great Northern , a notice of which appears in an advertisement in today 's Wall Street Journal , is the first big takeover offer since the collapse of a $ 6.79 billion buy-out of United Airlines parent                                                                                       	|. Oct. 13 .                                                                                                                                                                                                                                                                                                 
BBN_train                               	Bankers Trust                                                                                       	                                                                                                                                                                                                                                                                                                            	|New York Corp. became the latest major U.S. bank to increase reserves for its loans to less-developed countries , making a $ 1.6 billion third-quarter addition to its provision .                                                                                                                          
BBN_train                               	Meredith                                                                                            	In the suit , the department seeks to recover $ 7.7 million in costs incurred when the government terminated its contract with                                                                                                                                                                              	|Relocation and sought other contracts to replace it .                                                                                                                                                                                                                                                       
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------BBN_test                                	United                                                                                              	UAL 's management agreed to reduce the seniority of those pilots in exchange for the support of the                                                                                                                                                                                                         	|pilot union for the buy-out proposal .                                                                                                                                                                                                                                                                      
BBN_test                                	Monsanto                                                                                            	                                                                                                                                                                                                                                                                                                            	|declined to comment .                                                                                                                                                                                                                                                                                       
BBN_test                                	Hertz                                                                                               	A month ago ,                                                                                                                                                                                                                                                                                               	|, of Park Ridge , N.J. , said that it would drop its marketing agreements at year end with Delta , America West and Texas Air Corp. 's Continental Airlines and Eastern Airlines , and that pacts with American Airlines , UAL Inc 's United Airlines and USAir also would be ended ... sometime after Dec. 31 .
BBN_test                                	Turner Broadcasting                                                                                 	-LRB-                                                                                                                                                                                                                                                                                                       	|will pay CBS $ 25 million to air 50 hours of CBS coverage plus 50 hours of additional events . -RRB-                                                                                                                                                                                                        
BBN_test                                	Weatherford                                                                                         	                                                                                                                                                                                                                                                                                                            	|suspended its preferred-dividend payment in October 1985 and said it has n't any plans to catch up on dividends in arrears about $ 6 million , but will do so some time in the future .                                                                                                                     
BBN_test                                	UAL                                                                                                 	The board said it concluded that `` the welfare of the company , its shareholders , its employees and the broader public ... can best be enhanced by continued development of                                                                                                                               	|as a strong , viable , independent company . ''                                                                                                                                                                                                                                                             
BBN_test                                	Reader 's Digest Association Inc                                                                    	Meanwhile , American Health Partners , publisher of American Health magazine , is deep in debt , and Owen Lipstein , founder and managing partner , is being forced to sell the magazine to                                                                                                                 	|.                                                                                                                                                                                                                                                                                                           
BBN_test                                	People 's Daily                                                                                     	China 's top film actress , Liu Xiaoqing , paid $ 4,555 in back taxes and fines in Shandong province , the                                                                                                                                                                                                  	|reported .                                                                                                                                                                                                                                                                                                  
BBN_test                                	PaineWebber                                                                                         	As reported ,                                                                                                                                                                                                                                                                                               	|bought shares Tuesday as part of a customer strategy shift , although the broker 's client was said then to have been Japanese .                                                                                                                                                                            
BBN_test                                	Manville Corp .                                                                                     	Thomas H. Johnson , president of the Coatedboard division of Mead Corp. , was named president of Manville Forest Products Corp. , a Manville unit , and senior vice president of                                                                                                                            	|                                                                                                                                                                                                                                                                                                            
BBN_test                                	De Beers                                                                                            	South Africa 's National Union of Mineworkers agreed to suspend the strike by diamond workers and resume negotiations with De Beers Consolidated Mines Ltd. over their wage dispute ,                                                                                                                       	|said .                                                                                                                                                                                                                                                                                                      
BBN_test                                	Big Board                                                                                           	Early last year , after a 140-point , one-day drop in the Dow , the Big Board instituted the collar , which banned program trading through the                                                                                                                                                              	|'s computers whenever the Dow moved 50 points up or down in a day .                                                                                                                                                                                                                                         
BBN_test                                	Group Bull                                                                                          	Digital Equipment Corp. , Tandem Computers Inc. , NEC Corp. and                                                                                                                                                                                                                                             	|, among others , have similar arrangements with MIPs , based in Sunnyvale , Calif .                                                                                                                                                                                                                         
BBN_test                                	Jaguar PLC                                                                                          	Ford Motor Co. said it acquired 5 % of the shares in                                                                                                                                                                                                                                                        	|.                                                                                                                                                                                                                                                                                                           
BBN_test                                	Neuberger & Berman                                                                                  	`` If you continue to do this , the investor becomes frightened -- any investor : the odd lotter , mutual funds and pension funds , '' says Larry Zicklin , managing partner at                                                                                                                             	|.                                                                                                                                                                                                                                                                                                           
BBN_test                                	NYSE                                                                                                	DIGITAL EQUIPMENT CORP. , Maynard , Mass . , computer maker , annual sales of $ 12.7 billion ,                                                                                                                                                                                                              	|, had structural damage at its San Francisco sales office but no appreciable damage elsewhere in the area , including its Cupertino plant .                                                                                                                                                                 
BBN_test                                	Mesa Petroleum                                                                                      	At the 50 % -leveraged Zenith Income Fund , portfolio manager John Bianchi recently dumped                                                                                                                                                                                                                  	|, Wickes and Horsehead Industries , among others , to raise his cash position to a record 15 % .                                                                                                                                                                                                            
BBN_test                                	UAL                                                                                                 	Investment bankers representing the buy-out group and                                                                                                                                                                                                                                                       	|'s board spent a frantic weekend trying to hammer out new terms that would be more acceptable to the banks .                                                                                                                                                                                                
BBN_test                                	Procter & Gamble                                                                                    	But major packaged-goods players of the world -- such as                                                                                                                                                                                                                                                    	|, Colgate-Palmolive and Unilever -- have steadfastly eluded the agency .                                                                                                                                                                                                                                    
BBN_test                                	Magnascreen                                                                                         	But Peter Brody ,                                                                                                                                                                                                                                                                                           	|'s president , says Japanese companies are poised to snatch the technology and put it to commercial use , just as they did with earlier U.S. innovations in color television and video recording .                                                                                                          
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------FIGER_filtered_with_BBN_test            	Safeway                                                                                             	McClain sat outside                                                                                                                                                                                                                                                                                         	|in heavy gear for the winter weather , selling the small bundle of papers in his hand .                                                                                                                                                                                                                     
FIGER_filtered_with_BBN_test            	SanDisk                                                                                             	According to PhotographyBlog ,                                                                                                                                                                                                                                                                              	|and Lexar have no immediate plans to produce XQD or WiFi SD cards .                                                                                                                                                                                                                                         
FIGER_filtered_with_BBN_test            	Facebook                                                                                            	However , the outage shut down Bridger Bowl for the rest of the day , according to a posting on the ski area 's                                                                                                                                                                                             	|page .                                                                                                                                                                                                                                                                                                      
FIGER_filtered_with_BBN_test            	Safeway                                                                                             	McClain often does this as well — he likes to bake in his spare time and bring food for the employees at                                                                                                                                                                                                    	|as well as Real Change to show his appreciation .                                                                                                                                                                                                                                                           
FIGER_filtered_with_BBN_test            	The Times                                                                                           	                                                                                                                                                                                                                                                                                                            	|also reported in December that the investment group is headed by San Francisco hedge-fund manager Christopher Hansen , who has family ties to Seattle .                                                                                                                                                     
FIGER_filtered_with_BBN_test            	The Seattle Times                                                                                   	In an interview with                                                                                                                                                                                                                                                                                        	|, Balth said his intention in his art is “ to come to the heart of seeing , the core of perception . ”                                                                                                                                                                                                      
FIGER_filtered_with_BBN_test            	The Seattle Times                                                                                   	The council knew nothing of Hirsh 's hiring , nor of the mayor 's discussions with a potential investment group that has acquired property in the Sodo District , until                                                                                                                                     	|in December was about to report that the city was examining an " opportunity " to bring an NBA team to Seattle .                                                                                                                                                                                            
FIGER_filtered_with_BBN_test            	NHL                                                                                                 	" I understand the challenges of KeyArena and the economics of the NBA and                                                                                                                                                                                                                                  	|, " Hirsh said Friday .                                                                                                                                                                                                                                                                                     
FIGER_filtered_with_BBN_test            	Hansen                                                                                              	A limited liability corporation headed by                                                                                                                                                                                                                                                                   	|recently purchased 3 acres on the east side of Occidental Avenue South between South Massachusetts and South Holgate streets .                                                                                                                                                                              
FIGER_filtered_with_BBN_test            	The Seattle Times                                                                                   	                                                                                                                                                                                                                                                                                                            	|requested copies of the consultants ' contracts under the state Public Records Act in December .                                                                                                                                                                                                            
FIGER_filtered_with_BBN_test            	Safeway                                                                                             	Outside                                                                                                                                                                                                                                                                                                     	|in the U-District , students pass by the man sitting by the doors .                                                                                                                                                                                                                                         
FIGER_filtered_with_BBN_test            	Real Change                                                                                         	Employees of                                                                                                                                                                                                                                                                                                	|work as their own bosses .                                                                                                                                                                                                                                                                                  
FIGER_filtered_with_BBN_test            	Safeway                                                                                             	Sara Osborne ,                                                                                                                                                                                                                                                                                              	|’s public and government affairs director , said the store has had one or two complaints over the years regarding customers disliking McClain ’s solicitation outside the store , but she said it has been years since they ’ve received a complaint .                                                      
FIGER_filtered_with_BBN_test            	Sony                                                                                                	Speaking at CES , both companies have no plans to jump to the new formats in the near future , and Lexar pointed out that its new 1000x card is faster than                                                                                                                                                 	|'s XQD .                                                                                                                                                                                                                                                                                                    
FIGER_filtered_with_BBN_test            	NBA                                                                                                 	" I understand the challenges of KeyArena and the economics of the                                                                                                                                                                                                                                          	|and NHL , " Hirsh said Friday .                                                                                                                                                                                                                                                                             
FIGER_filtered_with_BBN_test            	Sony                                                                                                	                                                                                                                                                                                                                                                                                                            	|has now announced that they 're creating a new line of high-speed SD cards .                                                                                                                                                                                                                                
FIGER_filtered_with_BBN_test            	Real Change                                                                                         	McClain often does this as well — he likes to bake in his spare time and bring food for the employees at Safeway as well as                                                                                                                                                                                 	|to show his appreciation .                                                                                                                                                                                                                                                                                  
FIGER_filtered_with_BBN_test            	Safeway                                                                                             	McClain began his work outside                                                                                                                                                                                                                                                                              	|in the beginning of his 50s .                                                                                                                                                                                                                                                                               
FIGER_filtered_with_BBN_test            	Safeway                                                                                             	She said there have been cases in which McClain will chase down shoplifters from                                                                                                                                                                                                                            	|.                                                                                                                                                                                                                                                                                                           
FIGER_filtered_with_BBN_test            	Sony                                                                                                	Starting at $ 44.99 a pop ,                                                                                                                                                                                                                                                                                 	|has also treated them to be water resistant , and will have them on shelves in March .                                                                                                                                                                                                                      
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------OntoNotes_filtered_with_BBN_test        	General Motors Corp.                                                                                	                                                                                                                                                                                                                                                                                                            	|, in a series of moves that angered union officials in the U.S. and Canada , has signaled that as many as five North American assembly plants may not survive the mid-1990s as the corporation struggles to cut its excess vehicle - making capacity .                                                      
OntoNotes_filtered_with_BBN_test        	Ford Motor Co.                                                                                      	                                                                                                                                                                                                                                                                                                            	|said it acquired 5 % of the shares in Jaguar PLC .                                                                                                                                                                                                                                                          
OntoNotes_filtered_with_BBN_test        	HOFI 's                                                                                             	But                                                                                                                                                                                                                                                                                                         	|first offer would have given Ideal 's other shareholders about 10 % of the combined company .                                                                                                                                                                                                               
OntoNotes_filtered_with_BBN_test        	the number of private industries and private commerce in the total number of private enterprises    	The proportion of                                                                                                                                                                                                                                                                                           	|and employed people of the whole city is respectively 76.33 % and 78.32 % , the number of recently opened private enterprises are continually increasing .                                                                                                                                                  
OntoNotes_filtered_with_BBN_test        	pension funds                                                                                       	Unlike mutual funds , which can be forced to sell stockholdings when investors rush to withdraw money , big investors such as                                                                                                                                                                               	|and insurance companies can decide to ride out market storms without jettisoning stock .                                                                                                                                                                                                                    
OntoNotes_filtered_with_BBN_test        	more investors                                                                                      	Mr. Weisman predicts stocks will appear to stabilize in the next few days before declining again , trapping                                                                                                                                                                                                 	|.                                                                                                                                                                                                                                                                                                           
OntoNotes_filtered_with_BBN_test        	Bozell Inc.                                                                                         	The Samsung Group and                                                                                                                                                                                                                                                                                       	|agreed to establish a joint venture advertising agency in South Korea .                                                                                                                                                                                                                                     
OntoNotes_filtered_with_BBN_test        	Backer Spielvogel                                                                                   	Mr. Spielvogel had said that Prudential - Bache was prepared to finance either a management buy - out and restructuring , or a buy - out of                                                                                                                                                                 	|alone , led by him .                                                                                                                                                                                                                                                                                        
OntoNotes_filtered_with_BBN_test        	wholesalers                                                                                         	Bolar , the subject of a criminal investigation by the FDA and the Inspector General 's office of the Health and Human Services Department , only agreed to recall two strengths of its version of Macrodantin `` as far down as direct customers , mostly                                                  	|, '' Mr. Nesbit said .                                                                                                                                                                                                                                                                                      
OntoNotes_filtered_with_BBN_test        	The Wangma Computer Company                                                                         	                                                                                                                                                                                                                                                                                                            	|was named for the Wubi font , the coding method of Chinese characters invented by the famous computer expert - Yongmin Wang .                                                                                                                                                                               
OntoNotes_filtered_with_BBN_test        	the Boston office of Hill , Holliday , Connors , Cosmopulos                                         	Royal Crown Cola Co. has ended its relationship with                                                                                                                                                                                                                                                        	|.                                                                                                                                                                                                                                                                                                           
OntoNotes_filtered_with_BBN_test        	insurers                                                                                            	Pension funds ,                                                                                                                                                                                                                                                                                             	|and other behemoths of the investing world said they began scooping up stocks during Friday 's market rout .                                                                                                                                                                                                
OntoNotes_filtered_with_BBN_test        	Pontiac                                                                                             	At                                                                                                                                                                                                                                                                                                          	|, however , the Camaro - Firebird decision appears to erase UAW hopes that GM would reopen the shuttered assembly plant that last built the plastic - bodied , two - seater Pontiac Fiero model .                                                                                                           
OntoNotes_filtered_with_BBN_test        	Companies with which GEC has had talks about a possible joint Ferranti bid                          	                                                                                                                                                                                                                                                                                                            	|include Matra , Britain 's Dowty Group PLC , West Germany 's Daimler - Benz AG , and France 's Dassault group .                                                                                                                                                                                             
OntoNotes_filtered_with_BBN_test        	GEC and its potential partners                                                                      	But it may be weeks before                                                                                                                                                                                                                                                                                  	|decide whether to bid , the source indicated .                                                                                                                                                                                                                                                              
OntoNotes_filtered_with_BBN_test        	the combined company                                                                                	But HOFI 's first offer would have given Ideal 's other shareholders about 10 % of                                                                                                                                                                                                                          	|.                                                                                                                                                                                                                                                                                                           
OntoNotes_filtered_with_BBN_test        	the Gansu provincial branch                                                                         	On the basis of meeting the needs of economic development and overseas investors ,                                                                                                                                                                                                                          	|of the People 's Insurance Company of China Group caters to foreign businessmen 's requirements , providing whole - process insurance which extends from the import of equipment to its transportation , and from installation to the formation of fixed assets , thus helping foreign businessmen to set their minds at ease .
OntoNotes_filtered_with_BBN_test        	News Corp. 's TV Guide                                                                              	In recent years , Reader 's Digest , New York Times Co. 's McCall 's , and most recently                                                                                                                                                                                                                    	|, have cut their massive circulation rate bases to eliminate marginal circulation and hold down rates for advertisers .                                                                                                                                                                                     
OntoNotes_filtered_with_BBN_test        	China - capital financial institutions approved by the Foreign Exchange Management Bureau to operate foreign exchange loan business	The National Foreign Exchange Management Bureau clearly stipulated in the new method that , domestic institutions borrowing international commercial loans externally are only limited to :                                                                                                                 	|; juridical people of non-financial corporations approved by the State Department 's Authorization Department .                                                                                                                                                                                             
OntoNotes_filtered_with_BBN_test        	institutional investors                                                                             	`` The last crash taught                                                                                                                                                                                                                                                                                    	|that they have to be long - term holders , and that they ca n't react to short - term events , good or bad , '' said Stephen L. Nesbitt , senior vice president for the pension consultants Wilshire Associates in Santa Monica , Calif .                                                                   
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------Choi_filtered_with_BBN_test             	it                                                                                                  	" The cost and scarcity of project funding have delayed many power investment decisions , and ABB is unable to precisely forecast when the various government stimulus programmes will have an impact or when the availability of funding will improve , "                                                  	|added .                                                                                                                                                                                                                                                                                                     
Choi_filtered_with_BBN_test             	companies that caused the economic meltdown                                                         	Bin Laden also slammed financial bailouts set up by wealthy countries to help big industry cope with the global financial crisis , saying the programmes helped                                                                                                                                             	|.                                                                                                                                                                                                                                                                                                           
Choi_filtered_with_BBN_test             	it                                                                                                  	Dell said                                                                                                                                                                                                                                                                                                   	|earned 762 million dollars , or 33 cents a share , in line with a reduced forecast Dell gave on May 8 , when the company blamed an aggressive pricing environment for the shortfall .                                                                                                                       
Choi_filtered_with_BBN_test             	it                                                                                                  	The spokesman , Anuj Nayar , said PayPal is taking the step while                                                                                                                                                                                                                                           	|answers questions that have arisen about the service .                                                                                                                                                                                                                                                      
Choi_filtered_with_BBN_test             	it                                                                                                  	Eurostat said output fell in all euro nations where                                                                                                                                                                                                                                                         	|had data , with Finland booking the sharpest drop at 23.2 percent .                                                                                                                                                                                                                                         
Choi_filtered_with_BBN_test             	They                                                                                                	``                                                                                                                                                                                                                                                                                                          	|'ve been slammed left , right and center _ there 's a flight to quality in the market , '' Sekely said .                                                                                                                                                                                                    
Choi_filtered_with_BBN_test             	The company                                                                                         	                                                                                                                                                                                                                                                                                                            	|said the mine was no longer viable and recorded a $ 7.2 million charge .                                                                                                                                                                                                                                    
Choi_filtered_with_BBN_test             	it                                                                                                  	The airline said early Thursday                                                                                                                                                                                                                                                                             	|had canceled 15 inbound and 24 outbound flights , but a spokeswoman later said it had canceled 28 flights in all .                                                                                                                                                                                          
Choi_filtered_with_BBN_test             	it                                                                                                  	Despite being a budget carrier ,                                                                                                                                                                                                                                                                            	|will offer a business class section , the statement said .                                                                                                                                                                                                                                                  
Choi_filtered_with_BBN_test             	it                                                                                                  	Sony also said                                                                                                                                                                                                                                                                                              	|will reorganize its electronics and games divisions to better integrate the company 's sprawling businesses .                                                                                                                                                                                               
Choi_filtered_with_BBN_test             	they                                                                                                	The announcement comes after Europe 's competition watchdog Tuesday slapped a fine totalling almost 800 million euros ( 1.1 billion US dollars ) on the 11 airlines after finding                                                                                                                           	|had coordinated pricing on their cargo business .                                                                                                                                                                                                                                                           
Choi_filtered_with_BBN_test             	We                                                                                                  	``                                                                                                                                                                                                                                                                                                          	|await ( the panel 's ) findings and recommendations of what , if anything , can be done to improve the rudder system , '' Boeing spokesman Russ Young said .                                                                                                                                                
Choi_filtered_with_BBN_test             	Budd Company                                                                                        	Train buffs have noticed a resemblance between the M3 -LRB- a type of subway car built by the                                                                                                                                                                                                               	|for Philadelphia 's public transportation system -RRB- and this popular candy , due to humps in the roof containing ventilation fans .                                                                                                                                                                      
Choi_filtered_with_BBN_test             	it                                                                                                  	At the same time ,                                                                                                                                                                                                                                                                                          	|plans the use digital audience polling as a way to improve the company 's odds for releasing commercially successful CDs .                                                                                                                                                                                  
Choi_filtered_with_BBN_test             	We                                                                                                  	``                                                                                                                                                                                                                                                                                                          	|'ve made an investment in Corel that I think is completely beneficial to us and to consumers , '' Ballmer said Wednesday .                                                                                                                                                                                  
Choi_filtered_with_BBN_test             	it                                                                                                  	Generally in North America , the company said                                                                                                                                                                                                                                                               	|had strong volume growth in detergents and most food operations .                                                                                                                                                                                                                                           
Choi_filtered_with_BBN_test             	it                                                                                                  	But the company added that                                                                                                                                                                                                                                                                                  	|has found no contamination in the road tanker , nor in a holding tank in Glasgow , and any risk is therefore `` theoretical . ''                                                                                                                                                                            
Choi_filtered_with_BBN_test             	it                                                                                                  	Spanish builder Sacyr signs deals in Libya MADRID , Oct 21 , 2009 ( AFP ) Spanish construction and services firm Sacyr Vallehermoso said Wednesday                                                                                                                                                          	|had signed two contracts worth 300 million euros to build homes and public works in Libya through its subisidiary Svlidco .                                                                                                                                                                                 
Choi_filtered_with_BBN_test             	Sotheby 's International branches                                                                   	In October , agents from 11                                                                                                                                                                                                                                                                                 	|will descend on Hong Kong 's convention center to regale wealthy buyers there with slick visuals on showcase properties .                                                                                                                                                                                   
Choi_filtered_with_BBN_test             	FEMSA                                                                                               	In 1994                                                                                                                                                                                                                                                                                                     	|sold a 22 percent share of its beer business to John Labatt Ltd. of Canada and signed an agreement with Labatt to associate their respective companies in the United States .                                                                                                                               
