BBN_train                               	Senate                                                                                              	The broader question is where the                                                                                                                                                                                                                                                                           	|stands on the issue .                                                                                                                                                                                                                                                                                       
BBN_train                               	federal                                                                                             	Interest on the bonds will be treated as a preference item in calculating the                                                                                                                                                                                                                               	|alternative minimum tax that may be imposed on certain investors .                                                                                                                                                                                                                                          
BBN_train                               	supports                                                                                            	The contract provides additional equipment for Northrop , the prime contractor on the missile , and also                                                                                                                                                                                                    	|a 1990 purchase of 90 missiles for follow-on flight tests .                                                                                                                                                                                                                                                 
BBN_train                               	mayoral                                                                                             	Names of possible deputies that have surfaced include former                                                                                                                                                                                                                                                	|candidate Richard Ravitch , former schools chancellor Frank Macchiarola and Messrs. Leventhal and Gliedman .                                                                                                                                                                                                
BBN_train                               	officials                                                                                           	Dataproducts                                                                                                                                                                                                                                                                                                	|declined to comment , and said they had not yet seen a suit filed in federal court by DPC Acquisition that seeks to nullify a standstill agreement between DPC Acquisition and Dataproducts .                                                                                                               
BBN_train                               	general manager                                                                                     	He also rejected reports that his departure stemmed from disappointment the                                                                                                                                                                                                                                 	|'s post had n't also led to a board directorship at the London-based news organization .                                                                                                                                                                                                                    
BBN_train                               	Judges                                                                                              	Six years ago , Judge O'Kicki was voted president of the Pennsylvania Conference of State Trial                                                                                                                                                                                                             	|by the state 's 400 judges .                                                                                                                                                                                                                                                                                
BBN_train                               	The                                                                                                 	                                                                                                                                                                                                                                                                                                            	|bureau 's report also showed that while some measures of the nation 's economic well-being improved modestly in 1988 , the fruits of prosperity were shared less equitably than the year before .                                                                                                           
BBN_train                               	Carlos                                                                                              	                                                                                                                                                                                                                                                                                                            	|A. Salvagni , vice president , pharmaceutical manufacturing , will assume responsibility for manufacturing in Kalamazoo , Mich. , effective Nov. 1 .                                                                                                                                                        
BBN_train                               	George Mitchell                                                                                     	Senate Majority Leader                                                                                                                                                                                                                                                                                      	|( D. , Maine ) said yesterday on NBC-TV 's `` Meet the Press '' that Mr. Ortega 's threat was `` a very unwise move , particularly the timing of it . ''                                                                                                                                                    
BBN_train                               	Congress                                                                                            	The issue of seeking relief from                                                                                                                                                                                                                                                                            	|was raised to Delbert Staley , the chairman of Nynex .                                                                                                                                                                                                                                                      
BBN_train                               	man                                                                                                 	Messrs. Guber and Peters assiduously courted the                                                                                                                                                                                                                                                            	|'s widow for months , showing her a tape of `` Gorillas in the Mist '' to impress her with the quality of their work .                                                                                                                                                                                      
BBN_train                               	scientists                                                                                          	A potentially safer whooping cough vaccine made by novel genetic engineering techniques was described by a team of Italian , U.S. and Japanese                                                                                                                                                              	|.                                                                                                                                                                                                                                                                                                           
BBN_train                               	vice president                                                                                      	Alan Nymark , executive                                                                                                                                                                                                                                                                                     	|of Investment Canada , which oversees foreign takeovers , said it marked the first time in its four-year history that the agency has made an adverse net-benefit decision about the acquisition of a publicly traded company .                                                                              
BBN_train                               	Mr                                                                                                  	An investment in Chile 's telephone company is carried at US $ 300 million but really worth US $ 500 million , and the company 's property portfolio is undervalued by at least A $ 250 million ,                                                                                                           	|. Bond said .                                                                                                                                                                                                                                                                                               
BBN_train                               	lawmakers                                                                                           	The Section 89 victory could have a downside by making it harder to oppose                                                                                                                                                                                                                                  	|on other health proposals .                                                                                                                                                                                                                                                                                 
BBN_train                               	announcing                                                                                          	Abraham Lincoln Federal Savings Bank sank 4 to 13 after                                                                                                                                                                                                                                                     	|a shakeup that will change senior management and reorganize the bank 's mortgage business as a separate unit .                                                                                                                                                                                              
BBN_train                               	Attorney                                                                                            	Food and Drug Administration spokesman Jeff Nesbit said the agency has turned over evidence in a criminal investigation concerning Vitarine Pharmaceuticals Inc. to the U.S.                                                                                                                                	|'s office in Baltimore .                                                                                                                                                                                                                                                                                    
BBN_train                               	executives                                                                                          	Since commercial airline flights were disrupted , the company chartered three planes to fly these                                                                                                                                                                                                           	|back to the West Coast and bring along portable computers , cellular phones and some claims adjusters .                                                                                                                                                                                                     
BBN_train                               	The                                                                                                 	                                                                                                                                                                                                                                                                                                            	|Thurmond bill would also add five new crimes punishable by death , including murder for hire .                                                                                                                                                                                                              
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------BBN_test                                	Crane                                                                                               	Mr.                                                                                                                                                                                                                                                                                                         	|did n't return a call seeking comment .                                                                                                                                                                                                                                                                     
BBN_test                                	Bush                                                                                                	The White House said the shipboard meetings next month between                                                                                                                                                                                                                                              	|and Soviet leader Gorbachev will take place in the waters off Malta .                                                                                                                                                                                                                                       
BBN_test                                	Hillary                                                                                             	`` Foothills wants to make it clear to other pipeline companies that it 's on first insofar as transporting gas from the Arctic to southern markets , '' Mr.                                                                                                                                                	|said .                                                                                                                                                                                                                                                                                                      
BBN_test                                	Front                                                                                               	On the one hand , Mr.                                                                                                                                                                                                                                                                                       	|says , it would be misguided to sell into `` a classic panic . ''                                                                                                                                                                                                                                           
BBN_test                                	Charles Gardner                                                                                     	                                                                                                                                                                                                                                                                                                            	|, a former Unisys vice president , and James Neal , a former company consultant , have admitted participating in this and other bribery schemes .                                                                                                                                                           
BBN_test                                	Breene                                                                                              	In an interview in New York , Mr.                                                                                                                                                                                                                                                                           	|, fresh from a Concorde flight from Paris where executives had worked through most of the night , outlined big plans for the new agency .                                                                                                                                                                   
BBN_test                                	Zapfel                                                                                              	`` But I 'm not one of these great dollar bears you see more of these days , '' Mr.                                                                                                                                                                                                                         	|said .                                                                                                                                                                                                                                                                                                      
BBN_test                                	Fleckenstein                                                                                        	As a result , Mr.                                                                                                                                                                                                                                                                                           	|says , `` I think the ball game 's over , '' and investors are about to face a bear market .                                                                                                                                                                                                                
BBN_test                                	Peter                                                                                               	Jeffrey ,                                                                                                                                                                                                                                                                                                   	|, Joseph Jr. , William and Joseph Sr. constitute the company 's board .                                                                                                                                                                                                                                     
BBN_test                                	Joseph                                                                                              	Jeffrey Coors , 44 years old , had been president since 1985 , when he succeeded his father                                                                                                                                                                                                                 	|in the job .                                                                                                                                                                                                                                                                                                
BBN_test                                	Joseph                                                                                              	Jeffrey , Peter , Joseph Jr. , William and                                                                                                                                                                                                                                                                  	|Sr. constitute the company 's board .                                                                                                                                                                                                                                                                       
BBN_test                                	Glenn R. Crane                                                                                      	Crane & Co. Securities Inc. , of Mount Clemens , Mich. , and its president ,                                                                                                                                                                                                                                	|, of Sterling Heights , Mich. , consented to a joint fine of $ 10,000 .                                                                                                                                                                                                                                     
BBN_test                                	Pilson                                                                                              	Mr.                                                                                                                                                                                                                                                                                                         	|says that when he spoke out a few years ago , `` I did n't say forever , and I did n't say every property . ''                                                                                                                                                                                              
BBN_test                                	Andrew Shore                                                                                        	Nearly 70 % of cosmetics sales come through mass-distribution outlets such as drug stores and supermarkets , according to                                                                                                                                                                                   	|, an analyst at Shearson Lehman Hutton Inc .                                                                                                                                                                                                                                                                
BBN_test                                	Keizaikai                                                                                           	After a slick redesign , the two-year-old magazine has been relaunched this month by its parent company ,                                                                                                                                                                                                   	|Corp. , the Tokyo-based company with interests that include financial services , book publishing and a tourist agency .                                                                                                                                                                                     
BBN_test                                	Bush                                                                                                	And even some last-minute phone calls that Mr.                                                                                                                                                                                                                                                              	|made -LRB- at the behest of some conservative U.S. senators -RRB- to enlist backing for the U.S. position failed to stop the march of Mr. Arias 's agenda .                                                                                                                                                 
BBN_test                                	George S. Watson                                                                                    	Mr. Reed admitted he conspired to conceal an agreement not to enforce loan guarantees executed by Dallas real-estate developers A. Starke Taylor III and                                                                                                                                                    	|, both of whom were FirstSouth stockholders .                                                                                                                                                                                                                                                               
BBN_test                                	Boyd                                                                                                	Last season , Hartford Stage director Mark Lamos mounted a production at Lincoln Center , and currently two other productions -- one just closed at the Old Globe in San Diego and another now at the Seattle Rep -- overlap with Mr.                                                                       	|'s .                                                                                                                                                                                                                                                                                                        
BBN_test                                	Mike Durcan                                                                                         	`` The problem is , if people get down in the dumps , they stop selling , '' says                                                                                                                                                                                                                           	|, a laid-off sales manager in Wang 's Austin office .                                                                                                                                                                                                                                                       
BBN_test                                	William Kohut                                                                                       	He succeeds                                                                                                                                                                                                                                                                                                 	|, who resigned earlier this year .                                                                                                                                                                                                                                                                          
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------FIGER_filtered_with_BBN_test            	William Heisel                                                                                      	“ Seattle is one of the capitals of global health , and yet there are n’t enough young people aware of the opportunities to do something positive with their lives and to actually have a career working in global health , ” said                                                                          	|, a representative at the Institute for Health Metrics and Evaluation ( IHME ) .                                                                                                                                                                                                                            
FIGER_filtered_with_BBN_test            	E. Virginia Armbrust                                                                                	Other newly elected , UW-based fellows include                                                                                                                                                                                                                                                              	|of the School of Oceanography , Neil M. Nathanson of the Department of Pharmacology , Danny Shen and Jashvant Unadkat of the School of Pharmacy , and Michael Schick of the Department of Physics .                                                                                                         
FIGER_filtered_with_BBN_test            	Hirsh                                                                                               	Clark said she appreciated that the contract with                                                                                                                                                                                                                                                           	|included protecting the city 's financial interest and evaluating any proposal .                                                                                                                                                                                                                            
FIGER_filtered_with_BBN_test            	Regina Rogers                                                                                       	The biggest cause for concern for McGuff is the bruised hamstring                                                                                                                                                                                                                                           	|suffered against Utah last Saturday .                                                                                                                                                                                                                                                                       
FIGER_filtered_with_BBN_test            	Chiu                                                                                                	Currently , Gamelin is researching the synthesis of nanomaterials ;                                                                                                                                                                                                                                         	|is working on manipulation of matter with lasers ; and Goldberg is exploring inorganic catalysis , where she seeks to find more efficient ways of catalyzing chemical reactions .                                                                                                                           
FIGER_filtered_with_BBN_test            	Councilmember Richard Conlin                                                                        	But if they [ the Mayor 's Office ] felt this was important enough to enter into a contract , I think it would have been appropriate to notify the council at that point , " said                                                                                                                           	|.                                                                                                                                                                                                                                                                                                           
FIGER_filtered_with_BBN_test            	McGuff                                                                                              	                                                                                                                                                                                                                                                                                                            	|, though , cautioned putting too much emphasis on the streak in his first foray into the cross-state rivalry .                                                                                                                                                                                              
FIGER_filtered_with_BBN_test            	Wieczorek ’s                                                                                        	A colloquium tomorrow , Jan. 13 , at 6 p.m. , will include presentations from four or five of                                                                                                                                                                                                               	|former students before the exhibition tours .                                                                                                                                                                                                                                                               
FIGER_filtered_with_BBN_test            	Cho                                                                                                 	Han is suspected of being an assistant madam at the Blue Moon , and                                                                                                                                                                                                                                         	|is a former manager , according to prosecutors .                                                                                                                                                                                                                                                            
FIGER_filtered_with_BBN_test            	Judge Main                                                                                          	That was before the Enterprise was notified that                                                                                                                                                                                                                                                            	|had declared a mistrial .                                                                                                                                                                                                                                                                                   
FIGER_filtered_with_BBN_test            	Galbraith                                                                                           	“ [ The Art Center ] is a place to go for children to create something , get off the streets , and clean up , ”                                                                                                                                                                                             	|said .                                                                                                                                                                                                                                                                                                      
FIGER_filtered_with_BBN_test            	Cho                                                                                                 	Investigators suspect                                                                                                                                                                                                                                                                                       	|is in the Los Angeles area .                                                                                                                                                                                                                                                                                
FIGER_filtered_with_BBN_test            	Rogers ’                                                                                            	Alone ,                                                                                                                                                                                                                                                                                                     	|potential absence would be a major , but bearable blow .                                                                                                                                                                                                                                                    
FIGER_filtered_with_BBN_test            	Hopkins                                                                                             	                                                                                                                                                                                                                                                                                                            	|explained this year ’s elected fellows were an especially varied group .                                                                                                                                                                                                                                    
FIGER_filtered_with_BBN_test            	Marek Wieczorek                                                                                     	                                                                                                                                                                                                                                                                                                            	|, UW associate professor of art history , remembers his first exhibition well : In 1989 , he curated “ The Desire of the Museum ” at the Whitney Museum in New York .                                                                                                                                       
FIGER_filtered_with_BBN_test            	Shebeck                                                                                             	                                                                                                                                                                                                                                                                                                            	|said Northrop had three children when he went to prison .                                                                                                                                                                                                                                                   
FIGER_filtered_with_BBN_test            	Judge Main                                                                                          	" This afternoon                                                                                                                                                                                                                                                                                            	|granted a defense motion for a mistrial , " county Court Clerk Bruce Cox said in a message left with the Enterprise .                                                                                                                                                                                       
FIGER_filtered_with_BBN_test            	Amy Shebeck                                                                                         	UW law students                                                                                                                                                                                                                                                                                             	|, Thomas Hudson , Caroline Bercier , and Michael Windle will testify during the House Committee on Judiciary ’s public hearing today .                                                                                                                                                                      
FIGER_filtered_with_BBN_test            	Rogers                                                                                              	Unlike the Huskies , who of late have mainly relied on                                                                                                                                                                                                                                                      	|and point guard Jazmine Davis to carry the scoring load , they have no real offensive pecking order .                                                                                                                                                                                                       
FIGER_filtered_with_BBN_test            	Winn                                                                                                	                                                                                                                                                                                                                                                                                                            	|said he was not upset the bill was being tabled because it gives the community time to review the idea of forming a new commission before making a decision .                                                                                                                                               
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------OntoNotes_filtered_with_BBN_test        	Juridical people                                                                                    	                                                                                                                                                                                                                                                                                                            	|of non-financial institutions who borrow international commercial loans directly must possess these several conditions , that is , have continual profits for the last three years , have import and export business permission , belong to a national encouraged industry ; possess a complete financial management system ; must have a ratio of net assets to total assets not lower than 15 % for juridical people of trade - type non-financial corporations , must have ratios of net assets to total assets not lower than 30 % for juridical people of non trade - type non-financial corporations ; must have a total sum of international business loans borrowed and foreign guarantee surpluses not exceeding 50 % of net asset 's equivalent foreign exchange worth ; must have total of foreign exchange loan and foreign exchange guarantee surplus not exceeding the amount of exchange created in the previous year .
OntoNotes_filtered_with_BBN_test        	Premier Peng Li                                                                                     	On the invitation of Prime Minister Mahathir of Malaysia ,                                                                                                                                                                                                                                                  	|arrived in Malaysia on the afternoon of December 10th , 1990 to carry out a friendly official visit .                                                                                                                                                                                                       
OntoNotes_filtered_with_BBN_test        	Mr. Lantos 's                                                                                       	No ,                                                                                                                                                                                                                                                                                                        	|complaints simply wo n't wash .                                                                                                                                                                                                                                                                             
OntoNotes_filtered_with_BBN_test        	Rosie                                                                                               	                                                                                                                                                                                                                                                                                                            	|died young and Lily has remembered her as a romantic figure , who did n't interfere much with her child 's education on the streets .                                                                                                                                                                       
OntoNotes_filtered_with_BBN_test        	A spokesman for the U.S. Attorney 's office                                                         	                                                                                                                                                                                                                                                                                                            	|said extradition proceedings are `` just beginning '' for the other two defendants in the case , Eric Anthony Abrahams , former Jamaican tourism minister , and Jamaican businessman Arnold Foote Jr .                                                                                                      
OntoNotes_filtered_with_BBN_test        	the famous computer expert - Yongmin Wang                                                           	The Wangma Computer Company was named for the Wubi font , the coding method of Chinese characters invented by                                                                                                                                                                                               	|.                                                                                                                                                                                                                                                                                                           
OntoNotes_filtered_with_BBN_test        	Ronald Reagan                                                                                       	Here 's what                                                                                                                                                                                                                                                                                                	|said after the 1987 crash : `` The underlying economy remains sound .                                                                                                                                                                                                                                       
OntoNotes_filtered_with_BBN_test        	Brown                                                                                               	Today ,                                                                                                                                                                                                                                                                                                     	|separately attended the signing of a 20 - year joint investment agreement between a world famous power plant equipment manufacturer -- the US 's Westinghouse Company and the Shanghai Electric Group ; and the signing of a joint investment agreement between the US 's General Electric Capital Company and the Shanghai Electricity Company to jointly invest in and establish a combustible engine electric power generation company .
OntoNotes_filtered_with_BBN_test        	reporter                                                                                            	Xinhua News Agency , Lanzhou , February 15 , by wire -LRB-                                                                                                                                                                                                                                                  	|Zhi Qu -RRB-                                                                                                                                                                                                                                                                                                
OntoNotes_filtered_with_BBN_test        	directors of McKesson , which has an 86 % stake in PCS                                              	Messrs. Malson and Seelenfreund are                                                                                                                                                                                                                                                                         	|.                                                                                                                                                                                                                                                                                                           
OntoNotes_filtered_with_BBN_test        	flower farmers                                                                                      	In the countryside of southern Guangdong , this reporter learned that vegetable plots have an abundance of green and lush western lettuce , western celery , western cauliflower ; fish ponds have an abundance of vigorous Californian perch , whitish pomfret ; while                                     	|take care of lovely western flowers such as Dutch tulips , Belgium azalea , etc .                                                                                                                                                                                                                           
OntoNotes_filtered_with_BBN_test        	one - fourth                                                                                        	Despite their considerable incomes and assets , 40 % of the respondents in the study do n't feel financially secure , and                                                                                                                                                                                   	|do n't feel that they have made it .                                                                                                                                                                                                                                                                        
OntoNotes_filtered_with_BBN_test        	president of the New York - based Petroleum Industry Research Foundation                            	Canada 's current oil exports to the U.S. total about 600,000 barrels a day , or about 9.1 % of net U.S. crude imports , said John Lichtblau ,                                                                                                                                                              	|.                                                                                                                                                                                                                                                                                                           
OntoNotes_filtered_with_BBN_test        	Meredith Willson 's                                                                                 	More than 30 years ago , Prof. Harold Hill , the con man in                                                                                                                                                                                                                                                 	|`` The Music Man , '' warned the citizens of River City , Iowa , against the game .                                                                                                                                                                                                                         
OntoNotes_filtered_with_BBN_test        	president                                                                                           	James Robinson , 57 years old , was elected                                                                                                                                                                                                                                                                 	|and chief executive officer of this maker of magnetic recording heads for disk drives .                                                                                                                                                                                                                     
OntoNotes_filtered_with_BBN_test        	The four justices                                                                                   	                                                                                                                                                                                                                                                                                                            	|are no newcomers to dissent , often joining forces in the past decade to criticize the court 's conservative drift .                                                                                                                                                                                        
OntoNotes_filtered_with_BBN_test        	Charles Finnie                                                                                      	This year has been difficult for both Hertz and Avis , said                                                                                                                                                                                                                                                 	|, car - rental industry analyst at Alex . Brown & Sons .                                                                                                                                                                                                                                                    
OntoNotes_filtered_with_BBN_test        	a new chief executive officer                                                                       	But the beleaguered British advertising and consulting giant , which last week named                                                                                                                                                                                                                        	|to replace Maurice Saatchi , has been the subject of intense takeover speculation for weeks .                                                                                                                                                                                                               
OntoNotes_filtered_with_BBN_test        	Lily                                                                                                	Maybe                                                                                                                                                                                                                                                                                                       	|became so obsessed with where people slept and how because her own arrangements kept shifting .                                                                                                                                                                                                             
OntoNotes_filtered_with_BBN_test        	A reporter                                                                                          	                                                                                                                                                                                                                                                                                                            	|asked : on August 23rd , the US president signed the '' 1995 financial year overseas activities fund appropriation act '' in which it is stipulated that any donation made by the US to the UN population fund must not be used in China .                                                                  
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------Choi_filtered_with_BBN_test             	other anarchists , notably Murray Bookchin , whose polemic , Social Anarchism Or Lifestyle Anarchism : An Unbridgeable Chasm , attacks these recent trends in anarchist thinking	< / ref > The ideas associated with post-left anarchy have been criticized by                                                                                                                                                                                                                               	|.                                                                                                                                                                                                                                                                                                           
Choi_filtered_with_BBN_test             	He                                                                                                  	                                                                                                                                                                                                                                                                                                            	|was first elected at Manitoba 's Selkirk riding in the 1958 general election then re-elected for successive terms in the 1962 , 1963 and 1965 federal elections .                                                                                                                                           
Choi_filtered_with_BBN_test             	Democrat Senator Jack Reed                                                                          	Despite the group 's division on the issue of setting a timetable for the withdrawal of US occupation forces from Iraq ,                                                                                                                                                                                    	|expressed his belief that the group may reach an agreement to provide general recommendations rather than specific ones in this regard .                                                                                                                                                                    
Choi_filtered_with_BBN_test             	He                                                                                                  	                                                                                                                                                                                                                                                                                                            	|envisions gays and lesbians as an entry market but not the bank 's sole customer base .                                                                                                                                                                                                                     
Choi_filtered_with_BBN_test             	We                                                                                                  	``                                                                                                                                                                                                                                                                                                          	|hope things are going to stay that way . ''                                                                                                                                                                                                                                                                 
Choi_filtered_with_BBN_test             	All of their friends                                                                                	                                                                                                                                                                                                                                                                                                            	|have children and they ca n't , so now they want a child more than anything -- perhaps even more than Michael wanted his fancy convertible or his deluxe stereo equipment .                                                                                                                                 
Choi_filtered_with_BBN_test             	Saint George                                                                                        	Like                                                                                                                                                                                                                                                                                                        	|, Saint Julian of Le Mans , Saint Veran , Saint Beatus of Thun , Saint Crescentinus , Saint Margaret of Antioch , Saint Martha , and Saint Leonard of Noblac .                                                                                                                                              
Choi_filtered_with_BBN_test             	they                                                                                                	`` I think                                                                                                                                                                                                                                                                                                  	|will be freed within the 24-hour limit of being in police custody without charges , '' said H.J. Cornellis Princen , chairman of Indonesian Defense for Human Rights .                                                                                                                                      
Choi_filtered_with_BBN_test             	he                                                                                                  	Yes ,                                                                                                                                                                                                                                                                                                       	|is not properly documented but it is being taken care of now , " Hack said .                                                                                                                                                                                                                                
Choi_filtered_with_BBN_test             	a six-member Presidency                                                                             	In the first month , the Committee was led by                                                                                                                                                                                                                                                               	|, composed by journalists Alenka Puhar , Bojan Korsika and Mile Setinc , sociologists Pavel Gantar and Rastko Mocnik , and presided by activist Igor Bavcar .                                                                                                                                               
Choi_filtered_with_BBN_test             	Ali Duba                                                                                            	                                                                                                                                                                                                                                                                                                            	|joined the Syrian Army in 1955 and became the deputy head of internal security in Damascus five years later .                                                                                                                                                                                               
Choi_filtered_with_BBN_test             	They                                                                                                	                                                                                                                                                                                                                                                                                                            	|are changing the flooring for better drainage , looking at the locations of the air - conditioning unit , separating raw production from processed products and scrutinizing the methods they use for cleaning .                                                                                            
Choi_filtered_with_BBN_test             	she                                                                                                 	Ellen was born in Waterford , Ireland , the daughter of William Organ and Mary Ahern :                                                                                                                                                                                                                      	|was the youngest of four children .                                                                                                                                                                                                                                                                         
Choi_filtered_with_BBN_test             	An Italian foreign ministry official                                                                	                                                                                                                                                                                                                                                                                                            	|said that `` the fight against terrorism is one of our priorities and on this subject we are in tune with the United States . ''                                                                                                                                                                            
Choi_filtered_with_BBN_test             	They                                                                                                	                                                                                                                                                                                                                                                                                                            	|directed much of their criticism at the World Health Organization and the World Organization for Animal Health for emphasizing the lack of evidence that domestic cats play a role in transmitting the virus and contending that more research is needed .                                                  
Choi_filtered_with_BBN_test             	Hugh                                                                                                	Ramon Berenguer was recognised as victor by the chancelleries of the Empire , but                                                                                                                                                                                                                           	|made a last attempt to salvage victory by reminding the emperor of the two chrysobull-attended letters issued on his behalf , one of Conrad the other of Frederick himself .                                                                                                                                
Choi_filtered_with_BBN_test             	they                                                                                                	`` It is certain that                                                                                                                                                                                                                                                                                       	|were making videotapes , '' said a senior European counter - terrorism official with access to information about the case .                                                                                                                                                                                 
Choi_filtered_with_BBN_test             	he                                                                                                  	Both the United States and China are countries of significant influence in the world , so the two can tackle many problems given a strengthened cooperation ,                                                                                                                                               	|said .                                                                                                                                                                                                                                                                                                      
Choi_filtered_with_BBN_test             	He                                                                                                  	                                                                                                                                                                                                                                                                                                            	|said the bombing damaged one U.S. vehicle and lightly wounded one soldier .                                                                                                                                                                                                                                 
Choi_filtered_with_BBN_test             	him                                                                                                 	Koo said at a press conference called to reveal the content of the letter that his proposed trip would bring                                                                                                                                                                                                	|first to Beijing , where he would meet with ARATS Chairman Wang Daohan , and he added that he would not shun a meeting with mainland China 's President Jiang Zemin .                                                                                                                                       
