Choi_train                              	we                                                                                                  	A Shell spokesman said that " Libya offers significant oil and gas prospects , and                                                                                                                                                                                                                          	|have been engaged in discussions with the National Oil Co. regarding possible opportunities , " but he refused to comment on progress made on the discussions .                                                                                                                                             
Choi_train                              	European private-equity group GMT Communications Partners                                           	In June 2008 , General Electric and NBC Universal , along with                                                                                                                                                                                                                                              	|, bought out a 70 percent share of Bigpoint .                                                                                                                                                                                                                                                               
Choi_train                              	They                                                                                                	                                                                                                                                                                                                                                                                                                            	|fear that small , low - powered cars will be rejected out of hand in the U.S. market .                                                                                                                                                                                                                      
Choi_train                              	it                                                                                                  	When the company discovered that OP-1 triggers the growth of tendrillike projections on neurons , called dendrites ,                                                                                                                                                                                        	|decided to test the protein 's potential for brain repair after strokes . ``                                                                                                                                                                                                                                
Choi_train                              	It                                                                                                  	                                                                                                                                                                                                                                                                                                            	|also charges agencies with reducing the number of cost - plus contracts that leave the government vulnerable to wasteful spending and demands that contract overcharges in excess of $ 10 million ( euro7.5 million ) be disclosed to Congress .                                                            
Choi_train                              	it                                                                                                  	A Washington lobbying firm , Bonner & amp ; Associates , has admitted sending the letters and said                                                                                                                                                                                                          	|had fired the person responsible .                                                                                                                                                                                                                                                                          
Choi_train                              	a major corporation like Apple                                                                      	Similarly , when                                                                                                                                                                                                                                                                                            	|gets exposed for questionable labor practices in their Chinese assembly plants , it should surprise no one that a whistleblower like monologist Mike Daisey gets targeted as a scapegoat who must be discredited and diminished in the public 's eye .                                                      
Choi_train                              	The present corporation                                                                             	                                                                                                                                                                                                                                                                                                            	|dates its founding to the opening of a franchised restaurant by Ray Kroc , in Des Plaines , Illinois on April 15 , 1955 , the ninth McDonald 's restaurant overall .                                                                                                                                        
Choi_train                              	it                                                                                                  	A Washington lobbying firm , Bonner & amp ; Associates , has admitted sending the letters and said                                                                                                                                                                                                          	|had fired the person responsible .                                                                                                                                                                                                                                                                          
Choi_train                              	a corporation as a juridical person                                                                 	Under English law                                                                                                                                                                                                                                                                                           	|is capable of both committing and being convicted of crimes .                                                                                                                                                                                                                                               
Choi_train                              	a famous corporation                                                                                	This certification of Citrix will get you a distinguished success in your specialist life and you will face no trouble in acquiring a top position in                                                                                                                                                       	|.                                                                                                                                                                                                                                                                                                           
Choi_train                              	Adidas                                                                                              	I 'm sure others will be , and                                                                                                                                                                                                                                                                              	|do well when they use their ` straight ' trainers and embed them in popular culture , though I 'm sure Run DMC helped a lot .                                                                                                                                                                               
Choi_train                              	the corporation                                                                                     	A group of franchisees purchased                                                                                                                                                                                                                                                                            	|back from Beatrice Foods in 1982 .                                                                                                                                                                                                                                                                          
Choi_train                              	The MLK development corporation board                                                               	                                                                                                                                                                                                                                                                                                            	|will consist of just six members and one chairperson , and the deputy First Minister and I will appoint them .                                                                                                                                                                                              
Choi_train                              	Bertelsmann                                                                                         	In 2002                                                                                                                                                                                                                                                                                                     	|admitted that they lied about their involvement with Adolf Hitler and the Nazi party , which included making profits from slave labour and publishing propaganda .                                                                                                                                          
Choi_train                              	Remington Products , which he famously purchased after his wife bought him his first electric shaver	He first made his fortune as the President and CEO of                                                                                                                                                                                                                                                       	|.                                                                                                                                                                                                                                                                                                           
Choi_train                              	It                                                                                                  	                                                                                                                                                                                                                                                                                                            	|is the primary exporters that are being left the farthest behind in global development .                                                                                                                                                                                                                    
Choi_train                              	a benefit corporation                                                                               	Since pure charity did n't work , devcoin was changed to a beneficial organization , similar in concept to                                                                                                                                                                                                  	|.                                                                                                                                                                                                                                                                                                           
Choi_train                              	It                                                                                                  	                                                                                                                                                                                                                                                                                                            	|is known for its ports of various games on the Madden NFL , FIFA , Need for Speed , The Sims and Tiger Woods PGA Tour series for Electronic Arts and the DJ Hero series for Activision .                                                                                                                    
Choi_train                              	they                                                                                                	In particular ,                                                                                                                                                                                                                                                                                             	|are investigating short - selling activity -- when an investor sells a stock or other asset they have borrowed , hoping to buy it later at a lower price , thereby earning a profit .                                                                                                                       
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------Choi_test                               	it                                                                                                  	At the same time ,                                                                                                                                                                                                                                                                                          	|plans the use digital audience polling as a way to improve the company 's odds for releasing commercially successful CDs .                                                                                                                                                                                  
Choi_test                               	companies that caused the economic meltdown                                                         	Bin Laden also slammed financial bailouts set up by wealthy countries to help big industry cope with the global financial crisis , saying the programmes helped                                                                                                                                             	|.                                                                                                                                                                                                                                                                                                           
Choi_test                               	it                                                                                                  	Despite being a budget carrier ,                                                                                                                                                                                                                                                                            	|will offer a business class section , the statement said .                                                                                                                                                                                                                                                  
Choi_test                               	Automatix                                                                                           	I first encountered normalized correlation in the summer of 1987 , working my first paying job at a company called                                                                                                                                                                                          	|.                                                                                                                                                                                                                                                                                                           
Choi_test                               	it                                                                                                  	Separately , the Swiss National Bank said Friday                                                                                                                                                                                                                                                            	|would now offer six billion dollars on a 14-day basis , doubling the amount of funds available to 12 billion dollars per month .                                                                                                                                                                            
Choi_test                               	it                                                                                                  	The Chicago company said in a regulatory filing Thursday                                                                                                                                                                                                                                                    	|plans to use up to $ 344.5 million of the proceeds to buy back shares from existing shareholders , including founder and CEO Andrew Mason .                                                                                                                                                                 
Choi_test                               	it                                                                                                  	The Dow Jones industrials component , which beat earnings estimates by a penny per share for the quarter , said                                                                                                                                                                                             	|expects earnings to grow 10 percent to 15 percent this year and will be sustained through 2006 as well .                                                                                                                                                                                                    
Choi_test                               	it                                                                                                  	Sony also said                                                                                                                                                                                                                                                                                              	|will reorganize its electronics and games divisions to better integrate the company 's sprawling businesses .                                                                                                                                                                                               
Choi_test                               	it                                                                                                  	Over time , IBM increasingly focused on complex server computers , corporate customers , computer services and software , and                                                                                                                                                                               	|did not heavily advertise its PCs to consumers .                                                                                                                                                                                                                                                            
Choi_test                               	It                                                                                                  	                                                                                                                                                                                                                                                                                                            	|said she is stepping down now as chief executive , and that board member Wolfgang Kroh will take on that job until a permanent successor is designated . "                                                                                                                                                  
Choi_test                               	European and Turkish firms                                                                          	Nabucco 's route was chosen in order to allow                                                                                                                                                                                                                                                               	|to pump gas from central Asia directly to European markets outside Moscow 's control .                                                                                                                                                                                                                      
Choi_test                               	it                                                                                                  	Dell said                                                                                                                                                                                                                                                                                                   	|earned 762 million dollars , or 33 cents a share , in line with a reduced forecast Dell gave on May 8 , when the company blamed an aggressive pricing environment for the shortfall .                                                                                                                       
Choi_test                               	it                                                                                                  	While Microsoft dominates nearly every niche of the software industry ,                                                                                                                                                                                                                                     	|'s been slower than its competitors to develop products for a market that 's expected to grow to $ 25 billion within five years .                                                                                                                                                                           
Choi_test                               	DirecTV                                                                                             	Usually no advertisements on subscription services -LRB-                                                                                                                                                                                                                                                    	|and Dish Network both claim to provide advertisement-free content -RRB- .                                                                                                                                                                                                                                   
Choi_test                               	it                                                                                                  	Eurostat said output fell in all euro nations where                                                                                                                                                                                                                                                         	|had data , with Finland booking the sharpest drop at 23.2 percent .                                                                                                                                                                                                                                         
Choi_test                               	we                                                                                                  	`` In principal ,                                                                                                                                                                                                                                                                                           	|'re interested in buying ( a facility ) which has production already , '' Surakiart said .                                                                                                                                                                                                                  
Choi_test                               	FEMSA                                                                                               	In 1994                                                                                                                                                                                                                                                                                                     	|sold a 22 percent share of its beer business to John Labatt Ltd. of Canada and signed an agreement with Labatt to associate their respective companies in the United States .                                                                                                                               
Choi_test                               	It                                                                                                  	                                                                                                                                                                                                                                                                                                            	|also operates logistic facilities in New Zealand supporting the South Pole and McMurdo .                                                                                                                                                                                                                    
Choi_test                               	it                                                                                                  	" The cost and scarcity of project funding have delayed many power investment decisions , and ABB is unable to precisely forecast when the various government stimulus programmes will have an impact or when the availability of funding will improve , "                                                  	|added .                                                                                                                                                                                                                                                                                                     
Choi_test                               	it                                                                                                  	Facebook faced growing criticism over how                                                                                                                                                                                                                                                                   	|handles privacy after announcing features in April that enabled more sharing with outside sites .                                                                                                                                                                                                           
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------BBN_filtered_with_Choi_test             	New York Mercantile Exchange                                                                        	On the                                                                                                                                                                                                                                                                                                      	|, West Texas Intermediate crude for November delivery finished at $ 20.89 a barrel , up 42 cents on the day .                                                                                                                                                                                               
BBN_filtered_with_Choi_test             	Donaldson                                                                                           	Moreover , to complete the entire Anchor Glass purchase and refinance existing debt ,                                                                                                                                                                                                                       	|said it is `` highly confident '' that it will be able to sell $ 400 million of junk bonds for Vitro , despite the current disarray in the junk bond market .                                                                                                                                               
BBN_filtered_with_Choi_test             	Nasdaq                                                                                              	The NASD , which operates the Nasdaq computer system on which 5,200 OTC issues trade , compiles short interest data in two categories : the approximately two-thirds , and generally biggest , Nasdaq stocks that trade on the National Market System ; and the one-third , and generally smaller ,         	|stocks that are n't a part of the system .                                                                                                                                                                                                                                                                  
BBN_filtered_with_Choi_test             	Telerate                                                                                            	Dow Jones has said it believes the $ 18-a-share price is fair to                                                                                                                                                                                                                                            	|'s minority shareholders .                                                                                                                                                                                                                                                                                  
BBN_filtered_with_Choi_test             	Westinghouse                                                                                        	Still ,                                                                                                                                                                                                                                                                                                     	|acknowledges that demand from independent producers could evaporate if prices for fuel such as natural gas or oil rise sharply or if utilities , which have been pressured by regulators to keep down rates , are suddenly freed to add significant generating capacity .                                   
BBN_filtered_with_Choi_test             	J.P. Morgan                                                                                         	                                                                                                                                                                                                                                                                                                            	|& Co. , New York , will help the statutory managers of DFC New Zealand Ltd. to evaluate the failed investment bank 's condition .                                                                                                                                                                           
BBN_filtered_with_Choi_test             	Morgan Stanley                                                                                      	As a result ,                                                                                                                                                                                                                                                                                               	|'s Index of 40 Emerging Growth Stocks -- most of which are in the OTC market -- is up only 13 % for the year , while the Dow Jones Industrial Average has leaped 24 % and the S & P 500 has grown 25 % .                                                                                                    
BBN_filtered_with_Choi_test             	Financial Times                                                                                     	In London , the                                                                                                                                                                                                                                                                                             	|100-share index finished 30.1 points higher at 2112.2 .                                                                                                                                                                                                                                                     
BBN_filtered_with_Choi_test             	Group                                                                                               	Tokyu Group announced during the weekend that each                                                                                                                                                                                                                                                          	|company will buy the others ' stocks to defend themselves against a rumored takeover .                                                                                                                                                                                                                      
BBN_filtered_with_Choi_test             	Polly Peck                                                                                          	And while                                                                                                                                                                                                                                                                                                   	|is n't jettisoning the existent top-management structure of Sansui , it is bringing in a former Toshiba Corp. executive as executive vice president and chief operating officer .                                                                                                                           
BBN_filtered_with_Choi_test             	Du Pont                                                                                             	                                                                                                                                                                                                                                                                                                            	|Co. , Hewlett-Packard Co. and Los Alamos National Laboratory said they signed a three-year , $ 11 million agreement to collaborate on superconductor research .                                                                                                                                             
BBN_filtered_with_Choi_test             	New York Stock Exchange                                                                             	In                                                                                                                                                                                                                                                                                                          	|composite trading , Boeing closed yesterday at $ 54.50 a share , off a scant 12.5 cents .                                                                                                                                                                                                                   
BBN_filtered_with_Choi_test             	Weatherford                                                                                         	                                                                                                                                                                                                                                                                                                            	|currently has approximately 11.1 million common shares outstanding .                                                                                                                                                                                                                                        
BBN_filtered_with_Choi_test             	MeraBank                                                                                            	Growing pressures on the Arizona real-estate market are affecting the thrift ; Pinnacle West told Dow Jones Professional Investor Report it may consider filing for Chapter 11 bankruptcy protection if it ca n't reach an agreement with federal regulators to provide additional capital to               	|.                                                                                                                                                                                                                                                                                                           
BBN_filtered_with_Choi_test             	WCRS                                                                                                	                                                                                                                                                                                                                                                                                                            	|says its debt will be cut to # 24 million from # 66 million as a result of the transaction .                                                                                                                                                                                                                
BBN_filtered_with_Choi_test             	Shell Canada                                                                                        	                                                                                                                                                                                                                                                                                                            	|, an oil and gas producer and marketer , is a unit of Royal Dutch\/Shell Group , an Anglo-Dutch concern .                                                                                                                                                                                                   
BBN_filtered_with_Choi_test             	Gillette                                                                                            	                                                                                                                                                                                                                                                                                                            	|Co. elected Warren E. Buffett , chairman of Berkshire Hathaway Inc. , to its board , increasing the number of directors to 12 from 11 .                                                                                                                                                                     
BBN_filtered_with_Choi_test             	FirstSouth                                                                                          	By concealing the non-enforcement agreement , certain transactions with Messrs. Taylor and Watson were entered on                                                                                                                                                                                           	|'s books as loans , allowing the thrift to report fees and interest as current income , according to the U.S. attorney 's office in Little Rock , Ark .                                                                                                                                                     
BBN_filtered_with_Choi_test             	Tokyu Department Store                                                                              	Nihon Keizai Shimbun , Japan 's leading economic newspaper , reported Wednesday that                                                                                                                                                                                                                        	|Co. is planning to team up with U.S. and Western European financing to buy the New York-based retail chain , which Campeau has put up for sale .                                                                                                                                                            
BBN_filtered_with_Choi_test             	Du Pont                                                                                             	The estimates for                                                                                                                                                                                                                                                                                           	|range from $ 2.25 to $ 2.45 a share .                                                                                                                                                                                                                                                                       
Choi_train                              	we                                                                                                  	A Shell spokesman said that " Libya offers significant oil and gas prospects , and                                                                                                                                                                                                                          	|have been engaged in discussions with the National Oil Co. regarding possible opportunities , " but he refused to comment on progress made on the discussions .                                                                                                                                             
Choi_train                              	European private-equity group GMT Communications Partners                                           	In June 2008 , General Electric and NBC Universal , along with                                                                                                                                                                                                                                              	|, bought out a 70 percent share of Bigpoint .                                                                                                                                                                                                                                                               
Choi_train                              	They                                                                                                	                                                                                                                                                                                                                                                                                                            	|fear that small , low - powered cars will be rejected out of hand in the U.S. market .                                                                                                                                                                                                                      
Choi_train                              	it                                                                                                  	When the company discovered that OP-1 triggers the growth of tendrillike projections on neurons , called dendrites ,                                                                                                                                                                                        	|decided to test the protein 's potential for brain repair after strokes . ``                                                                                                                                                                                                                                
Choi_train                              	It                                                                                                  	                                                                                                                                                                                                                                                                                                            	|also charges agencies with reducing the number of cost - plus contracts that leave the government vulnerable to wasteful spending and demands that contract overcharges in excess of $ 10 million ( euro7.5 million ) be disclosed to Congress .                                                            
Choi_train                              	it                                                                                                  	A Washington lobbying firm , Bonner & amp ; Associates , has admitted sending the letters and said                                                                                                                                                                                                          	|had fired the person responsible .                                                                                                                                                                                                                                                                          
Choi_train                              	a major corporation like Apple                                                                      	Similarly , when                                                                                                                                                                                                                                                                                            	|gets exposed for questionable labor practices in their Chinese assembly plants , it should surprise no one that a whistleblower like monologist Mike Daisey gets targeted as a scapegoat who must be discredited and diminished in the public 's eye .                                                      
Choi_train                              	The present corporation                                                                             	                                                                                                                                                                                                                                                                                                            	|dates its founding to the opening of a franchised restaurant by Ray Kroc , in Des Plaines , Illinois on April 15 , 1955 , the ninth McDonald 's restaurant overall .                                                                                                                                        
Choi_train                              	it                                                                                                  	A Washington lobbying firm , Bonner & amp ; Associates , has admitted sending the letters and said                                                                                                                                                                                                          	|had fired the person responsible .                                                                                                                                                                                                                                                                          
Choi_train                              	a corporation as a juridical person                                                                 	Under English law                                                                                                                                                                                                                                                                                           	|is capable of both committing and being convicted of crimes .                                                                                                                                                                                                                                               
Choi_train                              	a famous corporation                                                                                	This certification of Citrix will get you a distinguished success in your specialist life and you will face no trouble in acquiring a top position in                                                                                                                                                       	|.                                                                                                                                                                                                                                                                                                           
Choi_train                              	Adidas                                                                                              	I 'm sure others will be , and                                                                                                                                                                                                                                                                              	|do well when they use their ` straight ' trainers and embed them in popular culture , though I 'm sure Run DMC helped a lot .                                                                                                                                                                               
Choi_train                              	the corporation                                                                                     	A group of franchisees purchased                                                                                                                                                                                                                                                                            	|back from Beatrice Foods in 1982 .                                                                                                                                                                                                                                                                          
Choi_train                              	The MLK development corporation board                                                               	                                                                                                                                                                                                                                                                                                            	|will consist of just six members and one chairperson , and the deputy First Minister and I will appoint them .                                                                                                                                                                                              
Choi_train                              	Bertelsmann                                                                                         	In 2002                                                                                                                                                                                                                                                                                                     	|admitted that they lied about their involvement with Adolf Hitler and the Nazi party , which included making profits from slave labour and publishing propaganda .                                                                                                                                          
Choi_train                              	Remington Products , which he famously purchased after his wife bought him his first electric shaver	He first made his fortune as the President and CEO of                                                                                                                                                                                                                                                       	|.                                                                                                                                                                                                                                                                                                           
Choi_train                              	It                                                                                                  	                                                                                                                                                                                                                                                                                                            	|is the primary exporters that are being left the farthest behind in global development .                                                                                                                                                                                                                    
Choi_train                              	a benefit corporation                                                                               	Since pure charity did n't work , devcoin was changed to a beneficial organization , similar in concept to                                                                                                                                                                                                  	|.                                                                                                                                                                                                                                                                                                           
Choi_train                              	It                                                                                                  	                                                                                                                                                                                                                                                                                                            	|is known for its ports of various games on the Madden NFL , FIFA , Need for Speed , The Sims and Tiger Woods PGA Tour series for Electronic Arts and the DJ Hero series for Activision .                                                                                                                    
Choi_train                              	they                                                                                                	In particular ,                                                                                                                                                                                                                                                                                             	|are investigating short - selling activity -- when an investor sells a stock or other asset they have borrowed , hoping to buy it later at a lower price , thereby earning a profit .                                                                                                                       
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------Choi_test                               	it                                                                                                  	At the same time ,                                                                                                                                                                                                                                                                                          	|plans the use digital audience polling as a way to improve the company 's odds for releasing commercially successful CDs .                                                                                                                                                                                  
Choi_test                               	companies that caused the economic meltdown                                                         	Bin Laden also slammed financial bailouts set up by wealthy countries to help big industry cope with the global financial crisis , saying the programmes helped                                                                                                                                             	|.                                                                                                                                                                                                                                                                                                           
Choi_test                               	it                                                                                                  	Despite being a budget carrier ,                                                                                                                                                                                                                                                                            	|will offer a business class section , the statement said .                                                                                                                                                                                                                                                  
Choi_test                               	Automatix                                                                                           	I first encountered normalized correlation in the summer of 1987 , working my first paying job at a company called                                                                                                                                                                                          	|.                                                                                                                                                                                                                                                                                                           
Choi_test                               	it                                                                                                  	Separately , the Swiss National Bank said Friday                                                                                                                                                                                                                                                            	|would now offer six billion dollars on a 14-day basis , doubling the amount of funds available to 12 billion dollars per month .                                                                                                                                                                            
Choi_test                               	it                                                                                                  	The Chicago company said in a regulatory filing Thursday                                                                                                                                                                                                                                                    	|plans to use up to $ 344.5 million of the proceeds to buy back shares from existing shareholders , including founder and CEO Andrew Mason .                                                                                                                                                                 
Choi_test                               	it                                                                                                  	The Dow Jones industrials component , which beat earnings estimates by a penny per share for the quarter , said                                                                                                                                                                                             	|expects earnings to grow 10 percent to 15 percent this year and will be sustained through 2006 as well .                                                                                                                                                                                                    
Choi_test                               	it                                                                                                  	Sony also said                                                                                                                                                                                                                                                                                              	|will reorganize its electronics and games divisions to better integrate the company 's sprawling businesses .                                                                                                                                                                                               
Choi_test                               	it                                                                                                  	Over time , IBM increasingly focused on complex server computers , corporate customers , computer services and software , and                                                                                                                                                                               	|did not heavily advertise its PCs to consumers .                                                                                                                                                                                                                                                            
Choi_test                               	It                                                                                                  	                                                                                                                                                                                                                                                                                                            	|said she is stepping down now as chief executive , and that board member Wolfgang Kroh will take on that job until a permanent successor is designated . "                                                                                                                                                  
Choi_test                               	European and Turkish firms                                                                          	Nabucco 's route was chosen in order to allow                                                                                                                                                                                                                                                               	|to pump gas from central Asia directly to European markets outside Moscow 's control .                                                                                                                                                                                                                      
Choi_test                               	it                                                                                                  	Dell said                                                                                                                                                                                                                                                                                                   	|earned 762 million dollars , or 33 cents a share , in line with a reduced forecast Dell gave on May 8 , when the company blamed an aggressive pricing environment for the shortfall .                                                                                                                       
Choi_test                               	it                                                                                                  	While Microsoft dominates nearly every niche of the software industry ,                                                                                                                                                                                                                                     	|'s been slower than its competitors to develop products for a market that 's expected to grow to $ 25 billion within five years .                                                                                                                                                                           
Choi_test                               	DirecTV                                                                                             	Usually no advertisements on subscription services -LRB-                                                                                                                                                                                                                                                    	|and Dish Network both claim to provide advertisement-free content -RRB- .                                                                                                                                                                                                                                   
Choi_test                               	it                                                                                                  	Eurostat said output fell in all euro nations where                                                                                                                                                                                                                                                         	|had data , with Finland booking the sharpest drop at 23.2 percent .                                                                                                                                                                                                                                         
Choi_test                               	we                                                                                                  	`` In principal ,                                                                                                                                                                                                                                                                                           	|'re interested in buying ( a facility ) which has production already , '' Surakiart said .                                                                                                                                                                                                                  
Choi_test                               	FEMSA                                                                                               	In 1994                                                                                                                                                                                                                                                                                                     	|sold a 22 percent share of its beer business to John Labatt Ltd. of Canada and signed an agreement with Labatt to associate their respective companies in the United States .                                                                                                                               
Choi_test                               	It                                                                                                  	                                                                                                                                                                                                                                                                                                            	|also operates logistic facilities in New Zealand supporting the South Pole and McMurdo .                                                                                                                                                                                                                    
Choi_test                               	it                                                                                                  	" The cost and scarcity of project funding have delayed many power investment decisions , and ABB is unable to precisely forecast when the various government stimulus programmes will have an impact or when the availability of funding will improve , "                                                  	|added .                                                                                                                                                                                                                                                                                                     
Choi_test                               	it                                                                                                  	Facebook faced growing criticism over how                                                                                                                                                                                                                                                                   	|handles privacy after announcing features in April that enabled more sharing with outside sites .                                                                                                                                                                                                           
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------BBN_filtered_with_Choi_test             	New York Mercantile Exchange                                                                        	On the                                                                                                                                                                                                                                                                                                      	|, West Texas Intermediate crude for November delivery finished at $ 20.89 a barrel , up 42 cents on the day .                                                                                                                                                                                               
BBN_filtered_with_Choi_test             	Donaldson                                                                                           	Moreover , to complete the entire Anchor Glass purchase and refinance existing debt ,                                                                                                                                                                                                                       	|said it is `` highly confident '' that it will be able to sell $ 400 million of junk bonds for Vitro , despite the current disarray in the junk bond market .                                                                                                                                               
BBN_filtered_with_Choi_test             	Nasdaq                                                                                              	The NASD , which operates the Nasdaq computer system on which 5,200 OTC issues trade , compiles short interest data in two categories : the approximately two-thirds , and generally biggest , Nasdaq stocks that trade on the National Market System ; and the one-third , and generally smaller ,         	|stocks that are n't a part of the system .                                                                                                                                                                                                                                                                  
BBN_filtered_with_Choi_test             	Telerate                                                                                            	Dow Jones has said it believes the $ 18-a-share price is fair to                                                                                                                                                                                                                                            	|'s minority shareholders .                                                                                                                                                                                                                                                                                  
BBN_filtered_with_Choi_test             	Westinghouse                                                                                        	Still ,                                                                                                                                                                                                                                                                                                     	|acknowledges that demand from independent producers could evaporate if prices for fuel such as natural gas or oil rise sharply or if utilities , which have been pressured by regulators to keep down rates , are suddenly freed to add significant generating capacity .                                   
BBN_filtered_with_Choi_test             	J.P. Morgan                                                                                         	                                                                                                                                                                                                                                                                                                            	|& Co. , New York , will help the statutory managers of DFC New Zealand Ltd. to evaluate the failed investment bank 's condition .                                                                                                                                                                           
BBN_filtered_with_Choi_test             	Morgan Stanley                                                                                      	As a result ,                                                                                                                                                                                                                                                                                               	|'s Index of 40 Emerging Growth Stocks -- most of which are in the OTC market -- is up only 13 % for the year , while the Dow Jones Industrial Average has leaped 24 % and the S & P 500 has grown 25 % .                                                                                                    
BBN_filtered_with_Choi_test             	Financial Times                                                                                     	In London , the                                                                                                                                                                                                                                                                                             	|100-share index finished 30.1 points higher at 2112.2 .                                                                                                                                                                                                                                                     
BBN_filtered_with_Choi_test             	Group                                                                                               	Tokyu Group announced during the weekend that each                                                                                                                                                                                                                                                          	|company will buy the others ' stocks to defend themselves against a rumored takeover .                                                                                                                                                                                                                      
BBN_filtered_with_Choi_test             	Polly Peck                                                                                          	And while                                                                                                                                                                                                                                                                                                   	|is n't jettisoning the existent top-management structure of Sansui , it is bringing in a former Toshiba Corp. executive as executive vice president and chief operating officer .                                                                                                                           
BBN_filtered_with_Choi_test             	Du Pont                                                                                             	                                                                                                                                                                                                                                                                                                            	|Co. , Hewlett-Packard Co. and Los Alamos National Laboratory said they signed a three-year , $ 11 million agreement to collaborate on superconductor research .                                                                                                                                             
BBN_filtered_with_Choi_test             	New York Stock Exchange                                                                             	In                                                                                                                                                                                                                                                                                                          	|composite trading , Boeing closed yesterday at $ 54.50 a share , off a scant 12.5 cents .                                                                                                                                                                                                                   
BBN_filtered_with_Choi_test             	Weatherford                                                                                         	                                                                                                                                                                                                                                                                                                            	|currently has approximately 11.1 million common shares outstanding .                                                                                                                                                                                                                                        
BBN_filtered_with_Choi_test             	MeraBank                                                                                            	Growing pressures on the Arizona real-estate market are affecting the thrift ; Pinnacle West told Dow Jones Professional Investor Report it may consider filing for Chapter 11 bankruptcy protection if it ca n't reach an agreement with federal regulators to provide additional capital to               	|.                                                                                                                                                                                                                                                                                                           
BBN_filtered_with_Choi_test             	WCRS                                                                                                	                                                                                                                                                                                                                                                                                                            	|says its debt will be cut to # 24 million from # 66 million as a result of the transaction .                                                                                                                                                                                                                
BBN_filtered_with_Choi_test             	Shell Canada                                                                                        	                                                                                                                                                                                                                                                                                                            	|, an oil and gas producer and marketer , is a unit of Royal Dutch\/Shell Group , an Anglo-Dutch concern .                                                                                                                                                                                                   
BBN_filtered_with_Choi_test             	Gillette                                                                                            	                                                                                                                                                                                                                                                                                                            	|Co. elected Warren E. Buffett , chairman of Berkshire Hathaway Inc. , to its board , increasing the number of directors to 12 from 11 .                                                                                                                                                                     
BBN_filtered_with_Choi_test             	FirstSouth                                                                                          	By concealing the non-enforcement agreement , certain transactions with Messrs. Taylor and Watson were entered on                                                                                                                                                                                           	|'s books as loans , allowing the thrift to report fees and interest as current income , according to the U.S. attorney 's office in Little Rock , Ark .                                                                                                                                                     
BBN_filtered_with_Choi_test             	Tokyu Department Store                                                                              	Nihon Keizai Shimbun , Japan 's leading economic newspaper , reported Wednesday that                                                                                                                                                                                                                        	|Co. is planning to team up with U.S. and Western European financing to buy the New York-based retail chain , which Campeau has put up for sale .                                                                                                                                                            
BBN_filtered_with_Choi_test             	Du Pont                                                                                             	The estimates for                                                                                                                                                                                                                                                                                           	|range from $ 2.25 to $ 2.45 a share .                                                                                                                                                                                                                                                                       
