Choi_train                              	Chinese                                                                                             	Ethnic Chinese in Panama , also variously referred to as Chinese-Panamanian , Panamanian-Chinese , Panama Chinese , or in Spanish as Chino-Panameno , February 2010 are Panamanian citizens and residents of                                                                                                	|origin or descent .                                                                                                                                                                                                                                                                                         
Choi_train                              	Chiseldon                                                                                           	The A419 road is a primary route between                                                                                                                                                                                                                                                                    	|near Swindon at junction 15 of the M4 with the A346 road , and Whitminster in Gloucestershire , England .                                                                                                                                                                                                   
Choi_train                              	Puri                                                                                                	Her work on Jagannath and Narasimha exemplified the relation of tribal deities and the Jagannath cult of                                                                                                                                                                                                    	|.                                                                                                                                                                                                                                                                                                           
Choi_train                              	Perinaldo                                                                                           	Dolceacqua borders the following municipalities : Airole , Apricale , Breil-sur-Roya -LRB- France -RRB- , Camporosso , Isolabona ,                                                                                                                                                                          	|, Rocchetta Nervina , San Biagio della Cima , and Ventimiglia .                                                                                                                                                                                                                                             
Choi_train                              	Tahitian                                                                                            	Authorities at London 's Heathrow Airport are investigating the disappearance of a Paul Gauguin watercolor , `` Young                                                                                                                                                                                       	|Woman in a Red Pareo , '' that has two sketches on its verso-LRB-opposite-RRB-side .                                                                                                                                                                                                                        
Choi_train                              	London , Ontario                                                                                    	He was born in Chatham , Ontario , the son of William Duncan Eberts and Mary Bell McEwen , and was educated there and in                                                                                                                                                                                    	|.                                                                                                                                                                                                                                                                                                           
Choi_train                              	Bullocks Wilshire                                                                                   	The success of her designs in her tiny store eventually led to an offer from the                                                                                                                                                                                                                            	|luxury department store to design for their Ladies Custom Salon which catered to a wealthy clientele including a number of Hollywood stars .                                                                                                                                                                
Choi_train                              	City University of New York                                                                         	In 2003 , the most substantial programs at City College of San Francisco , the                                                                                                                                                                                                                              	|, University of California , Berkeley , the University of Chicago , and New York University .                                                                                                                                                                                                               
Choi_train                              	New Center area to                                                                                  	The Woodward Avenue Light Rail , beginning in 2013 , will serve as a link between the Detroit People Mover and SEMCOG Commuter Rail which extends from Detroit 's                                                                                                                                           	|The Henry Ford , Dearborn , Detroit Metropolitan Airport , Ypsilanti , and Ann ArborSEMCOG .                                                                                                                                                                                                                
Choi_train                              	Tahiti                                                                                              	Cook had been sent to chart the transit of Venus from                                                                                                                                                                                                                                                       	|, but he also charted much of the Australian and New Zealand coastlines .                                                                                                                                                                                                                                   
Choi_train                              	Germany                                                                                             	Geversdorf is a municipality in the district of Cuxhaven , in Lower Saxony ,                                                                                                                                                                                                                                	|.                                                                                                                                                                                                                                                                                                           
Choi_train                              	Senegal                                                                                             	It is found in Ivory Coast , Ghana , Guinea , Mali , and                                                                                                                                                                                                                                                    	|.                                                                                                                                                                                                                                                                                                           
Choi_train                              	NH Route 101                                                                                        	Further down Main Street in Greenville is the beginning of NH Route 45 , which runs northwest to Temple , ending at                                                                                                                                                                                         	|.                                                                                                                                                                                                                                                                                                           
Choi_train                              	Japan                                                                                               	After the first set of meetings two months ago , some U.S. officials complained that                                                                                                                                                                                                                        	|had n't come up with specific changes it was prepared to make .                                                                                                                                                                                                                                             
Choi_train                              	River Severn                                                                                        	The town sits on the edge of the Cotswold escarpment where it drops off towards the Severn Vale and the                                                                                                                                                                                                     	|.                                                                                                                                                                                                                                                                                                           
Choi_train                              	Hong Kong                                                                                           	Green House is a block of 10 tenement houses located in 1-11 , Mallory Street and 6-12 Burrows Street , Wan Chai ,                                                                                                                                                                                          	|.                                                                                                                                                                                                                                                                                                           
Choi_train                              	United States                                                                                       	Money from the                                                                                                                                                                                                                                                                                              	|to fight AIDS requires it be spent on U.S brand name drugs that can cost up to $ 15,000 a year compared to $ 350 a year for generics from other countries .                                                                                                                                                 
Choi_train                              	Paris                                                                                               	The Gnomon of Saint-Sulpice is an astronomical measurement device located in the Church of Saint-Sulpice -LRB- Eglise Saint-Sulpice -RRB- in                                                                                                                                                                	|, France .                                                                                                                                                                                                                                                                                                  
Choi_train                              	Chatham                                                                                             	In August 1921 he returned to sea as Captain of the Fleet of the Atlantic Fleet to Admiral Sir Charles Madden and in 1923 he was appointed Commodore of the Naval Barracks at                                                                                                                               	|.                                                                                                                                                                                                                                                                                                           
Choi_train                              	London                                                                                              	And I 'd have to stand by in                                                                                                                                                                                                                                                                                	|by myself .                                                                                                                                                                                                                                                                                                 
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------Choi_test                               	The islands                                                                                         	                                                                                                                                                                                                                                                                                                            	|are home to 3,000 people of British descent and are controlled by Britain .                                                                                                                                                                                                                                 
Choi_test                               	United Arab Emirates                                                                                	Unlike most Israeli productions , however , it also received attention in the Arab world , airing on SOREAD in Morocco and on three separate occasions on Al Arabiya television in the                                                                                                                      	|.                                                                                                                                                                                                                                                                                                           
Choi_test                               	the latter country                                                                                  	In                                                                                                                                                                                                                                                                                                          	|and in Syria the monastic life tended to become more and more eremitical and to run to great extravagances in the matter of bodily austerities .                                                                                                                                                            
Choi_test                               	the landing spot                                                                                    	Other scholars have suggested                                                                                                                                                                                                                                                                               	|may have been on Samana Cay or Plana Cays .                                                                                                                                                                                                                                                                 
Choi_test                               	Govan , Glasgow                                                                                     	Benburb Football Club are a Scottish football club , based in                                                                                                                                                                                                                                               	|.                                                                                                                                                                                                                                                                                                           
Choi_test                               	Isle of Man                                                                                         	Over the night of 19-20 November 2009 , a forecast depression tracked northwest over Ireland , the                                                                                                                                                                                                          	|, Cumbria and Dumfries and Galloway .                                                                                                                                                                                                                                                                       
Choi_test                               	the planned protest route                                                                           	Black-clad demonstrators broke off from a peaceful protest and torched a police cruiser in the financial district and smashed windows in a shopping district after veering off from                                                                                                                         	|.                                                                                                                                                                                                                                                                                                           
Choi_test                               	Egypt                                                                                               	British troops were stationed in                                                                                                                                                                                                                                                                            	|from 1875 to the end of the Second World War in 1945 and Ali 's successors were reduced to puppets of British imperial policy .                                                                                                                                                                             
Choi_test                               	The Arts Centre                                                                                     	                                                                                                                                                                                                                                                                                                            	|contains the Mrs Lee Choon Guan Concert Hall , Tan Cheng Siong Drama Theatre and the Lee Kong Chian Auditorium which can seat 830 , 270 and 1,200 respectively .                                                                                                                                            
Choi_test                               	the United States                                                                                   	Gross was born in Toronto , Ontario , Canada in 1918 , the son of Romanian immigrants , he grew up in Cleveland , Ohio , in                                                                                                                                                                                 	|.                                                                                                                                                                                                                                                                                                           
Choi_test                               	every single person , parlement and military , everyone                                             	This is called Rule of Law and it governs                                                                                                                                                                                                                                                                   	|.                                                                                                                                                                                                                                                                                                           
Choi_test                               	Cerros de Quiman                                                                                    	It runs perpendicular to the Andes in an east-west direction from Mocho-Choshuenco volcano to                                                                                                                                                                                                               	|.                                                                                                                                                                                                                                                                                                           
Choi_test                               	Lithuania                                                                                           	Baranowo bara ' nowo -LRB- Baranovas -RRB- is a village in the administrative district of Gmina Rutka-Tartak , within Suwalki County , Podlaskie Voivodeship , in north-eastern Poland , close to the border with                                                                                           	|.                                                                                                                                                                                                                                                                                                           
Choi_test                               	Cherokee County                                                                                     	                                                                                                                                                                                                                                                                                                            	|is one of the fastest growing counties in the south as well , mainly because of the rapid growth of both Woodstock and Canton .                                                                                                                                                                             
Choi_test                               	addition to South Carolina                                                                          	In                                                                                                                                                                                                                                                                                                          	|, these States included Mississippi , Florida , Alabama , Georgia , Louisiana , and Texas .                                                                                                                                                                                                                 
Choi_test                               	friendly territory                                                                                  	Obama campaigned this week in                                                                                                                                                                                                                                                                               	|; he carried all five states - Oregon , Washington , California , Nevada and Minnesota - by comfortable margins in his 2008 presidential campaign .                                                                                                                                                         
Choi_test                               	several European countries                                                                          	Investors have voiced concern about the high levels of public debt and deficits in                                                                                                                                                                                                                          	|, dragging down the markets and sparking wider worries about the outlook for economic growth in Europe .                                                                                                                                                                                                    
Choi_test                               	Chattanooga , Tenn.                                                                                 	Capt. Felix Tran , assigned to Air Mobility Command , will be sentenced Sept. 23 in                                                                                                                                                                                                                         	|.                                                                                                                                                                                                                                                                                                           
Choi_test                               	Honduras                                                                                            	Jeanette Kawas National Park -LRB- Spanish : Parque Nacional Jeannette Kawas -RRB- is a national park located in the municipality of Tela , on the northern Caribbean coast of the Atlantida department of                                                                                                  	|.                                                                                                                                                                                                                                                                                                           
Choi_test                               	the climax                                                                                          	When Olivia , Peter , and Walter are en route to                                                                                                                                                                                                                                                            	|at the building , the shots of them in the SUV were just shots of them driving back and forth on the 59th Street Bridge .                                                                                                                                                                                   
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------FIGER_filtered_with_Choi_test           	Haitians                                                                                            	To put cameras in the hands of                                                                                                                                                                                                                                                                              	|give them the power to show us what they think is important . ”                                                                                                                                                                                                                                             
FIGER_filtered_with_Choi_test           	University Lutheran Church-based                                                                    	The pieces were compiled at the Sanctuary Art Center , a non-profit ,                                                                                                                                                                                                                                       	|organization designed to teach creativity to youth .                                                                                                                                                                                                                                                        
FIGER_filtered_with_Choi_test           	Federal Way                                                                                         	A federal grand jury has indicted eight people suspected of operating a human-trafficking ring for interstate prostitution from a Korean nightclub in                                                                                                                                                       	|.                                                                                                                                                                                                                                                                                                           
FIGER_filtered_with_Choi_test           	Lake Placid                                                                                         	The move came late Friday afternoon after Scaringe dismissed Brian Barrett of                                                                                                                                                                                                                               	|as one of his defense attorneys .                                                                                                                                                                                                                                                                           
FIGER_filtered_with_Choi_test           	Sodo District                                                                                       	The council knew nothing of Hirsh 's hiring , nor of the mayor 's discussions with a potential investment group that has acquired property in the                                                                                                                                                           	|, until The Seattle Times in December was about to report that the city was examining an " opportunity " to bring an NBA team to Seattle .                                                                                                                                                                  
FIGER_filtered_with_Choi_test           	Pullman                                                                                             	A recent spate of injuries , though , has suddenly left the Huskies surprisingly thin in the frontcourt going into Saturday ’s game against Washington State in                                                                                                                                             	|, Wash. , where the UW will attempt to extend its 32-game winning streak against the Cougars .                                                                                                                                                                                                              
FIGER_filtered_with_Choi_test           	Orlando                                                                                             	He worked with the city of                                                                                                                                                                                                                                                                                  	|to negotiate an agreement with the Orlando Magic for a new downtown arena and with senior management planning a new Madison Square Garden in New York City .                                                                                                                                                
FIGER_filtered_with_Choi_test           	UW School of Social Work                                                                            	Homeless children in the U-District will get the opportunity to show their art pieces in an exhibit held at the                                                                                                                                                                                             	|this winter quarter .                                                                                                                                                                                                                                                                                       
FIGER_filtered_with_Choi_test           	Vancouver                                                                                           	Newly elected fellows are invited to attend the annual Fellows Forum , held this year in                                                                                                                                                                                                                    	|, B.C .                                                                                                                                                                                                                                                                                                     
FIGER_filtered_with_Choi_test           	Federal Way                                                                                         	Also arrested Thursday were : Miyoung Roberts , 40 , of                                                                                                                                                                                                                                                     	|; accused of being the current madam at the club .                                                                                                                                                                                                                                                          
FIGER_filtered_with_Choi_test           	New York                                                                                            	Wieczorek first met Balth when he was still a graduate student in                                                                                                                                                                                                                                           	|.                                                                                                                                                                                                                                                                                                           
FIGER_filtered_with_Choi_test           	Federal Way                                                                                         	Raymond Jung , 51 , of                                                                                                                                                                                                                                                                                      	|; accused of leasing apartments where the women were housed .                                                                                                                                                                                                                                               
FIGER_filtered_with_Choi_test           	Federal Way                                                                                         	Two other defendants – Sung Hee Han and Hee Jae Cho , both 40 and of                                                                                                                                                                                                                                        	|– still are sought .                                                                                                                                                                                                                                                                                        
FIGER_filtered_with_Choi_test           	Bridger Bowl ski area                                                                               	A tree fell on a power line in Bridger Canyon on Sunday morning , knocking out power to 850 customers , including the                                                                                                                                                                                       	|.                                                                                                                                                                                                                                                                                                           
FIGER_filtered_with_Choi_test           	Occidental Avenue South                                                                             	A limited liability corporation headed by Hansen recently purchased 3 acres on the east side of                                                                                                                                                                                                             	|between South Massachusetts and South Holgate streets .                                                                                                                                                                                                                                                     
FIGER_filtered_with_Choi_test           	Jackson , Miss.                                                                                     	He was born in                                                                                                                                                                                                                                                                                              	|, but was raised in Chicago .                                                                                                                                                                                                                                                                               
FIGER_filtered_with_Choi_test           	Henry Art Gallery                                                                                   	After years of wanting to curate such an exhibition , Wieczorek has collaborated with the                                                                                                                                                                                                                   	|to feature 26 pieces of Balth ’s “ Videowatercolors . ”                                                                                                                                                                                                                                                     
FIGER_filtered_with_Choi_test           	San Antonio                                                                                         	The building was a partnership between the city and the Spurs , with                                                                                                                                                                                                                                        	|voters approving a visitor 's tax on hotels , motels and rental cars to finance three-fourths of the costs and the team contributing the rest , said Rick Pych , president of business operations for San Antonio Spurs Sports .                                                                            
FIGER_filtered_with_Choi_test           	New Jersey                                                                                          	Hirsh , managing partner of Stafford Sports in                                                                                                                                                                                                                                                              	|, has advised the San Antonio Spurs through construction of their new arena , the AT&T Center .                                                                                                                                                                                                             
FIGER_filtered_with_Choi_test           	Federal Way                                                                                         	Kwang Frank Lee , 57 , of                                                                                                                                                                                                                                                                                   	|; accused of providing money to finance a bogus marriage tied to the scheme .                                                                                                                                                                                                                               
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------BBN_filtered_with_Choi_test             	Northeast                                                                                           	Office Market Weakens In Overbuilt                                                                                                                                                                                                                                                                          	|                                                                                                                                                                                                                                                                                                            
BBN_filtered_with_Choi_test             	Valley                                                                                              	But , given what might have happened to the fragile parts that are at the heart of the microelectronics business , the bulk of                                                                                                                                                                              	|companies seemed to be just about shouting hosannas .                                                                                                                                                                                                                                                       
BBN_filtered_with_Choi_test             	Strip                                                                                               	Off the                                                                                                                                                                                                                                                                                                     	|, MarCor is building the Rio , a hotel-casino with a Brazilian theme and only 430 rooms -- all of them suites .                                                                                                                                                                                             
BBN_filtered_with_Choi_test             	American South                                                                                      	Using cinema , television and print ads , the company pitches Southern Comfort as a grand old drink of the antebellum                                                                                                                                                                                       	|.                                                                                                                                                                                                                                                                                                           
BBN_filtered_with_Choi_test             	Sumatra                                                                                             	Other interests are owned by BP Petroleum Development -LRB- SES -RRB- Ltd. , C. Itoh Energy Co. Ltd. , Deminex Sumatra OEL G.m.b . H. , Hispanoil -LRB- Sumatra -RRB- Production Ltd. , Hudbay Oil -LRB- Indonesia -RRB- Ltd. , Inpex Sumatra Co. Ltd. , Lasmo                                              	|Ltd. , Sunda Shell , TCR Sumat A.G. and Warrior Oil Co .                                                                                                                                                                                                                                                    
BBN_filtered_with_Choi_test             	Arctic                                                                                              	Like Foothills , TransCanada 's Polar Gas consortium plans to build a pipeline directly south from the Mackenzie River delta in Canada 's western                                                                                                                                                           	|with an initial capacity to transport 1.2 billion cubic feet of gas daily .                                                                                                                                                                                                                                 
BBN_filtered_with_Choi_test             	Europe                                                                                              	As the 1992 economic integration approaches ,                                                                                                                                                                                                                                                               	|'s cultural curators have taken to the ramparts against American `` cultural imperialism , '' threatening to impose quotas against such pop invaders as `` Dallas , '' `` Miami Vice '' and `` L.A. Law . ''                                                                                                
BBN_filtered_with_Choi_test             	communities                                                                                         	Congress should stop throwing tax dollars out to sea by subsidizing the development of beach                                                                                                                                                                                                                	|on ecologically fragile coastal barrier islands , such as the hard-hit Isle of Palms near Charleston .                                                                                                                                                                                                      
BBN_filtered_with_Choi_test             	Asia                                                                                                	Chugai also will help Gen-Probe with its regulatory and marketing expertise in                                                                                                                                                                                                                              	|, Mr. Bologna said .                                                                                                                                                                                                                                                                                        
BBN_filtered_with_Choi_test             	Latin America                                                                                       	Mr. Mark attributed the earnings growth to strong sales in                                                                                                                                                                                                                                                  	|, Asia and Europe .                                                                                                                                                                                                                                                                                         
BBN_filtered_with_Choi_test             	Europe                                                                                              	Monsanto Co. , too , is expected to continue reporting higher profit , even though its sales of crop chemicals were hurt in the latest quarter by drought in northern                                                                                                                                       	|and the western U.S. .                                                                                                                                                                                                                                                                                      
BBN_filtered_with_Choi_test             	Europe                                                                                              	Paribas plans a bid for another big French financial and industrial firm , Navigation Mixte , a sign                                                                                                                                                                                                        	|'s takeover fever has n't cooled .                                                                                                                                                                                                                                                                          
BBN_filtered_with_Choi_test             	East                                                                                                	West German Environment Minister Klaus Toepfer said Bonn is convinced of the need for cooperation , `` especially with our neighbors in the                                                                                                                                                                 	|, because we are directly affected by their ecological progress or lack of it . ''                                                                                                                                                                                                                          
BBN_filtered_with_Choi_test             	Asia                                                                                                	Japan not only outstrips the U.S. in investment flows but also outranks it in trade with most Southeast Asian countries -LRB- although the U.S. remains the leading trade partner for all of                                                                                                                	|-RRB- .                                                                                                                                                                                                                                                                                                     
BBN_filtered_with_Choi_test             	Great Barrier Reef                                                                                  	In a Madrid hotel room recently , a viewer caught the end of a badly acted series about a fishing boat on Australia 's                                                                                                                                                                                      	|, only to be urged by the British announcer to `` stay tuned for the further adventures of Skippy the Kangaroo . ''                                                                                                                                                                                         
BBN_filtered_with_Choi_test             	Querecho Plains                                                                                     	Out here on the                                                                                                                                                                                                                                                                                             	|of New Mexico , however , the mood is more upbeat ; trucks rumble along the dusty roads and burly men in hard hats sweat and swear through the afternoon sun .                                                                                                                                              
BBN_filtered_with_Choi_test             	Pacific                                                                                             	WHY SHOULD the Japanese cross the                                                                                                                                                                                                                                                                           	|to buy American real estate when they can simply recreate it at home ?                                                                                                                                                                                                                                      
BBN_filtered_with_Choi_test             	Central America                                                                                     	The sad condition of U.S. policy in                                                                                                                                                                                                                                                                         	|is best depicted by the recent end to U.S. sponsorship of Radio Costa Rica .                                                                                                                                                                                                                                
BBN_filtered_with_Choi_test             	Europe                                                                                              	Reuben Mark , chairman and chief executive officer of Colgate , said earnings growth was fueled by strong sales in Latin America , the Far East and                                                                                                                                                         	|.                                                                                                                                                                                                                                                                                                           
BBN_filtered_with_Choi_test             	Southeast Asia                                                                                      	Japan 's swelling investment in                                                                                                                                                                                                                                                                             	|is part of its economic evolution .                                                                                                                                                                                                                                                                         
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------OntoNotes_filtered_with_Choi_test       	St. Therese                                                                                         	GM is studying whether it can build the new Camaro - Firebird profitably at a plant in                                                                                                                                                                                                                      	|, Quebec , company and union officials said .                                                                                                                                                                                                                                                               
OntoNotes_filtered_with_Choi_test       	Chicago                                                                                             	But his level of frustration showed in a recent , impassioned speech to a group of hundreds of lawyers in                                                                                                                                                                                                   	|.                                                                                                                                                                                                                                                                                                           
OntoNotes_filtered_with_Choi_test       	Shanghai                                                                                            	The US commercial sector is very interested in building a good relationship with                                                                                                                                                                                                                            	|.                                                                                                                                                                                                                                                                                                           
OntoNotes_filtered_with_Choi_test       	the two ends                                                                                        	Peres said : '' China and Israel are at                                                                                                                                                                                                                                                                     	|of Asia , separated by ' ten thousand crags and torrents . '                                                                                                                                                                                                                                                
OntoNotes_filtered_with_Choi_test       	Shanghai                                                                                            	Xinhua News Agency ,                                                                                                                                                                                                                                                                                        	|, August 31st , by reporter Jierong Zhou                                                                                                                                                                                                                                                                    
OntoNotes_filtered_with_Choi_test       	Spain 's                                                                                            	Sharp increases in the price of fresh produce caused                                                                                                                                                                                                                                                        	|September consumer price index to shoot up 1.1 % from the previous month , pushing the annual rate of inflation to 6.8 % , the National Institute of Statistics said Friday .                                                                                                                               
OntoNotes_filtered_with_Choi_test       	Copiague , N.Y. ,                                                                                   	Bolar , of                                                                                                                                                                                                                                                                                                  	|earlier began a voluntary recall of both its 100 milligram and 50 milligram versions of the drug .                                                                                                                                                                                                          
OntoNotes_filtered_with_Choi_test       	Japan                                                                                               	According to presentations , the dependency of China 's exported products on the Japanese market has been increasing annually , but the proportion of imported products in the total import volume from                                                                                                     	|has fluctuated irregularly ; the development of various trade methods was not balanced , general trade has decreased , processing trade has increased ; while the growth of primary product trade was considerably fast .                                                                                   
OntoNotes_filtered_with_Choi_test       	Latin America                                                                                       	He said ,                                                                                                                                                                                                                                                                                                   	|was a continent filled with hopes , and possessed huge development potential .                                                                                                                                                                                                                              
OntoNotes_filtered_with_Choi_test       	a signatory country of GATT                                                                         	Uruguay resolutely supports the recovery of China 's status as                                                                                                                                                                                                                                              	|, and believes that it will make active contributions in the future World Trade Organization .                                                                                                                                                                                                              
OntoNotes_filtered_with_Choi_test       	the lounge                                                                                          	At                                                                                                                                                                                                                                                                                                          	|, manager Elizabeth Dyer wo n't admit patrons in jeans , T - shirts or tennis shoes .                                                                                                                                                                                                                       
OntoNotes_filtered_with_Choi_test       	the desert                                                                                          	To do this , he emphasized , '' We must control                                                                                                                                                                                                                                                             	|that is day - by - day eroding arable land , develop new sources of water , and carry out new engineering projects . ''                                                                                                                                                                                     
OntoNotes_filtered_with_Choi_test       	Oklahoma City                                                                                       	Workers at plants in Van Nuys , Calif. ,                                                                                                                                                                                                                                                                    	|and Pontiac , Mich. , were told their facilities are no longer being considered to build the next generation of the Pontiac Firebird and Chevrolet Camaro muscle cars .                                                                                                                                     
OntoNotes_filtered_with_Choi_test       	space                                                                                               	Honeywell Inc. and International Business Machines Corp. received Air Force contracts to develop integrated circuits for use in                                                                                                                                                                             	|.                                                                                                                                                                                                                                                                                                           
OntoNotes_filtered_with_Choi_test       	a agricultural scientific research training institute , a breeding area for improved agricultural varieties , an organic vegetable area , a quality orchard , the fine stock breeding farm , etc	In the agricultural new high level technology development and model zone of Zibo City in the Zhangdian District , plan to establish                                                                                                                                                                         	|.                                                                                                                                                                                                                                                                                                           
OntoNotes_filtered_with_Choi_test       	hell                                                                                                	However , most people , having been subjected to news footage of the devastated South Bronx , look at the borough the way Tom Wolfe 's Sherman McCoy did in `` Bonfire of the Vanities '' -- as a wrong turn into                                                                                           	|.                                                                                                                                                                                                                                                                                                           
OntoNotes_filtered_with_Choi_test       	China                                                                                               	1006 students abroad filled out application forms , and quite a number of people have successively returned to                                                                                                                                                                                              	|to take jobs .                                                                                                                                                                                                                                                                                              
OntoNotes_filtered_with_Choi_test       	Laura Cunningham 's Bronx                                                                           	But                                                                                                                                                                                                                                                                                                         	|, her childhood Bronx of the '50s , is something else altogether .                                                                                                                                                                                                                                          
OntoNotes_filtered_with_Choi_test       	Jinan                                                                                               	Xinhua News Agency ,                                                                                                                                                                                                                                                                                        	|, September 2nd , by reporter Baixin Zhang                                                                                                                                                                                                                                                                  
OntoNotes_filtered_with_Choi_test       	the New York of the '50s                                                                            	The Bronx also figures in Bruce Jay Friedman 's latest novel , which flashes back to                                                                                                                                                                                                                        	|.                                                                                                                                                                                                                                                                                                           
