FIGER_train                             	Curtin Township                                                                                     	The township is bordered by Burnside Township to the northwest ,                                                                                                                                                                                                                                            	|to the northeast , Boggs and Union Townships to the southeast and Rush Township and Clearfield County to the southwest .                                                                                                                                                                                    
FIGER_train                             	Queen Mary , University of London                                                                   	He was born in Chingford in 1922 and attended Clacton County High School before being accepted into                                                                                                                                                                                                         	|, where he studied Modern Languages .                                                                                                                                                                                                                                                                       
FIGER_train                             	Haghill                                                                                             	The park was established in 1866 when the City Improvement Trustees purchased Alexandra Park from Mr Walter Stewart of                                                                                                                                                                                      	|under special powers conferred upon them by legislation .                                                                                                                                                                                                                                                   
FIGER_train                             	Guinea-Conakry                                                                                      	At the 2009 annual meeting of the General Board , it was decided that the denomination would enter the following new nations :                                                                                                                                                                              	|( Africa Region ) , Niger ( Africa Region ) ; Moldova ( Eurasia Region ) , and Norway ( Eurasia Region ) .                                                                                                                                                                                                  
FIGER_train                             	Gebze                                                                                               	Anadolu Medical Center ( Anadolu Saglik Merkezi ) is a hospital in                                                                                                                                                                                                                                          	|, Kocaeli , Turkey .                                                                                                                                                                                                                                                                                        
FIGER_train                             	Clearfield County , Pennsylvania                                                                    	The Glendale School District is a public school district in Flinton , Cambria County , Pennsylvania and                                                                                                                                                                                                     	|.                                                                                                                                                                                                                                                                                                           
FIGER_train                             	Vienna                                                                                              	Angelo was capped for 20 times by Portugal , making his debut on 27 September 1953 at Prater Stadium in                                                                                                                                                                                                     	|( Austria 9 - Portugal 1 ) Qualif .                                                                                                                                                                                                                                                                         
FIGER_train                             	Kolombangara                                                                                        	Allied reconnaissance aircraft sighted Jojima 's supply convoy 210minmi kmon from Guadalcanal between                                                                                                                                                                                                       	|and Choiseul in the Slot at 14:45 on the same day , and reported it as two " cruisers " and six destroyers .                                                                                                                                                                                                
FIGER_train                             	Louisiana Superdome to face the                                                                     	at Louisiana Superdome , New Orleans , Louisiana Riding a six-game winning streak , the Eagles traveled to the                                                                                                                                                                                              	|NFC South champion New Orleans Saints .                                                                                                                                                                                                                                                                     
FIGER_train                             	Tel Aviv University                                                                                 	Born in Tel Aviv , Brizon gained a BA in political science from the Hebrew University of Jerusalem and a BA in philosophy from                                                                                                                                                                              	|.                                                                                                                                                                                                                                                                                                           
FIGER_train                             	Chebogue , Nova Scotia                                                                              	He was born in                                                                                                                                                                                                                                                                                              	|, the son of Captain Elkanah Clements and Lucy Holmes .                                                                                                                                                                                                                                                     
FIGER_train                             	England                                                                                             	Spetisbury Priory , also Spettisbury Priory , was a medieval priory in Spetisbury or Spettisbury , Dorset ,                                                                                                                                                                                                 	|.                                                                                                                                                                                                                                                                                                           
FIGER_train                             	Teilorte                                                                                            	Großalmerode 's                                                                                                                                                                                                                                                                                             	|are Weißenbach , Trubenhausen , Uengsterode , Rommerode , Laudenbach and Epterode .                                                                                                                                                                                                                         
FIGER_train                             	Saudi Arabia                                                                                        	Al hamra &amp; # 39 ; , Al Madinah is a village in Al Madinah Province , in western                                                                                                                                                                                                                         	|.                                                                                                                                                                                                                                                                                                           
FIGER_train                             	Norwalk                                                                                             	In 1852 , the first railroad line in Danbury opened , with two trains making the 75-minute trip to                                                                                                                                                                                                          	|.                                                                                                                                                                                                                                                                                                           
FIGER_train                             	Brunei                                                                                              	May 27 &amp; ndash ; Tunku Abdul Rahman , Prime Minister of Malaya , holds a press conference in Singapore , announcing his idea to form the Federation of Malaysia , comprising Malaya , Singapore , Sarawak ,                                                                                             	|and North Borneo ( Sabah ) .                                                                                                                                                                                                                                                                                
FIGER_train                             	New York City                                                                                       	Alex Schomburg was born on May 10 , 1905 in Puerto Rico , and moved to                                                                                                                                                                                                                                      	|in the early 1920s , where he began work as a commercial artist with three of his brothers .                                                                                                                                                                                                                
FIGER_train                             	Egypt                                                                                               	The Rafah Border Crossing ( معبر رفح Ma ` bar Rafaḥ , מעבר רפיח ) is an international border crossing between                                                                                                                                                                                               	|and Palestinian-controlled Rafah .                                                                                                                                                                                                                                                                          
FIGER_train                             	Nova Scotia                                                                                         	As a major-general he went out to                                                                                                                                                                                                                                                                           	|in 1776 , and commanded the troops at Halifax for four years .                                                                                                                                                                                                                                              
FIGER_train                             	Congolese                                                                                           	Stephane Maurice Bongho-Nouarra ( June 6 , 1937 &amp; ndash ; October 7 , 2007 ) was a                                                                                                                                                                                                                      	|politician .                                                                                                                                                                                                                                                                                                
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------FIGER_test                              	Concordia University                                                                                	He has a bachelor ’s degree in political science and sociology from Northern Illinois University and other credit hours in microeconomics from                                                                                                                                                              	|in Canada .                                                                                                                                                                                                                                                                                                 
FIGER_test                              	New York City                                                                                       	He worked with the city of Orlando to negotiate an agreement with the Orlando Magic for a new downtown arena and with senior management planning a new Madison Square Garden in                                                                                                                             	|.                                                                                                                                                                                                                                                                                                           
FIGER_test                              	KeyArena                                                                                            	" I understand the challenges of                                                                                                                                                                                                                                                                            	|and the economics of the NBA and NHL , " Hirsh said Friday .                                                                                                                                                                                                                                                
FIGER_test                              	Seattle                                                                                             	The Seattle Coalition on Homelessness counted 2,442 people sleeping on the streets of                                                                                                                                                                                                                       	|last year in its annual One Night Count .                                                                                                                                                                                                                                                                   
FIGER_test                              	Ogdensburg                                                                                          	Barrett brought on Mary Rain of                                                                                                                                                                                                                                                                             	|as his co-counsel in the case at some point last year .                                                                                                                                                                                                                                                     
FIGER_test                              	South Asian                                                                                         	“ Having the                                                                                                                                                                                                                                                                                                	|student commission would give more opportunities for some of the events that we have had in the past but are not able to do now because we do n’t have enough people or enough time or money . ”                                                                                                            
FIGER_test                              	University Lutheran Church-based                                                                    	The pieces were compiled at the Sanctuary Art Center , a non-profit ,                                                                                                                                                                                                                                       	|organization designed to teach creativity to youth .                                                                                                                                                                                                                                                        
FIGER_test                              	Seattle                                                                                             	The Times also reported in December that the investment group is headed by San Francisco hedge-fund manager Christopher Hansen , who has family ties to                                                                                                                                                     	|.                                                                                                                                                                                                                                                                                                           
FIGER_test                              	Occidental Avenue South                                                                             	A limited liability corporation headed by Hansen recently purchased 3 acres on the east side of                                                                                                                                                                                                             	|between South Massachusetts and South Holgate streets .                                                                                                                                                                                                                                                     
FIGER_test                              	UW School of Social Work                                                                            	The opening reception for the art exhibit was held at the                                                                                                                                                                                                                                                   	|on Jan. 11 , and the showing continues until March 15 .                                                                                                                                                                                                                                                     
FIGER_test                              	South Massachusetts                                                                                 	A limited liability corporation headed by Hansen recently purchased 3 acres on the east side of Occidental Avenue South between                                                                                                                                                                             	|and South Holgate streets .                                                                                                                                                                                                                                                                                 
FIGER_test                              	B.C                                                                                                 	Newly elected fellows are invited to attend the annual Fellows Forum , held this year in Vancouver ,                                                                                                                                                                                                        	|.                                                                                                                                                                                                                                                                                                           
FIGER_test                              	San Francisco                                                                                       	The Times also reported in December that the investment group is headed by                                                                                                                                                                                                                                  	|hedge-fund manager Christopher Hansen , who has family ties to Seattle .                                                                                                                                                                                                                                    
FIGER_test                              	Blue Moon                                                                                           	Prosecutors say the owner , manager and others at the                                                                                                                                                                                                                                                       	|, 31140 Pacific Highway South , were recruiting Korean women , many from overseas , to work as “ hostesses . ”                                                                                                                                                                                              
FIGER_test                              	Seattle                                                                                             	" My direction to city staff and our experts is to focus on two goals : 1 ) Seriously explore and consider the opportunity , and 2 ) Ensure that taxpayers and the city of                                                                                                                                  	|are protected , particularly in light of the public 's direction through I-91 , " McGinn said in an emailed statement .                                                                                                                                                                                     
FIGER_test                              	Whitney Museum                                                                                      	Marek Wieczorek , UW associate professor of art history , remembers his first exhibition well : In 1989 , he curated “ The Desire of the Museum ” at the                                                                                                                                                    	|in New York .                                                                                                                                                                                                                                                                                               
FIGER_test                              	Seattle                                                                                             	McGinn said Friday that his office was approached last year by " a private party interested in making a significant investment to construct a new arena in                                                                                                                                                  	|. "                                                                                                                                                                                                                                                                                                         
FIGER_test                              	Minnesota                                                                                           	He was a caseworker in                                                                                                                                                                                                                                                                                      	|but left the job because he found himself perpetually sick from the environments in which he worked .                                                                                                                                                                                                       
FIGER_test                              	New Zealand                                                                                         	However , further study regarding the actual number of these animals kept as pets in                                                                                                                                                                                                                        	|is required for validation .                                                                                                                                                                                                                                                                                
FIGER_test                              	Henry Art Gallery                                                                                   	After years of wanting to curate such an exhibition , Wieczorek has collaborated with the                                                                                                                                                                                                                   	|to feature 26 pieces of Balth ’s “ Videowatercolors . ”                                                                                                                                                                                                                                                     
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------BBN_filtered_with_FIGER_test            	Central America                                                                                     	Prior to this episode , Sen. Christopher Dodd -LRB- D. , Conn. -RRB- , sensing an open field , undertook a personal diplomatic mission through                                                                                                                                                              	|to promote an early disbanding of the rebels .                                                                                                                                                                                                                                                              
BBN_filtered_with_FIGER_test            	Europe                                                                                              	Paribas plans a bid for another big French financial and industrial firm , Navigation Mixte , a sign                                                                                                                                                                                                        	|'s takeover fever has n't cooled .                                                                                                                                                                                                                                                                          
BBN_filtered_with_FIGER_test            	West                                                                                                	The Northeast and                                                                                                                                                                                                                                                                                           	|regions were unchanged .                                                                                                                                                                                                                                                                                    
BBN_filtered_with_FIGER_test            	American South                                                                                      	Using cinema , television and print ads , the company pitches Southern Comfort as a grand old drink of the antebellum                                                                                                                                                                                       	|.                                                                                                                                                                                                                                                                                                           
BBN_filtered_with_FIGER_test            	Asia                                                                                                	`` That 's very sad for China and for Asia because China could have been a good engine for growth , not just for Hong Kong and Taiwan but for Japan , Korea and the rest of                                                                                                                                 	|. ''                                                                                                                                                                                                                                                                                                        
BBN_filtered_with_FIGER_test            	Persian Gulf                                                                                        	Even modernized , he said , the Crusaders represent an obsolete and dangerous protection for the aircraft carriers France has sent to meet such crises as the wars in Lebanon and the                                                                                                                       	|.                                                                                                                                                                                                                                                                                                           
BBN_filtered_with_FIGER_test            	Caribbean                                                                                           	Carnival said the `` Fantasy , '' the first of the three $ 200 million ships that Carnival has on order , is scheduled to be delivered next month , just in time for the winter tourist season in the                                                                                                       	|.                                                                                                                                                                                                                                                                                                           
BBN_filtered_with_FIGER_test            	Arctic                                                                                              	Foothills Pipe Lines Ltd. filed an application with Canadian regulators to build a 4.4 billion Canadian dollar -LRB- US $ 3.74 billion -RRB- pipeline to transport natural gas from Canada 's                                                                                                               	|to U.S. markets beginning in                                                                                                                                                                                                                                                                                
BBN_filtered_with_FIGER_test            	Central America                                                                                     	But the two-day trip still has managed to fuel controversy over his administration 's policies in                                                                                                                                                                                                           	|.                                                                                                                                                                                                                                                                                                           
BBN_filtered_with_FIGER_test            	Cloudcroft                                                                                          	Business has been good enough that he just took a spur-of-the-moment weekend trip to the mountain area of                                                                                                                                                                                                   	|, something `` I have n't done in years . ''                                                                                                                                                                                                                                                                
BBN_filtered_with_FIGER_test            	Rose Garden                                                                                         	Labor and business leaders , quoted at the White House                                                                                                                                                                                                                                                      	|rites , hailed its provisions for insuring corporate pension benefits .                                                                                                                                                                                                                                     
BBN_filtered_with_FIGER_test            	Central America                                                                                     	The sad condition of U.S. policy in                                                                                                                                                                                                                                                                         	|is best depicted by the recent end to U.S. sponsorship of Radio Costa Rica .                                                                                                                                                                                                                                
BBN_filtered_with_FIGER_test            	Querecho Plains                                                                                     	Out here on the                                                                                                                                                                                                                                                                                             	|of New Mexico , however , the mood is more upbeat ; trucks rumble along the dusty roads and burly men in hard hats sweat and swear through the afternoon sun .                                                                                                                                              
BBN_filtered_with_FIGER_test            	Marunouchi district                                                                                 	The core of its holdings is 190,000 square meters of incredibly expensive property in the                                                                                                                                                                                                                   	|, the business and financial center of Tokyo , often jokingly called `` Mitsubishi Village . ''                                                                                                                                                                                                             
BBN_filtered_with_FIGER_test            	Intan                                                                                               	Maxus said it did n't run a production test on the three discovery wells it drilled in the field , which is about 1.6 miles from the Intan Field , because the wells are similar to others drilled at its                                                                                                   	|and Widuri fields .                                                                                                                                                                                                                                                                                         
BBN_filtered_with_FIGER_test            	Bay Area                                                                                            	ROSS STORES INC. , Newark , discount apparel chain , annual sales $ 576 million , two of 28 stores in                                                                                                                                                                                                       	|closed , both could open as early as today .                                                                                                                                                                                                                                                                
BBN_filtered_with_FIGER_test            	Europe                                                                                              	Sales of new cars in                                                                                                                                                                                                                                                                                        	|fell 4.2 % in September from a year earlier and analysts say the market could continue to soften in the months ahead .                                                                                                                                                                                      
BBN_filtered_with_FIGER_test            	San Andreas                                                                                         	At least 270 people were reported killed and 1,400 injured in the rush-hour tremor that caused billions of dollars of damage along 100 miles of the                                                                                                                                                         	|fault .                                                                                                                                                                                                                                                                                                     
BBN_filtered_with_FIGER_test            	Southwest                                                                                           	Arkla Exploration owns sizable gas and crude-oil reserves in the South and                                                                                                                                                                                                                                  	|.                                                                                                                                                                                                                                                                                                           
BBN_filtered_with_FIGER_test            	Northeast                                                                                           	Real estate analyst Lloyd Lynford says the                                                                                                                                                                                                                                                                  	|'s distress is masked by relatively low vacancy rates .                                                                                                                                                                                                                                                     
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------OntoNotes_filtered_with_FIGER_test      	the other in Lordstown , Ohio                                                                       	That means two plants -- one in Scarborough , Ontario , and                                                                                                                                                                                                                                                 	|-- probably will be shut down after the end of 1991 .                                                                                                                                                                                                                                                       
OntoNotes_filtered_with_FIGER_test      	factories                                                                                           	GM is under intense pressure to close                                                                                                                                                                                                                                                                       	|that became unprofitable as the giant auto maker 's U.S. market share skidded during the past decade .                                                                                                                                                                                                      
OntoNotes_filtered_with_FIGER_test      	related countries                                                                                   	They also invited some experts to implement an appraisal of the industrial projects put forward by                                                                                                                                                                                                          	|, and then after the appraisal , entered these projects into the Industrial Development Organization 's network to attract international business .                                                                                                                                                         
OntoNotes_filtered_with_FIGER_test      	10 bonded warehouses                                                                                	At present , there are                                                                                                                                                                                                                                                                                      	|in the area , the storage area of which is more than 80,000 square meters .                                                                                                                                                                                                                                 
OntoNotes_filtered_with_FIGER_test      	the Lanzhou Petrochemical Machinery Factory                                                         	At the same time , it actively expanded its insurance business in the overseas market , providing nearly 30 million US dollars in comprehensive insurance for construction engineering to the Zimbabwe Highway project that was bid on by an international company in the province ; providing liability insurance of 13 million US dollars for the overseas department of	|and the Singapore Oil Drilling Platform ; providing related forms of insurance for Gansu Province 's Overseas Economic and Trade Negotiation Association and for laborers exported overseas ; and also providing complementary insurance services for the overseas business of the Gansu Province Thermoelectric Company .
OntoNotes_filtered_with_FIGER_test      	China 's                                                                                            	Japan has , for four years , successively ranked first place among                                                                                                                                                                                                                                          	|foreign trade partners , and the bilateral trade volume last year was 17.22 billion US dollars higher than that of China and the US , China 's second largest trade partner .                                                                                                                               
OntoNotes_filtered_with_FIGER_test      	Shanghai                                                                                            	Brown arrived in                                                                                                                                                                                                                                                                                            	|from Beijing late last night .                                                                                                                                                                                                                                                                              
OntoNotes_filtered_with_FIGER_test      	North Korea                                                                                         	The Tumen River development program , aiming at building up the Tumen Delta , where the three countries of China , Russia and                                                                                                                                                                               	|meet , into a cosmopolitan hub for the circulation of material and a center for economy and trade , was initially proposed by Chinese experts such as Shishen Ding , etc .                                                                                                                                  
OntoNotes_filtered_with_FIGER_test      	Jilin , China                                                                                       	This year , the United Nations Development and Planning Office held a Tumen River Area International Tourism Conference in                                                                                                                                                                                  	|, actively supporting projects such as China 's Changbai Mountain 's ice and snow winter tourism , etc. , while at the same time , still providing funds for training international economic and trade talent here .                                                                                        
OntoNotes_filtered_with_FIGER_test      	urban and rural areas                                                                               	The last few years has been the period when Huichun 's overall strength has been enhanced most remarkably , the appearance of                                                                                                                                                                               	|has changed most noticeably and the most real benefits have been gained by people . ''                                                                                                                                                                                                                      
OntoNotes_filtered_with_FIGER_test      	six cities                                                                                          	At the beginning of 1993 ,                                                                                                                                                                                                                                                                                  	|such as Zhuhai , Foshan , etc. also organized a delegation to advertise in the US and Canada for students studying abroad .                                                                                                                                                                                 
OntoNotes_filtered_with_FIGER_test      	major U.S. and Canadian cities                                                                      	Nearly all of the crude oil that Canada exports to the U.S. is transported on Interprovincial 's system , whose main line runs from Edmonton to                                                                                                                                                             	|in the Great Lakes region , including Chicago , Buffalo , Toronto and Montreal .                                                                                                                                                                                                                            
OntoNotes_filtered_with_FIGER_test      	France                                                                                              	He pointed out that regardless of whatever major changes happen in the international situation , maintaining friendly relations between the two countries , namely China and                                                                                                                                	|, will always be important for the peace , stability and development of the world .                                                                                                                                                                                                                         
OntoNotes_filtered_with_FIGER_test      	New York                                                                                            	Harry is now a 57 - year - old writer , whose continuing flirtation with drugs and marginal types in Hollywood and                                                                                                                                                                                          	|seems quaintly out - of - synch .                                                                                                                                                                                                                                                                           
OntoNotes_filtered_with_FIGER_test      	her `` Bronx of the emotions , a place where the flats of mediocrity are only relieved by steep descents into hysteria ''	She transforms                                                                                                                                                                                                                                                                                              	|into the `` Babylonian Bronx , '' a world simmering with sex and death and intrigue .                                                                                                                                                                                                                       
OntoNotes_filtered_with_FIGER_test      	Minneapolis                                                                                         	Budget Rent a Car Corp. , of Chicago , and National Car Rental Systems Inc. , of                                                                                                                                                                                                                            	|, both said they had no plans to follow suit .                                                                                                                                                                                                                                                              
OntoNotes_filtered_with_FIGER_test      	Valley Ranch                                                                                        	But a lawyer for Triland Investment Group , the developer of                                                                                                                                                                                                                                                	|, dismisses such arguments as a `` defense du jour . ''                                                                                                                                                                                                                                                     
OntoNotes_filtered_with_FIGER_test      	the Valley Ranch                                                                                    	`` We 'd take                                                                                                                                                                                                                                                                                               	|free and clear as a booby prize .                                                                                                                                                                                                                                                                           
OntoNotes_filtered_with_FIGER_test      	a cosmopolitan hub for the circulation of material and a center for economy and trade               	The Tumen River development program , aiming at building up the Tumen Delta , where the three countries of China , Russia and North Korea meet , into                                                                                                                                                       	|, was initially proposed by Chinese experts such as Shishen Ding , etc .                                                                                                                                                                                                                                    
OntoNotes_filtered_with_FIGER_test      	factories that became unprofitable as the giant auto maker 's U.S. market share skidded during the past decade	GM is under intense pressure to close                                                                                                                                                                                                                                                                       	|.                                                                                                                                                                                                                                                                                                           
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------Choi_filtered_with_FIGER_test           	Iran , the U.S. , Russia and France                                                                 	It was refined later that month in Vienna talks among                                                                                                                                                                                                                                                       	|.                                                                                                                                                                                                                                                                                                           
Choi_filtered_with_FIGER_test           	It                                                                                                  	                                                                                                                                                                                                                                                                                                            	|was the same courtroom where a suspected al Qaeda militant got a death sentence last week for killing three American missionaries .                                                                                                                                                                         
Choi_filtered_with_FIGER_test           	their base                                                                                          	But the rally still paralysed streets as most of the group left                                                                                                                                                                                                                                             	|by truck , car and motorcycle for premier Abhisit Vejjajiva 's house , where a few threw bags of protesters ' blood in a third display of crimson anger .                                                                                                                                                   
Choi_filtered_with_FIGER_test           	Japan                                                                                               	Some analysts estimate the average PC costs about 50 % more in                                                                                                                                                                                                                                              	|than the U.S. .                                                                                                                                                                                                                                                                                             
Choi_filtered_with_FIGER_test           	Laramie                                                                                             	In 2006 , Soke Hausel , 10 dan , retired from the University of Wyoming in                                                                                                                                                                                                                                  	|and relocated the Hombu from Wyoming to Arizona .                                                                                                                                                                                                                                                           
Choi_filtered_with_FIGER_test           	Asia                                                                                                	                                                                                                                                                                                                                                                                                                            	|has been leading recovery of the world economy and will continue to play a more important role in the new world economic order , according to Min Zhu , Special Advisor to the International Monetary Fund 's Managing Director .                                                                           
Choi_filtered_with_FIGER_test           	the village of Polegate , near Eastbourne                                                           	It is twinned with                                                                                                                                                                                                                                                                                          	|in East Sussex , England .                                                                                                                                                                                                                                                                                  
Choi_filtered_with_FIGER_test           	Israel                                                                                              	In the past ,                                                                                                                                                                                                                                                                                               	|has largely refused to free Palestinian prisoners with `` blood on their hands '' -- those involved in deadly attacks on Israelis -- but a growing number of cabinet ministers have voiced support for releasing Barghuti .                                                                                 
Choi_filtered_with_FIGER_test           	the places least damaged by the quake                                                               	The devastating 21 September earthquake of 1999 left Taiwan 's landscape covered in scars , but researchers discovered that                                                                                                                                                                                 	|were areas of natural forest .                                                                                                                                                                                                                                                                              
Choi_filtered_with_FIGER_test           	Gaza                                                                                                	But you see you 've got a religious element both here in America and in Israel -- -- who refuse to give up -- But                                                                                                                                                                                           	|is not the -- g -- - any of the holy land .                                                                                                                                                                                                                                                                 
Choi_filtered_with_FIGER_test           	London                                                                                              	With the rise of Naziism , Bergner moved to                                                                                                                                                                                                                                                                 	|with director Paul Czinner and they were married in 1933 .                                                                                                                                                                                                                                                  
Choi_filtered_with_FIGER_test           	India and other countries                                                                           	About half of its newsprint is now shipped to                                                                                                                                                                                                                                                               	|in Asia and South America where demand for newspapers is strong and , in many cases , growing .                                                                                                                                                                                                             
Choi_filtered_with_FIGER_test           	Isle of Man                                                                                         	Over the night of 19-20 November 2009 , a forecast depression tracked northwest over Ireland , the                                                                                                                                                                                                          	|, Cumbria and Dumfries and Galloway .                                                                                                                                                                                                                                                                       
Choi_filtered_with_FIGER_test           	Lithuania                                                                                           	Baranowo bara ' nowo -LRB- Baranovas -RRB- is a village in the administrative district of Gmina Rutka-Tartak , within Suwalki County , Podlaskie Voivodeship , in north-eastern Poland , close to the border with                                                                                           	|.                                                                                                                                                                                                                                                                                                           
Choi_filtered_with_FIGER_test           	half a world                                                                                        	The situation is much more pessimistic and tense                                                                                                                                                                                                                                                            	|away , in the Middle East .                                                                                                                                                                                                                                                                                 
Choi_filtered_with_FIGER_test           	France                                                                                              	I have just returned from                                                                                                                                                                                                                                                                                   	|, and the net exchange rate charged on my Visa account was more favorable than I obtained for traveler 's checks in any of the several banks where I converted them .                                                                                                                                       
Choi_filtered_with_FIGER_test           	New Mexico                                                                                          	The Old Trails Road In                                                                                                                                                                                                                                                                                      	|, the predecessor to Route 66 was the Old Trails Road .                                                                                                                                                                                                                                                     
Choi_filtered_with_FIGER_test           	Beijing                                                                                             	Four years later , she was chosen to perform at the 11th Asian Games in                                                                                                                                                                                                                                     	|, and sang a duet with Spanish singer Julio Iglesias at the 1993 East Asian Games in Shanghai .                                                                                                                                                                                                             
Choi_filtered_with_FIGER_test           	A fifth synagogue                                                                                   	                                                                                                                                                                                                                                                                                                            	|is in Magada village -LRB- Namutumba District -RRB- , approximately 70 & nbsp ; km distant .                                                                                                                                                                                                                
Choi_filtered_with_FIGER_test           	Large part of Guatemala                                                                             	                                                                                                                                                                                                                                                                                                            	|has been hit by heavy rains since February , which has led to the swelling of many rivers .                                                                                                                                                                                                                 
