FIGER_train                             	Gmina Barcin                                                                                        	Sadlogoszcz sad ' logoszcz is a village in the administrative district of                                                                                                                                                                                                                                   	|, within Znin County , Kuyavian-Pomeranian Voivodeship , in north-central Poland .                                                                                                                                                                                                                          
FIGER_train                             	Gaongo Department                                                                                   	Gomasgo is a village in the                                                                                                                                                                                                                                                                                 	|of Bazega Province in central Burkina Faso .                                                                                                                                                                                                                                                                
FIGER_train                             	Caracas                                                                                             	Originally published from                                                                                                                                                                                                                                                                                   	|, it moved in 1981 to Miami , to Editorial America ( currently owned by Televisa ) , the same editorial house that oversaw the production of Cosmopolitan 's Spanish version .                                                                                                                              
FIGER_train                             	Braunschweig                                                                                        	Harzer cheese is a German sour milk cheese made from low fat curd cheese , which contains only about one percent fat and originates in the Harz mountain region south of                                                                                                                                    	|.                                                                                                                                                                                                                                                                                                           
FIGER_train                             	Manila                                                                                              	The Portuguese in Macau , the Spanish in                                                                                                                                                                                                                                                                    	|, Armenians , and Muslims from India were already actively trading in the port by the 1690s , when the French and English began frequenting the port through the Canton System .                                                                                                                            
FIGER_train                             	New York                                                                                            	Samuel Clark ( January 1800 - October 2 , 1870 ) was a U.S. Representative from the state of                                                                                                                                                                                                                	|and a U.S. Representative from the state of Michigan .                                                                                                                                                                                                                                                      
FIGER_train                             	Hrodna                                                                                              	Then the king 's sisters scattered it between their residences in Krakow , Niepolomice , Warsaw , Vilnius and                                                                                                                                                                                               	|, and even sent some to Sweden .                                                                                                                                                                                                                                                                            
FIGER_train                             	Rijsoord                                                                                            	Schmidt sent a conciliatory message to the Dutch commander General Winkelman , who surrendered shortly afterwards , at                                                                                                                                                                                      	|, a village southeast of Rotterdam .                                                                                                                                                                                                                                                                        
FIGER_train                             	Cambridge , Massachusetts                                                                           	William LeMessurier , the founder                                                                                                                                                                                                                                                                           	|engineering firm LeMessurier Consultants has been credited in developing this award winning systemas part of his research at the Massachusetts Institute of Technology .                                                                                                                                    
FIGER_train                             	Albert Lea , Minnesota                                                                              	He was also Pastor at Trinity Lutheran Church in                                                                                                                                                                                                                                                            	|from 1885-1890 .                                                                                                                                                                                                                                                                                            
FIGER_train                             	Edinburgh                                                                                           	It is located between the towns of Aberlady , Drem , Haddington and Longniddry and is approximately 20 miles from                                                                                                                                                                                           	|.                                                                                                                                                                                                                                                                                                           
FIGER_train                             	Khust                                                                                               	Born in Cluj in Romania in 1939 , Halpert is the grandson of Rabbi Mordechai of Nadvirna and Rabbi Yisroel Yaakov of                                                                                                                                                                                        	|.                                                                                                                                                                                                                                                                                                           
FIGER_train                             	Liberty                                                                                             	They also reported the existence of the Danite group among the Mormons and repeated a popular rumor that a group of Danites was planning to attack and burn Richmond and                                                                                                                                    	|.                                                                                                                                                                                                                                                                                                           
FIGER_train                             	Seoul , South Korea                                                                                 	In 1988 he was unbeaten all season and was the favorite to retain his Olympic title in                                                                                                                                                                                                                      	|.                                                                                                                                                                                                                                                                                                           
FIGER_train                             	Eugene                                                                                              	In 1977 , Brombaugh moved his firm to                                                                                                                                                                                                                                                                       	|, Oregon under the new name , John Brombaugh &amp; amp ; Associates , Inc. that continued until completing its final instrument in summer 2005 .                                                                                                                                                            
FIGER_train                             	Cashel                                                                                              	The eighth of thirteen children born to a coulpe who had strong links to Donegal , he was educated at the local national school and later attended                                                                                                                                                          	|CBS .                                                                                                                                                                                                                                                                                                       
FIGER_train                             	Zblewo                                                                                              	Gmina Stara Kiszewa is bordered by the gminas of Czersk , Kaliska , Karsin , Koscierzyna , Liniewo , Skarszewy and                                                                                                                                                                                          	|.                                                                                                                                                                                                                                                                                                           
FIGER_train                             	Washington , D.C.                                                                                   	Hunter Michael Alexander Kieserman ( born November 6 , 1992 ) , better known by his stage name HMAK , is an American hip hop artist from                                                                                                                                                                    	|.                                                                                                                                                                                                                                                                                                           
FIGER_train                             	Ava                                                                                                 	From 1829 Burney was the British resident envoy to King Bagyidaw 's court at                                                                                                                                                                                                                                	|in Burma where he successfully negotiated the return of the Kabaw Valley from Manipur to Burma .                                                                                                                                                                                                            
FIGER_train                             	Long Island                                                                                         	Originally from Taipei , Taiwan , she moved to New York City in 1971 , first to Queens , then Great Neck ,                                                                                                                                                                                                  	|.                                                                                                                                                                                                                                                                                                           
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------FIGER_test                              	Lake Placid                                                                                         	The move came late Friday afternoon after Scaringe dismissed Brian Barrett of                                                                                                                                                                                                                               	|as one of his defense attorneys .                                                                                                                                                                                                                                                                           
FIGER_test                              	Billings                                                                                            	The 33-year-old                                                                                                                                                                                                                                                                                             	|native enlisted as a military veterinarian .                                                                                                                                                                                                                                                                
FIGER_test                              	Seattle                                                                                             	Art shows by this organization are held all over the                                                                                                                                                                                                                                                        	|area sporadically throughout the year .                                                                                                                                                                                                                                                                     
FIGER_test                              	Seattle                                                                                             	" My direction to city staff and our experts is to focus on two goals : 1 ) Seriously explore and consider the opportunity , and 2 ) Ensure that taxpayers and the city of                                                                                                                                  	|are protected , particularly in light of the public 's direction through I-91 , " McGinn said in an emailed statement .                                                                                                                                                                                     
FIGER_test                              	Seattle                                                                                             	Seattle City Council members said Friday they are troubled that Mayor Mike McGinn would hire a consultant to advise the city on the development of a new , state-of-the-art sports facility that could draw an NBA team back to                                                                             	|— without conferring with them .                                                                                                                                                                                                                                                                            
FIGER_test                              	New York                                                                                            	Marek Wieczorek , UW associate professor of art history , remembers his first exhibition well : In 1989 , he curated “ The Desire of the Museum ” at the Whitney Museum in                                                                                                                                  	|.                                                                                                                                                                                                                                                                                                           
FIGER_test                              	Amsterdam                                                                                           	Since then , Wieczorek has visited Balth ’s studio near                                                                                                                                                                                                                                                     	|many times .                                                                                                                                                                                                                                                                                                
FIGER_test                              	Seattle                                                                                             	McGinn said Friday that his office was approached last year by " a private party interested in making a significant investment to construct a new arena in                                                                                                                                                  	|. "                                                                                                                                                                                                                                                                                                         
FIGER_test                              	Seattle                                                                                             	“                                                                                                                                                                                                                                                                                                           	|is one of the capitals of global health , and yet there are n’t enough young people aware of the opportunities to do something positive with their lives and to actually have a career working in global health , ” said William Heisel , a representative at the Institute for Health Metrics and Evaluation ( IHME ) .
FIGER_test                              	Los Angeles                                                                                         	Investigators suspect Cho is in the                                                                                                                                                                                                                                                                         	|area .                                                                                                                                                                                                                                                                                                      
FIGER_test                              	Port-au-Prince                                                                                      	Two years after a catastrophic earthquake occured near the capital of                                                                                                                                                                                                                                       	|, most of the images we see coming out of Haiti show damage and despair , and most come from foreign photographers .                                                                                                                                                                                        
FIGER_test                              	Seattle                                                                                             	Christian Sinderman , a political consultant , said that while the number of people who want professional basketball returned to                                                                                                                                                                            	|is high , the number who think it 's essential is low .                                                                                                                                                                                                                                                     
FIGER_test                              	Federal Way                                                                                         	Kwang Frank Lee , 57 , of                                                                                                                                                                                                                                                                                   	|; accused of providing money to finance a bogus marriage tied to the scheme .                                                                                                                                                                                                                               
FIGER_test                              	San Francisco                                                                                       	The Times also reported in December that the investment group is headed by                                                                                                                                                                                                                                  	|hedge-fund manager Christopher Hansen , who has family ties to Seattle .                                                                                                                                                                                                                                    
FIGER_test                              	Glasgow                                                                                             	The study is from the College of Medical , Veterinary & Life Sciences , University of Glasgow ,                                                                                                                                                                                                             	|, UK .                                                                                                                                                                                                                                                                                                      
FIGER_test                              	Seattle                                                                                             	The Sanctuary Art Center also has an education program , which is partnered with the Interagency Academy , an alternative school in                                                                                                                                                                         	|that allows young adults to get credit toward their GEDs by participating in the program .                                                                                                                                                                                                                  
FIGER_test                              	Federal Way                                                                                         	Raymond Jung , 51 , of                                                                                                                                                                                                                                                                                      	|; accused of leasing apartments where the women were housed .                                                                                                                                                                                                                                               
FIGER_test                              	Seattle                                                                                             	The Times also reported in December that the investment group is headed by San Francisco hedge-fund manager Christopher Hansen , who has family ties to                                                                                                                                                     	|.                                                                                                                                                                                                                                                                                                           
FIGER_test                              	Milton                                                                                              	Agents arrested six of the accused Thursday morning , including the club ’s owner , Chang Young Kim , a 58-year-old                                                                                                                                                                                         	|resident ; and his wife , 35-year-old Yeun Jeong Mun .                                                                                                                                                                                                                                                      
FIGER_test                              	Brooklyn                                                                                            	Hirsh estimated it would cost $ 400 million to build a new arena , although the NBA 's New Jersey Nets will spend $ 800 million on one in                                                                                                                                                                   	|.                                                                                                                                                                                                                                                                                                           
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------BBN_filtered_with_FIGER_test            	Pittsburgh                                                                                          	Mount Lebanon High School , near                                                                                                                                                                                                                                                                            	|, sought $ 21 million in compensatory damages from Grace , arguing that the asbestos , which can cause respiratory diseases and lung cancer , posed a risk to students .                                                                                                                                    
BBN_filtered_with_FIGER_test            	Palo Alto                                                                                           	FORD MOTOR CO. , Dearborn , Mich. , auto maker , annual sales of $ 92.4 billion , NYSE , said its three Ford Aerospace unit facilities in the Bay area , including a satellite-assembly operation in                                                                                                        	|, had no major damage .                                                                                                                                                                                                                                                                                     
BBN_filtered_with_FIGER_test            	Chicago                                                                                             	One vocal critic of the changes ,                                                                                                                                                                                                                                                                           	|lawyer Warren Lupel , says non-lawyers should n't be on the inquiry panels because they are unlikely to appreciate the nuances of attorney-client relationships .                                                                                                                                           
BBN_filtered_with_FIGER_test            	New York                                                                                            	Under his watch , office politicking was often rampant in the agency 's                                                                                                                                                                                                                                     	|operation and the office there has had a dismal new-business record for more than a year .                                                                                                                                                                                                                  
BBN_filtered_with_FIGER_test            	San Jose                                                                                            	Commercial customers can purchase the same system through Businessland Inc. , a computer retailer based in                                                                                                                                                                                                  	|, Calif. , for roughly $ 3,000 more .                                                                                                                                                                                                                                                                       
BBN_filtered_with_FIGER_test            	Los Angeles                                                                                         	                                                                                                                                                                                                                                                                                                            	|will be the site of a new entertainment division for the ad agency .                                                                                                                                                                                                                                        
BBN_filtered_with_FIGER_test            	Colorado Springs                                                                                    	The following were barred or , where noted , suspended and consented to findings without admitting or denying wrongdoing : Edward L. Cole , Jackson , Miss . , $ 10,000 fine ; Rita Rae Cross , Denver , $ 2,500 fine and 30-day suspension ; Thomas Richard Meinders ,                                     	|, Colo. , $ 2,000 fine , five-day suspension and eight-month suspension as a principal ; Ronald A. Cutrer , Baton Rouge , La . , $ 15,000 fine and one-month suspension ; Karl Grant Hale , Midvale , Utah , $ 15,000 fine ; Clinton P. Hayne , New Orleans , $ 7,500 fine and one-week suspension ; Richard M. Kane , Coconut Creek , Fla. , $ 250,000 fine ; John B. Merrick , Aurora , Colo. , $ 1,000 fine and 10-day suspension ; John P. Miller , Baton Rouge , $ 2,000 fine and two-week suspension ; Randolph K. Pace , New York , $ 10,000 fine and 90-day suspension ; Brian D. Pitcher , New Providence , N.J. , $ 30,000 fine ; Wayne A. Russo , Bridgeville , Pa. , $ 4,000 fine and 15-day suspension ; Orville Leroy Sandberg , Aurora , Colo. , $ 3,500 fine and 10-day suspension ; Richard T. Marchese , Las Vegas , Nev. , $ 5,000 and one-year suspension ; Eric G. Monchecourt , Las Vegas , $ 5,000 and one-year suspension ; and Robert Gerhard Smith , Carson City , Nev. , two-year suspension .
BBN_filtered_with_FIGER_test            	Palo Alto                                                                                           	WATKINS-JOHNSON CO. , defense-oriented electronics manufacturer , annual sales $ 292 million , NYSE , minor damage to headquarters and plant in                                                                                                                                                             	|, no damage to San Jose plant , `` still assessing '' damage at Scotts Valley plant , where main product is furnaces for semiconductor production .                                                                                                                                                         
BBN_filtered_with_FIGER_test            	San Juan                                                                                            	The two companies , both based in                                                                                                                                                                                                                                                                           	|, will form a bank holding company with assets of just over $ 9 billion .                                                                                                                                                                                                                                   
BBN_filtered_with_FIGER_test            	Morristown                                                                                          	Died : Robert V. Van Fossan , 63 , chairman of Mutual Benefit Life Insurance Co. , Sunday , in                                                                                                                                                                                                              	|, N.J. , of cancer .                                                                                                                                                                                                                                                                                        
BBN_filtered_with_FIGER_test            	Washington                                                                                          	AT & T assembled three of its top executives in                                                                                                                                                                                                                                                             	|, all visibly angry , to try to refute MCI 's charges .                                                                                                                                                                                                                                                     
BBN_filtered_with_FIGER_test            	Boston                                                                                              	And in suburban                                                                                                                                                                                                                                                                                             	|, developers are bracing for cutbacks in the computer industry , a major user of office space .                                                                                                                                                                                                             
BBN_filtered_with_FIGER_test            	Chicago                                                                                             	In its new ad campaign , created by D'Arcy Masius Benton & Bowles Inc. ,                                                                                                                                                                                                                                    	|, the ski industry is trying to change its image as a sport primarily for young white people .                                                                                                                                                                                                              
BBN_filtered_with_FIGER_test            	Atlanta                                                                                             	At the Charles Schwab & Co. office in                                                                                                                                                                                                                                                                       	|'s Buckhead district , a group of investors voices skepticism that federal officials would curb program trading .                                                                                                                                                                                           
BBN_filtered_with_FIGER_test            	Moscow                                                                                              	Peter Gumbel in                                                                                                                                                                                                                                                                                             	|contributed to this article .                                                                                                                                                                                                                                                                               
BBN_filtered_with_FIGER_test            	Chicago                                                                                             	For example , stock-index futures began trading in                                                                                                                                                                                                                                                          	|in 1982 , and within two years they were the fastest-growing futures contract ever launched .                                                                                                                                                                                                               
BBN_filtered_with_FIGER_test            	Chicago                                                                                             	IMA is a group that includes First Boston Corp. and the Pritzker family of                                                                                                                                                                                                                                  	|through the leveraged buy-out fund Harry Gray Melvyn Klein & Partners .                                                                                                                                                                                                                                     
BBN_filtered_with_FIGER_test            	New York                                                                                            	Bristol-Myers Squibb Co. ,                                                                                                                                                                                                                                                                                  	|, the newly merged drug and health-care-product company , reported record third-quarter earnings for both companies in the merger .                                                                                                                                                                         
BBN_filtered_with_FIGER_test            	East Berlin                                                                                         	The 77-year-old official , who oversaw the building of the Berlin Wall , was removed during a meeting of the 163-member Communist Party Central Committee in                                                                                                                                                	|.                                                                                                                                                                                                                                                                                                           
BBN_filtered_with_FIGER_test            	New York                                                                                            	Allegheny Ludlum Corp. expects to report third-quarter net of about $ 34 million , or $ 1.50 a share , down from $ 38.4 million , or $ 1.70 a share , a year earlier , Richard P. Simmons , chairman and chief executive officer , told institutional investors in                                          	|.                                                                                                                                                                                                                                                                                                           
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------OntoNotes_filtered_with_FIGER_test      	Macau 's                                                                                            	Xuming Zhang recently said at the joint meeting for the fifth anniversary of the establishment of the Chinese Enterprise Association in Macau , that                                                                                                                                                        	|inland investment enterprises , from small to large and from weak to strong , have developed into an important force in Macau 's economic domain .                                                                                                                                                          
OntoNotes_filtered_with_FIGER_test      	Van Nuys , Calif. , Oklahoma City and Pontiac , Mich.                                               	Workers at plants in                                                                                                                                                                                                                                                                                        	|, were told their facilities are no longer being considered to build the next generation of the Pontiac Firebird and Chevrolet Camaro muscle cars .                                                                                                                                                         
OntoNotes_filtered_with_FIGER_test      	Manhattan                                                                                           	Certainly , the recent drop in prices does n't mean                                                                                                                                                                                                                                                         	|comes cheap .                                                                                                                                                                                                                                                                                               
OntoNotes_filtered_with_FIGER_test      	Manhattan                                                                                           	That follows a more subtle decline in the prior six months , after                                                                                                                                                                                                                                          	|rents had run up rapidly since 1986 .                                                                                                                                                                                                                                                                       
OntoNotes_filtered_with_FIGER_test      	Portland                                                                                            	Precision Castparts Corp. ,                                                                                                                                                                                                                                                                                 	|, Ore. , will begin trading with the symbol PCP .                                                                                                                                                                                                                                                           
OntoNotes_filtered_with_FIGER_test      	Laiwu City of Shandong Province                                                                     	                                                                                                                                                                                                                                                                                                            	|has established a cell structure cultivation center inside the agricultural new high level technology development and model zones , to introduce and tame improved breeds of nurseries , flowers and vegetables from home and abroad .                                                                      
OntoNotes_filtered_with_FIGER_test      	Guangzhou 's                                                                                        	In the first quarter of this year ,                                                                                                                                                                                                                                                                         	|private industries , construction industries and traffic and transportation industries have achieved a total output value of 412 million yuan , 22.62 % higher than that of the same period of the previous year .                                                                                          
OntoNotes_filtered_with_FIGER_test      	Macau 's                                                                                            	Xuming Zhang recently said at the joint meeting for the fifth anniversary of the establishment of the Chinese Enterprise Association in Macau , that Macau 's inland investment enterprises , from small to large and from weak to strong , have developed into an important force in                       	|economic domain .                                                                                                                                                                                                                                                                                           
OntoNotes_filtered_with_FIGER_test      	London                                                                                              	It will continue to trade on the International Stock Exchange ,                                                                                                                                                                                                                                             	|.                                                                                                                                                                                                                                                                                                           
OntoNotes_filtered_with_FIGER_test      	all cities within the province                                                                      	Since 1991 when Shenzhen established the first standing talent market , such '' all - weather '' talent exchange organizations have rapidly spread in the Zhujiang Delta and                                                                                                                                	|.                                                                                                                                                                                                                                                                                                           
OntoNotes_filtered_with_FIGER_test      	Shanghai 's                                                                                         	This afternoon , Brown also visited Shanghai 's AMP Linking Company , Ltd. , which was jointly invested and built by the Shanghai Electric Component Company and the US AMP China Limited Company , situated in                                                                                             	|Caohejing high - tech development district .                                                                                                                                                                                                                                                                
OntoNotes_filtered_with_FIGER_test      	Addison 's                                                                                          	Mayor Lynn Spruill and two members of the council said they were worried about setting a precedent that would permit pool halls along                                                                                                                                                                       	|main street .                                                                                                                                                                                                                                                                                               
OntoNotes_filtered_with_FIGER_test      	Palo Alto                                                                                           	The nation 's largest short - selling operation is Feshbach Brothers ,                                                                                                                                                                                                                                      	|, Calif. , which said last May that its short positions had shown losses of 10 % for the year up to that point .                                                                                                                                                                                            
OntoNotes_filtered_with_FIGER_test      	Guiyang                                                                                             	Xinhua News Agency ,                                                                                                                                                                                                                                                                                        	|, December 22nd , by reporter Fang Fang                                                                                                                                                                                                                                                                     
OntoNotes_filtered_with_FIGER_test      	Huichun                                                                                             	According to investigations , South Korean enterprise circles have invested nearly 100 million US dollars in                                                                                                                                                                                                	|, and foreign - invested enterprises have become an important pillar of the local economy .                                                                                                                                                                                                                 
OntoNotes_filtered_with_FIGER_test      	Cambridge                                                                                           	                                                                                                                                                                                                                                                                                                            	|, Mass .                                                                                                                                                                                                                                                                                                    
OntoNotes_filtered_with_FIGER_test      	Sichuan 's                                                                                          	In market competition , products such as Jiangxi 's Yaya brand , Beijing 's Yililan brand , Guangdong 's Galanz brand , and                                                                                                                                                                                 	|Tian'ge brand , etc. have great reputations .                                                                                                                                                                                                                                                               
OntoNotes_filtered_with_FIGER_test      	Guangzhou 's                                                                                        	                                                                                                                                                                                                                                                                                                            	|private sector economy is developing swiftly , enterprise scale is gradually enlarging , and has begun to develop towards the area of high and new technology industries .                                                                                                                                  
OntoNotes_filtered_with_FIGER_test      	Zhuhai , Foshan , etc.                                                                              	At the beginning of 1993 , six cities such as                                                                                                                                                                                                                                                               	|also organized a delegation to advertise in the US and Canada for students studying abroad .                                                                                                                                                                                                                
OntoNotes_filtered_with_FIGER_test      	Pontiac                                                                                             	Workers at plants in Van Nuys , Calif. , Oklahoma City and                                                                                                                                                                                                                                                  	|, Mich. , were told their facilities are no longer being considered to build the next generation of the Pontiac Firebird and Chevrolet Camaro muscle cars .                                                                                                                                                 
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------Choi_filtered_with_FIGER_test           	Govan , Glasgow                                                                                     	Benburb Football Club are a Scottish football club , based in                                                                                                                                                                                                                                               	|.                                                                                                                                                                                                                                                                                                           
Choi_filtered_with_FIGER_test           	Egypt                                                                                               	British troops were stationed in                                                                                                                                                                                                                                                                            	|from 1875 to the end of the Second World War in 1945 and Ali 's successors were reduced to puppets of British imperial policy .                                                                                                                                                                             
Choi_filtered_with_FIGER_test           	the capital 's main airport                                                                         	Witnesses say Iraqi troops are dug in trying to fend off coalition troops making their way into                                                                                                                                                                                                             	|.                                                                                                                                                                                                                                                                                                           
Choi_filtered_with_FIGER_test           	Frankfurt                                                                                           	Shares also closed sharply lower across Europe , particularly in                                                                                                                                                                                                                                            	|, although London and a few other markets recovered some ground after stocks began to rebound in New York .                                                                                                                                                                                                 
Choi_filtered_with_FIGER_test           	London                                                                                              	With the rise of Naziism , Bergner moved to                                                                                                                                                                                                                                                                 	|with director Paul Czinner and they were married in 1933 .                                                                                                                                                                                                                                                  
Choi_filtered_with_FIGER_test           	it                                                                                                  	Located 320kmon inland from Hudson Bay ,                                                                                                                                                                                                                                                                    	|is near the nation 's geographical centre , and is notable for being the Canadian Arctic 's sole inland community .                                                                                                                                                                                         
Choi_filtered_with_FIGER_test           	Truk                                                                                                	On 13 April , the British deciphered an IJN message informing Inoue that the Fifth Carrier Division , consisting of the fleet carriers Japanese aircraft carrierShokaku2 and Japanese aircraft carrierZuikaku2 , was en route to his command from Formosa via the main IJN base at                          	|.                                                                                                                                                                                                                                                                                                           
Choi_filtered_with_FIGER_test           	it                                                                                                  	If the Valley muscled its way onto America 's urban map , L.A. would be left with a population of 2.3 million _ dropping                                                                                                                                                                                    	|to third and restoring Chicago to the Second City status it once cherished .                                                                                                                                                                                                                                
Choi_filtered_with_FIGER_test           	discussions of the Israeli-Palestinian conflict                                                     	It originated in                                                                                                                                                                                                                                                                                            	|, where it was used to refer to Israeli settlements built in the occupied West Bank , which were intended to establish permanent Israeli footholds in Palestinian territory .                                                                                                                               
Choi_filtered_with_FIGER_test           	it                                                                                                  	In 1860 ,                                                                                                                                                                                                                                                                                                   	|became part of the new Kingdom of Italy .                                                                                                                                                                                                                                                                   
Choi_filtered_with_FIGER_test           	it                                                                                                  	Unlike the Maronites , Israel 's Jews will not let themselves become the weakest force in a system of private armies ; Jerusalem will become Belfast before                                                                                                                                                 	|becomes Beirut .                                                                                                                                                                                                                                                                                            
Choi_filtered_with_FIGER_test           	Venice                                                                                              	The `` Deepwater Horizon '' drilling rig , owned by Swiss-based Transocean , sank April 22 some 52 km off                                                                                                                                                                                                   	|, after burning for roughly 36 hours .                                                                                                                                                                                                                                                                      
Choi_filtered_with_FIGER_test           	this encouragement                                                                                  	It was organized on 29 February , 2012 , at                                                                                                                                                                                                                                                                 	|.                                                                                                                                                                                                                                                                                                           
Choi_filtered_with_FIGER_test           	department stores                                                                                   	Under the terms of the contract , New York-based Gitano has the option to acquire the remaining 50 % of Regatta , a maker of men 's and women 's clothes sold primarily in                                                                                                                                  	|, under certain conditions .                                                                                                                                                                                                                                                                                
Choi_filtered_with_FIGER_test           	London -LRB- UK -RRB-                                                                               	Started in                                                                                                                                                                                                                                                                                                  	|, there are now conferences in Berlin -LRB- Germany -RRB- , Florence -LRB- Italy -RRB- , Moscow -LRB- Russia -RRB- , Vienna -LRB- Austria -RRB- and other major cities .                                                                                                                                    
Choi_filtered_with_FIGER_test           	Pennsylvania , Michigan , Colorado , Ohio and New York                                              	In subsequent years , Ella worked as a trade union organizer and helped during industrial disputes in                                                                                                                                                                                                       	|.                                                                                                                                                                                                                                                                                                           
Choi_filtered_with_FIGER_test           	Babylon                                                                                             	She returned via Germany , Syria and Mesopotamian sites in Iraq such as Ur and                                                                                                                                                                                                                              	|.                                                                                                                                                                                                                                                                                                           
Choi_filtered_with_FIGER_test           	Lyon , France                                                                                       	                                                                                                                                                                                                                                                                                                            	|is located on the confluence of the Saone and Rhone rivers .                                                                                                                                                                                                                                                
Choi_filtered_with_FIGER_test           	Montreal and Toronto                                                                                	In tennis the airline sponsors the Dubai Tennis Championships , and the Canadian Open tennis championships held in                                                                                                                                                                                          	|.                                                                                                                                                                                                                                                                                                           
Choi_filtered_with_FIGER_test           	Boise I                                                                                             	                                                                                                                                                                                                                                                                                                            	|know because it 's the home of Septic Death .                                                                                                                                                                                                                                                               
