FIGER_train                             	Smithsonian Institution                                                                             	Gerald Wayne Clough ( born September 24 , 1941 ) is President Emeritus of the Georgia Institute of Technology and Secretary of the                                                                                                                                                                          	|, a position he has held since July 2008 .                                                                                                                                                                                                                                                                  
FIGER_train                             	SKA St. Petersburg                                                                                  	In the first round of the playoffs Dinamo faced                                                                                                                                                                                                                                                             	|with players like Zubov , Cajanek , Sushinsky and Yashin on the roster .                                                                                                                                                                                                                                    
FIGER_train                             	Network Ten                                                                                         	December 27 - Kerry Stokes ' ownership of ADS-7 ( while owning                                                                                                                                                                                                                                              	|outlets in Perth and Canberra ) and TVW-7 's ownership of SAS-10 , result in the stations deciding to swap callsigns and affiliations .                                                                                                                                                                     
FIGER_train                             	Buffalo All-Americans                                                                               	The 1923                                                                                                                                                                                                                                                                                                    	|season was their fourth in the league and final season as the All-Americans .                                                                                                                                                                                                                               
FIGER_train                             	Japan                                                                                               	Gobara Station郷原駅Gobara-eki is a train station in Higashiagatsuma , Agatsuma District , Gunma Prefecture ,                                                                                                                                                                                                  	|.                                                                                                                                                                                                                                                                                                           
FIGER_train                             	Utkal Congress                                                                                      	After the Orissa Vidhan Sabha election in 1971 , the                                                                                                                                                                                                                                                        	|, the Swatantra Party and the Jharkhand Party formed a United Front and he became the Chief Minister of the United Front government .                                                                                                                                                                       
FIGER_train                             	Chicago Daily Tribune                                                                               	The game was played as negotiations were underway to end World War I , and the                                                                                                                                                                                                                              	|wrote : " While the nations of the world are hoping for an armistice , the resumption of hostilities between forces guided by Gens .                                                                                                                                                                        
FIGER_train                             	Broadway                                                                                            	It was last revived in a Lincoln Center Theater production on                                                                                                                                                                                                                                               	|at the Belasco Theatre , opening on April 17 , 2006 and closing on June 25 , 2006 after 80 performances and 27 previews .                                                                                                                                                                                   
FIGER_train                             	University of Prince Edward Island                                                                  	Recently a program named SimPL has been produced at the                                                                                                                                                                                                                                                     	|, PEI , Canada , which attempts to simulate the positron interaction and model the output spectra .                                                                                                                                                                                                         
FIGER_train                             	PBS                                                                                                 	Flying Spot has seen success over the years creating animations and providing editorial for clients like National Geographic , Discovery , A&amp;E ,                                                                                                                                                        	|, TeleUno , Microsoft , T-Mobile , Starbucks , Getty Images , Philips Medical , Fed Ex , Vulcan , and numerous pro-sports franchises .                                                                                                                                                                      
FIGER_train                             	Ross County                                                                                         	The previous winner was Airdrie United , who defeated                                                                                                                                                                                                                                                       	|3 &amp; ndash ; 2 on penalties after a 2 &amp; ndash ; 2 draw in the 2008 final .                                                                                                                                                                                                                           
FIGER_train                             	Royal Air Force                                                                                     	There was also a Chain Home Low radar station operated by the                                                                                                                                                                                                                                               	|at the hotel during World War II .                                                                                                                                                                                                                                                                          
FIGER_train                             	Black Panthers                                                                                      	Biko made no bones about the ' consciousness ' aspect of the movement and in this limited respect he is similar to Huey P. Newton of the                                                                                                                                                                    	|in the United States .                                                                                                                                                                                                                                                                                      
FIGER_train                             	George Wimpey                                                                                       	                                                                                                                                                                                                                                                                                                            	|initially wanted to continue the massive house building exercise it began in Clifton , but had to wait until NCC agreed to its construction and ultimately granted permission to commence .                                                                                                                 
FIGER_train                             	Universite du Quebec en Abitibi-Temiscamingue                                                       	She was also an administration member at the                                                                                                                                                                                                                                                                	|and was treasurer of the Regional Economique Development Council of the Abitibi-Temiscamingue .                                                                                                                                                                                                             
FIGER_train                             	Rugby Football League                                                                               	Mr Uttley presented officials of the                                                                                                                                                                                                                                                                        	|with the 61 centimetre high silver-plated trophy in Bradford , where he lived , it was then taken to the RFL 's headquarters in Leeds .                                                                                                                                                                     
FIGER_train                             	Sportivo Italiano                                                                                   	From there , Delfino went to spent some years in second division making appearances for San Martin de Tucuman , Atlanta and                                                                                                                                                                                 	|.                                                                                                                                                                                                                                                                                                           
FIGER_train                             	Savage                                                                                              	Some brands/makers that are popular with U.S. collectors include : Colt , Merwin Hulbert , Mosin-Nagant , Parker , Remington ,                                                                                                                                                                              	|, Smith &amp; amp ; Wesson , Whitney , and Winchester .                                                                                                                                                                                                                                                     
FIGER_train                             	Air America                                                                                         	An                                                                                                                                                                                                                                                                                                          	|Bell UH-1B , XW-PHF , resupplying the site chased the two attacking aircraft .                                                                                                                                                                                                                              
FIGER_train                             	Chateau d'issan                                                                                     	Emmanuel Cruse took over as proprietor of the                                                                                                                                                                                                                                                               	|in 1998 as the third generation of the Cruse family to own the third growth winery that was included in the Bordeaux Wine Official Classification of 1855 .                                                                                                                                                 
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------FIGER_test                              	APA                                                                                                 	After Executive Director Terry Martino announced the final vote count - 10 to 1 - a round of applause erupted from the many Tupper Lakers and local government representatives packed into the                                                                                                              	|'s board room .                                                                                                                                                                                                                                                                                             
FIGER_test                              	ASC                                                                                                 	This would not be the first time the                                                                                                                                                                                                                                                                        	|community has been divided .                                                                                                                                                                                                                                                                                
FIGER_test                              	Real Change                                                                                         	Employees of                                                                                                                                                                                                                                                                                                	|work as their own bosses .                                                                                                                                                                                                                                                                                  
FIGER_test                              	ASC                                                                                                 	In 2000 , student groups split from                                                                                                                                                                                                                                                                         	|in order to form the Pacific Islander Student Commission .                                                                                                                                                                                                                                                  
FIGER_test                              	Northwestern Energy                                                                                 	                                                                                                                                                                                                                                                                                                            	|spokeswoman Claudia Rapkoch said the outage started at 10:50 a.m .                                                                                                                                                                                                                                          
FIGER_test                              	Interagency Academy                                                                                 	The Sanctuary Art Center also has an education program , which is partnered with the                                                                                                                                                                                                                        	|, an alternative school in Seattle that allows young adults to get credit toward their GEDs by participating in the program .                                                                                                                                                                               
FIGER_test                              	Concordia University                                                                                	He has a bachelor ’s degree in political science and sociology from Northern Illinois University and other credit hours in microeconomics from                                                                                                                                                              	|in Canada .                                                                                                                                                                                                                                                                                                 
FIGER_test                              	ASC                                                                                                 	“ It ’s hard to get our constituents to go to other                                                                                                                                                                                                                                                         	|events because they ’re not interested or they do n’t have time .                                                                                                                                                                                                                                           
FIGER_test                              	Seattle police                                                                                      	                                                                                                                                                                                                                                                                                                            	|detectives had been investigating an unrelated embezzlement scheme when they received information on the sex-trafficking ring and passed it along to the federal agents .                                                                                                                                   
FIGER_test                              	Sony                                                                                                	                                                                                                                                                                                                                                                                                                            	|has now announced that they 're creating a new line of high-speed SD cards .                                                                                                                                                                                                                                
FIGER_test                              	Cougars                                                                                             	If Rogers is in the game , the Huskies will be much better equipped to match the                                                                                                                                                                                                                            	|in that aspect .                                                                                                                                                                                                                                                                                            
FIGER_test                              	ASUW Board of Directors                                                                             	Although the bill concerning it has been tabled by the                                                                                                                                                                                                                                                      	|, many students still feel a new commission representing South Asian student groups would be beneficial to the community .                                                                                                                                                                                  
FIGER_test                              	Hansen                                                                                              	He said an arena could be built on as little as 7 to 8 acres , which is about the size of the parcel the                                                                                                                                                                                                    	|investment group has shown an interest in acquiring .                                                                                                                                                                                                                                                       
FIGER_test                              	AAAS                                                                                                	“ Election to the                                                                                                                                                                                                                                                                                           	|is a very high honor , ” said chemistry department chair Paul Hopkins .                                                                                                                                                                                                                                     
FIGER_test                              	Washington State                                                                                    	A recent spate of injuries , though , has suddenly left the Huskies surprisingly thin in the frontcourt going into Saturday ’s game against                                                                                                                                                                 	|in Pullman , Wash. , where the UW will attempt to extend its 32-game winning streak against the Cougars .                                                                                                                                                                                                   
FIGER_test                              	Department of Chemistry                                                                             	A handful of professors in the UW                                                                                                                                                                                                                                                                           	|are being recognized by the American Association for the Advancement of Science ( AAAS ) for their efforts and contributions to the scientific community .                                                                                                                                                  
FIGER_test                              	UW School of Law Innocence Project Northwest ( IPNW ) Clinic                                        	Students from the                                                                                                                                                                                                                                                                                           	|will testify in support of a bill that establishes a compensation statute for individuals wrongfully convicted in Washington State .                                                                                                                                                                        
FIGER_test                              	City Council                                                                                        	If it does , he said , " consulting with the                                                                                                                                                                                                                                                                	|will be my first step in moving forward . "                                                                                                                                                                                                                                                                 
FIGER_test                              	Court of Appeals                                                                                    	Bradford was convicted of rape and , in 2010 , became the first person in Washington to be acquitted by the                                                                                                                                                                                                 	|based on DNA testing .                                                                                                                                                                                                                                                                                      
FIGER_test                              	Rampage                                                                                             	The AT&T Center is home to three teams — the Spurs , the WNBA 's Silver Stars and the American Hockey League 's                                                                                                                                                                                             	|.                                                                                                                                                                                                                                                                                                           
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------BBN_filtered_with_FIGER_test            	PLO                                                                                                 	                                                                                                                                                                                                                                                                                                            	|leader Arafat asked Egypt to seek clarifications from the U.S. on Secretary of State Baker 's plan for Mideast peace talks , an aide to Egyptian President Mubarak said .                                                                                                                                   
BBN_filtered_with_FIGER_test            	DPC Acquisition Partners                                                                            	Dataproducts Inc. said it filed a lawsuit in Delaware Chancery Court to block a tender offer by                                                                                                                                                                                                             	|, alleging that the hostile offer violates a standstill agreement between the two concerns .                                                                                                                                                                                                                
BBN_filtered_with_FIGER_test            	USAir                                                                                               	A month ago , Hertz , of Park Ridge , N.J. , said that it would drop its marketing agreements at year end with Delta , America West and Texas Air Corp. 's Continental Airlines and Eastern Airlines , and that pacts with American Airlines , UAL Inc 's United Airlines and                               	|also would be ended ... sometime after Dec. 31 .                                                                                                                                                                                                                                                            
BBN_filtered_with_FIGER_test            	ABC                                                                                                 	We 've heard California 's property-tax-cutting Proposition 13 blamed for a lot over the years , but                                                                                                                                                                                                        	|'s Ted Koppel came up with a new wrinkle in his earthquake coverage last week when he asked Democratic Assemblyman Richard Katz if Prop . 13 had withheld money needed for road maintenance .                                                                                                               
BBN_filtered_with_FIGER_test            	State Commission on Judicial Conduct                                                                	The report is subject to review by the                                                                                                                                                                                                                                                                      	|, which is empowered to impose sanctions .                                                                                                                                                                                                                                                                  
BBN_filtered_with_FIGER_test            	Eaton                                                                                               	Other stocks hurt by earnings-related selling included Tandy , which dropped 1 3\/8 to 44 , and                                                                                                                                                                                                             	|, which retreated 2 1\/2 to 57 1\/2 .                                                                                                                                                                                                                                                                       
BBN_filtered_with_FIGER_test            	New York University                                                                                 	`` They may not have been able to articulate it all , but they did it , '' says Stephen Gillers , a legal ethics expert at                                                                                                                                                                                  	|law school .                                                                                                                                                                                                                                                                                                
BBN_filtered_with_FIGER_test            	National Association of Criminal Defense Lawyers                                                    	`` This form forces a lawyer to become , in effect , a witness against his client , '' said Neal R. Sonnett , president of the                                                                                                                                                                              	|.                                                                                                                                                                                                                                                                                                           
BBN_filtered_with_FIGER_test            	EWDB                                                                                                	The transaction places the three executives squarely at the helm of a major agency with the rather unwieldy name of Eurocom WCRS Della Femina Ball Ltd. , or                                                                                                                                                	|.                                                                                                                                                                                                                                                                                                           
BBN_filtered_with_FIGER_test            	Drug Enforcement Administration                                                                     	He also noted that the federal                                                                                                                                                                                                                                                                              	|has established a federal-local task force responsible since April for 106 arrests and more than $ 2 million in seizures of drug dealers ' assets .                                                                                                                                                         
BBN_filtered_with_FIGER_test            	Compaq                                                                                              	In New York Stock Exchange composite trading yesterday ,                                                                                                                                                                                                                                                    	|shares fell $ 1.625 to $ 108.625 .                                                                                                                                                                                                                                                                          
BBN_filtered_with_FIGER_test            	Southmark                                                                                           	These bonds , now rated single-D , include junk offerings by AP Industries , Columbia Savings -LRB- Colorado -RRB- , First Texas Savings Association , Gilbraltar Financial Corp. , Integrated Resources Inc. , Metropolitan Broadcasting Corp. , Resorts International Inc. ,                              	|Corp. and Vyquest Inc .                                                                                                                                                                                                                                                                                     
BBN_filtered_with_FIGER_test            	BellSouth                                                                                           	The company said the latest quarter included about $ 3.4 million in special legal and financial advisory costs related to McCaw Cellular Communications ' bid for the company and LIN 's merger pact with                                                                                                   	|.                                                                                                                                                                                                                                                                                                           
BBN_filtered_with_FIGER_test            	Big Board                                                                                           	Mr. Phelan is an adroit diplomat who normally appears to be solidly in control of the                                                                                                                                                                                                                       	|'s factions .                                                                                                                                                                                                                                                                                               
BBN_filtered_with_FIGER_test            	Contel                                                                                              	Corporations like Contel denounce program trading , yet                                                                                                                                                                                                                                                     	|has in the past hired pension fund managers like Bankers Trust Co. that are also big program traders .                                                                                                                                                                                                      
BBN_filtered_with_FIGER_test            	UAL                                                                                                 	Yesterday , Mr. Trump tried to put the blame for the collapse of the                                                                                                                                                                                                                                        	|deal on Congress , saying it was rushing through a bill to protect AMR executives .                                                                                                                                                                                                                         
BBN_filtered_with_FIGER_test            	Next                                                                                                	Most software is distributed on cheap floppy disks , but the                                                                                                                                                                                                                                                	|computer does n't come with a device that reads them .                                                                                                                                                                                                                                                      
BBN_filtered_with_FIGER_test            	Lexus                                                                                               	Toyota plans to raise                                                                                                                                                                                                                                                                                       	|exports when a new plant starts up next year .                                                                                                                                                                                                                                                              
BBN_filtered_with_FIGER_test            	CNN                                                                                                 	                                                                                                                                                                                                                                                                                                            	|wants to change its viewers ' habits .                                                                                                                                                                                                                                                                      
BBN_filtered_with_FIGER_test            	Toronto Blue Jays                                                                                   	They led the Major Leagues in regular-season wins with 99 and flattened the                                                                                                                                                                                                                                 	|four games to one for the American League pennant before stomping their cross-bay rivals .                                                                                                                                                                                                                  
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------OntoNotes_filtered_with_FIGER_test      	Budget 's                                                                                           	`` I can not see how this news by Hertz and Avis can not benefit Budget 's programs , '' said Bob Wilson ,                                                                                                                                                                                                  	|vice president , marketing planning .                                                                                                                                                                                                                                                                       
OntoNotes_filtered_with_FIGER_test      	the University                                                                                      	Robert Kolb and Ricardo Rodriguez , professors of finance at                                                                                                                                                                                                                                                	|of Miami , found evidence that the market is spooked by Friday the 13th .                                                                                                                                                                                                                                   
OntoNotes_filtered_with_FIGER_test      	industrial enterprises '                                                                            	The sales rate of industrial products was 96.2 % , 0.3 % higher than that of last year ; the export delivery value of                                                                                                                                                                                       	|production for foreign trade export purposes was 954.5 billion yuan , 14.8 % higher than that of last year .                                                                                                                                                                                                
OntoNotes_filtered_with_FIGER_test      	the three - tiered administrative system of Hong Kong                                               	A reporter asked : the Standing Committee of the National People 's Congress had passed a resolution regarding ''                                                                                                                                                                                           	|will operate until June 30th , 1997 , and then cease . '' ;                                                                                                                                                                                                                                                 
OntoNotes_filtered_with_FIGER_test      	non-financial corporations                                                                          	The National Foreign Exchange Management Bureau clearly stipulated in the new method that , domestic institutions borrowing international commercial loans externally are only limited to : China - capital financial institutions approved by the Foreign Exchange Management Bureau to operate foreign exchange loan business ; juridical people of	|approved by the State Department 's Authorization Department .                                                                                                                                                                                                                                              
OntoNotes_filtered_with_FIGER_test      	the Japanese Import and Export Bank                                                                 	Moreover ,                                                                                                                                                                                                                                                                                                  	|has signed a contract with Russia to participate in the construction of Russia 's Zalubinau port expansion project .                                                                                                                                                                                        
OntoNotes_filtered_with_FIGER_test      	more than 200 enterprises operating with Chinese capital in Macau                                   	Xuming Zhang , Chairman of the Chinese Enterprise Association in Macau said that , at present there were                                                                                                                                                                                                    	|and that the total value of assets is more than 90 billion patacas .                                                                                                                                                                                                                                        
OntoNotes_filtered_with_FIGER_test      	one or more third parties                                                                           	Last week , Saatchi 's largest shareholder , Southeastern Asset Management , said it had been approached by                                                                                                                                                                                                 	|interested in a possible restructuring .                                                                                                                                                                                                                                                                    
OntoNotes_filtered_with_FIGER_test      	private enterprises                                                                                 	The proportion of the number of private industries and private commerce in the total number of                                                                                                                                                                                                              	|and employed people of the whole city is respectively 76.33 % and 78.32 % , the number of recently opened private enterprises are continually increasing .                                                                                                                                                  
OntoNotes_filtered_with_FIGER_test      	Customs                                                                                             	Customs is entitled to reject shipments of goods that can not provide legal proof ; for importing and exporting laser discs , laser video discs and importing laser disc molds and materials and laser videos as part of processing trade , the consignors and consignees shall complete Customs formalities based on relevant regulations of the country and proof of approval issued by relevant departments concerned with audio and video products ; when importing and exporting goods , if the consignors and consignees falsify conditions of the property rights of the goods , evade supervision of	|, and smuggle goods that violate rights , Customs will handle them in accordance with the relevant regulations .                                                                                                                                                                                            
OntoNotes_filtered_with_FIGER_test      	the Mao - tai Distillery                                                                            	In recent years , under the support of the national Ministry of Finance and the Light Industry Headquarters ,                                                                                                                                                                                               	|invested 530 million yuan RMB to successively implement a two - phase expansion and technology renovation .                                                                                                                                                                                                 
OntoNotes_filtered_with_FIGER_test      	J.C. Bradford & Co                                                                                  	Pricor Inc. , offering of one million new shares of common stock and 300,000 shares by holders , via Drexel Burnham Lambert Inc. and                                                                                                                                                                        	|.                                                                                                                                                                                                                                                                                                           
OntoNotes_filtered_with_FIGER_test      	the number of recently opened private enterprises                                                   	The proportion of the number of private industries and private commerce in the total number of private enterprises and employed people of the whole city is respectively 76.33 % and 78.32 % ,                                                                                                              	|are continually increasing .                                                                                                                                                                                                                                                                                
OntoNotes_filtered_with_FIGER_test      	Columbia Laboratories Inc.                                                                          	                                                                                                                                                                                                                                                                                                            	|, Miami , began trading with the symbol COB .                                                                                                                                                                                                                                                               
OntoNotes_filtered_with_FIGER_test      	the late - night audience                                                                           	Further fractioning                                                                                                                                                                                                                                                                                         	|is the addition of the `` Arsenio Hall Show , '' syndicated by Paramount Communications Inc .                                                                                                                                                                                                               
OntoNotes_filtered_with_FIGER_test      	Korea First Advertising Co.                                                                         	Samsung already owns                                                                                                                                                                                                                                                                                        	|, that country 's largest agency .                                                                                                                                                                                                                                                                          
OntoNotes_filtered_with_FIGER_test      	multi-lateral organizations of the UN                                                               	It is an insult to China 's family planning policy , has seriously violated the mission and principles of the UN charter , and sets a very bad precedent for the provision of aid to                                                                                                                        	|.                                                                                                                                                                                                                                                                                                           
OntoNotes_filtered_with_FIGER_test      	the Chinese side                                                                                    	And when does                                                                                                                                                                                                                                                                                               	|plan to set about preparing to construct this system ?                                                                                                                                                                                                                                                      
OntoNotes_filtered_with_FIGER_test      	Bolar , the subject of a criminal investigation by the FDA and the Inspector General 's office of the Health and Human Services Department ,	                                                                                                                                                                                                                                                                                                            	|only agreed to recall two strengths of its version of Macrodantin `` as far down as direct customers , mostly wholesalers , '' Mr. Nesbit said .                                                                                                                                                            
OntoNotes_filtered_with_FIGER_test      	Xinhua News Agency                                                                                  	                                                                                                                                                                                                                                                                                                            	|, Beijing , August 31st                                                                                                                                                                                                                                                                                     
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------Choi_filtered_with_FIGER_test           	The DMC                                                                                             	                                                                                                                                                                                                                                                                                                            	|also disbursed Rs .20 million -LRB- ≈ 180,000 USD -RRB- to relief efforts .                                                                                                                                                                                                                                 
Choi_filtered_with_FIGER_test           	it                                                                                                  	But the company added that                                                                                                                                                                                                                                                                                  	|has found no contamination in the road tanker , nor in a holding tank in Glasgow , and any risk is therefore `` theoretical . ''                                                                                                                                                                            
Choi_filtered_with_FIGER_test           	we                                                                                                  	Among other things , he said Red Cross workers had been hassled at the makeshift checkpoints set up by members of the warring factions in the neighborhoods under their control . ' ' They ask us where                                                                                                     	|got the corpses from , where we are going , why we are doing this , '' he said . ' ' We ca n't work like that . ''                                                                                                                                                                                          
Choi_filtered_with_FIGER_test           	we                                                                                                  	`` In principal ,                                                                                                                                                                                                                                                                                           	|'re interested in buying ( a facility ) which has production already , '' Surakiart said .                                                                                                                                                                                                                  
Choi_filtered_with_FIGER_test           	they                                                                                                	Buffalo : After going to conference finals , Sabres ' payroll skyrocketed and                                                                                                                                                                                                                               	|mostly lost players : F J.P. Dumont , F Mike Grier and D Jay McKee .                                                                                                                                                                                                                                        
Choi_filtered_with_FIGER_test           	it                                                                                                  	While the government was cracking down in Darfur ,                                                                                                                                                                                                                                                          	|brought an end to the 21-year civil war in the south , which claimed more than 1.5 million lives and displaced another four million people .                                                                                                                                                                
Choi_filtered_with_FIGER_test           	the National Hockey League -LRB- NHL -RRB-                                                          	His son , Steve Tambellini , played in                                                                                                                                                                                                                                                                      	|and later became an executive for the Vancouver Canucks and general manager for the Edmonton Oilers .                                                                                                                                                                                                       
Choi_filtered_with_FIGER_test           	it                                                                                                  	Nothing upsets me more than a guy who has played in the league for 10 or more years and then gets out and rips the game and writes books about how lousy                                                                                                                                                    	|is .                                                                                                                                                                                                                                                                                                        
Choi_filtered_with_FIGER_test           	it                                                                                                  	Four unions called the strike Monday after ALM announced                                                                                                                                                                                                                                                    	|planned to lay off 120 workers as part of a reorganization of the airline , which is jointly owned by the Antillean government and the Dutch airline KLM .                                                                                                                                                  
Choi_filtered_with_FIGER_test           	we                                                                                                  	Monti told reporters he was calling off threat of legal action , confident that France was working on an acceptable compromise . ' ' I have in my hand the unconditional commitment of the French authorities not to put into place what                                                                    	|do not want them to put in place , '' Monti said .                                                                                                                                                                                                                                                          
Choi_filtered_with_FIGER_test           	It                                                                                                  	                                                                                                                                                                                                                                                                                                            	|also operates logistic facilities in New Zealand supporting the South Pole and McMurdo .                                                                                                                                                                                                                    
Choi_filtered_with_FIGER_test           	the European Parliament , in which UKIP increased their representation from three to twelve seats   	A few days before the 2004 election to                                                                                                                                                                                                                                                                      	|, he criticised his former party in a national newspaper , saying , '' they are racist and have been infected by the far-right .                                                                                                                                                                            
Choi_filtered_with_FIGER_test           	nations                                                                                             	`` We want to see                                                                                                                                                                                                                                                                                           	|reaffirm their commitment to the treaty and we would certainly hope that President Ahmadinejad or whoever leads the Iranian delegation will come to New York prepared to make that commitment , '' he told reporters in Washington .                                                                        
Choi_filtered_with_FIGER_test           	Vassar College                                                                                      	She graduated from                                                                                                                                                                                                                                                                                          	|with a BA and from Stanford University with a MA .                                                                                                                                                                                                                                                          
Choi_filtered_with_FIGER_test           	they                                                                                                	And                                                                                                                                                                                                                                                                                                         	|welcomed his recent decision to appoint a panel to recommend ways to improve U.N. peacekeeping operations .                                                                                                                                                                                                 
Choi_filtered_with_FIGER_test           	UEFA criteria                                                                                       	Note 5 : Played in Tallinn at A. Le Coq Arena as Narva Trans 's Kreenholmi Staadion did not meet                                                                                                                                                                                                            	|.                                                                                                                                                                                                                                                                                                           
Choi_filtered_with_FIGER_test           	it                                                                                                  	The Dow Jones industrials component , which beat earnings estimates by a penny per share for the quarter , said                                                                                                                                                                                             	|expects earnings to grow 10 percent to 15 percent this year and will be sustained through 2006 as well .                                                                                                                                                                                                    
Choi_filtered_with_FIGER_test           	it                                                                                                  	While Microsoft dominates nearly every niche of the software industry ,                                                                                                                                                                                                                                     	|'s been slower than its competitors to develop products for a market that 's expected to grow to $ 25 billion within five years .                                                                                                                                                                           
Choi_filtered_with_FIGER_test           	it                                                                                                  	FUNCINPEC , which won the election , was forced into coalition when the formerly communist CPP threatened to continue civil war if                                                                                                                                                                          	|was not included in the government .                                                                                                                                                                                                                                                                        
Choi_filtered_with_FIGER_test           	we                                                                                                  	`` Japan will be full of pointless discussions about the war until                                                                                                                                                                                                                                          	|accept the fact that all Japanese people bear some responsibility for what happened , '' he said in an interview with the AP last week .                                                                                                                                                                    
