FIGER_train                             	Random House                                                                                        	She recently worked with editor David Ebershoff on a new memoir , Honeymoon in Tehran : Two years of love and danger in Iran , for                                                                                                                                                                          	|, published on April 13 , 2009 .                                                                                                                                                                                                                                                                            
FIGER_train                             	Atlanta Opera                                                                                       	He also directed and designed Humperdinck 's opera , Hansel and Gretel , for the Houston Grand Opera and the                                                                                                                                                                                                	|.                                                                                                                                                                                                                                                                                                           
FIGER_train                             	Comcast                                                                                             	( which became NBCU-owned in January 2011 due to NBCU 's purchase by                                                                                                                                                                                                                                        	|) , where it remained until its end in January 2009 , when the network had expanded their reach on digital cable systems enough to negate the simulcast .                                                                                                                                                   
FIGER_train                             	Mininova                                                                                            	IRMA who represent EMI , Sony-BMG , Warner Bros. and Universal are seeking that Eircom along with all other major Irish ISPs block access to file sharing sites such as The Pirate Bay and                                                                                                                  	|.                                                                                                                                                                                                                                                                                                           
FIGER_train                             	Buro Happold                                                                                        	The design team included architects HOK Sport ( now known as Populous ) , construction consultants Arcadis AYH , and engineering firm                                                                                                                                                                       	|.                                                                                                                                                                                                                                                                                                           
FIGER_train                             	New York City                                                                                       	Elaine Radoff was born in The Bronx ,                                                                                                                                                                                                                                                                       	|, and graduated in 1954 with a Bachelor of Arts degree from Queens College , CUNY , where she studied with Karol Rathaus , Saul Novak and Leo Kraft .                                                                                                                                                       
FIGER_train                             	Clearwater Features                                                                                 	The Clearwater Periscope lens system was a type of television camera developed in 1985 by                                                                                                                                                                                                                   	|for use on children 's television series ' TUGS and Thomas the Tank Engine and Friends .                                                                                                                                                                                                                    
FIGER_train                             	National Hockey League                                                                              	Cumming Scott Burton ( born May 12 , 1936 in Sudbury , Ontario ) was a Canadian professional ice hockey right winger who played three seasons in the                                                                                                                                                        	|for the Detroit Red Wings .                                                                                                                                                                                                                                                                                 
FIGER_train                             	West Caribbean Airways                                                                              	Prior to its closing , the airport was served by Aerolinea de Antioquia and                                                                                                                                                                                                                                 	|, both of which flew 19 seat passenger aircraft to the airport .                                                                                                                                                                                                                                            
FIGER_train                             	Fair Trade                                                                                          	St. Francis Xavier School also sells                                                                                                                                                                                                                                                                        	|Certified Chocolates to help farmers get fair wages .                                                                                                                                                                                                                                                       
FIGER_train                             	Bus Eireann                                                                                         	Currow can also be accessed using the Irish bus network ,                                                                                                                                                                                                                                                   	|, although services are limited to the village , nearby stops are again found in Farranfore and also Castleisland .                                                                                                                                                                                         
FIGER_train                             	ABC                                                                                                 	Ross Chandler is a fictional character on the                                                                                                                                                                                                                                                               	|soap opera All My Children he was portrayed by actor Robert Gentry from 1985 until 1990 .                                                                                                                                                                                                                   
FIGER_train                             	Vickers-Armstrong                                                                                   	jpgleft100pxHMS UtherVickers Armstrong , Newcastle upon Tyne31 January 19426 April 194315 August 1943scrapped April 1950U-class submarineSurfaced - 540 tons standard , 630 tons full load HMS Uther ( P62 ) was a Royal Navy U-class submarine built by                                                    	|.                                                                                                                                                                                                                                                                                                           
FIGER_train                             	National Rail                                                                                       	Crossrail will be integrated with the London Underground and                                                                                                                                                                                                                                                	|networks , and it is expected that Crossrail will appear on the standard London Underground Map .                                                                                                                                                                                                           
FIGER_train                             	La Defense                                                                                          	Saint-Gobain SA is a French multinational corporation , founded in 1665 in Paris and headquartered on the outskirts of Paris at                                                                                                                                                                             	|and in Courbevoie .                                                                                                                                                                                                                                                                                         
FIGER_train                             	LinkedIn                                                                                            	This is mostly popular among younger generations , though sites like                                                                                                                                                                                                                                        	|have made it valuable to older professionals .                                                                                                                                                                                                                                                              
FIGER_train                             	Vanity Fair                                                                                         	Martin indicates that " In October 1999 they purchased a full-page advertisement in The New York Times denouncing                                                                                                                                                                                           	|magazine for its alleged anti-Catholic slant .                                                                                                                                                                                                                                                              
FIGER_train                             	DJM Records                                                                                         	Released in 1979 on the                                                                                                                                                                                                                                                                                     	|label , this was his last solo album .                                                                                                                                                                                                                                                                      
FIGER_train                             	Cosworth                                                                                            	It was Chapman who in 1966 persuaded the Ford Motor Company to sponsor                                                                                                                                                                                                                                      	|'s development of what would become the legendary DFV race engine .                                                                                                                                                                                                                                         
FIGER_train                             	Standard Oil                                                                                        	Long ran for governor of Louisiana in the election of 1924 , attacking Parker ,                                                                                                                                                                                                                             	|and the established political hierarchy both local and state-wide .                                                                                                                                                                                                                                         
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------FIGER_test                              	Hansen                                                                                              	A limited liability corporation headed by                                                                                                                                                                                                                                                                   	|recently purchased 3 acres on the east side of Occidental Avenue South between South Massachusetts and South Holgate streets .                                                                                                                                                                              
FIGER_test                              	Safeway                                                                                             	Outside                                                                                                                                                                                                                                                                                                     	|in the U-District , students pass by the man sitting by the doors .                                                                                                                                                                                                                                         
FIGER_test                              	Madison Square Garden                                                                               	He worked with the city of Orlando to negotiate an agreement with the Orlando Magic for a new downtown arena and with senior management planning a new                                                                                                                                                      	|in New York City .                                                                                                                                                                                                                                                                                          
FIGER_test                              	NBA                                                                                                 	Bennett said the city-owned arena lacked the amenities to support an                                                                                                                                                                                                                                        	|franchise and moved the team to Oklahoma City after failing to secure a new arena here .                                                                                                                                                                                                                    
FIGER_test                              	Hansen                                                                                              	He said an arena could be built on as little as 7 to 8 acres , which is about the size of the parcel the                                                                                                                                                                                                    	|investment group has shown an interest in acquiring .                                                                                                                                                                                                                                                       
FIGER_test                              	NBA                                                                                                 	" I understand the challenges of KeyArena and the economics of the                                                                                                                                                                                                                                          	|and NHL , " Hirsh said Friday .                                                                                                                                                                                                                                                                             
FIGER_test                              	The Seattle Times                                                                                   	The council knew nothing of Hirsh 's hiring , nor of the mayor 's discussions with a potential investment group that has acquired property in the Sodo District , until                                                                                                                                     	|in December was about to report that the city was examining an " opportunity " to bring an NBA team to Seattle .                                                                                                                                                                                            
FIGER_test                              	Safeway                                                                                             	She said there have been cases in which McClain will chase down shoplifters from                                                                                                                                                                                                                            	|.                                                                                                                                                                                                                                                                                                           
FIGER_test                              	Lexar                                                                                               	Speaking at CES , both companies have no plans to jump to the new formats in the near future , and                                                                                                                                                                                                          	|pointed out that its new 1000x card is faster than Sony 's XQD .                                                                                                                                                                                                                                            
FIGER_test                              	Real Change                                                                                         	Employees of                                                                                                                                                                                                                                                                                                	|work as their own bosses .                                                                                                                                                                                                                                                                                  
FIGER_test                              	Safeway                                                                                             	McClain began his work outside                                                                                                                                                                                                                                                                              	|in the beginning of his 50s .                                                                                                                                                                                                                                                                               
FIGER_test                              	Northwestern Energy                                                                                 	                                                                                                                                                                                                                                                                                                            	|spokeswoman Claudia Rapkoch said the outage started at 10:50 a.m .                                                                                                                                                                                                                                          
FIGER_test                              	Sony                                                                                                	Earlier this month ,                                                                                                                                                                                                                                                                                        	|released the first XQD format memory card , but the company is n't stopping there with pushing into new storage options .                                                                                                                                                                                   
FIGER_test                              	The Times                                                                                           	                                                                                                                                                                                                                                                                                                            	|also reported in December that the investment group is headed by San Francisco hedge-fund manager Christopher Hansen , who has family ties to Seattle .                                                                                                                                                     
FIGER_test                              	Sony                                                                                                	Speaking at CES , both companies have no plans to jump to the new formats in the near future , and Lexar pointed out that its new 1000x card is faster than                                                                                                                                                 	|'s XQD .                                                                                                                                                                                                                                                                                                    
FIGER_test                              	The Seattle Times                                                                                   	In an interview with                                                                                                                                                                                                                                                                                        	|, Balth said his intention in his art is “ to come to the heart of seeing , the core of perception . ”                                                                                                                                                                                                      
FIGER_test                              	NHL                                                                                                 	" I understand the challenges of KeyArena and the economics of the NBA and                                                                                                                                                                                                                                  	|, " Hirsh said Friday .                                                                                                                                                                                                                                                                                     
FIGER_test                              	Real Change                                                                                         	McClain often does this as well — he likes to bake in his spare time and bring food for the employees at Safeway as well as                                                                                                                                                                                 	|to show his appreciation .                                                                                                                                                                                                                                                                                  
FIGER_test                              	Safeway                                                                                             	McClain often does this as well — he likes to bake in his spare time and bring food for the employees at                                                                                                                                                                                                    	|as well as Real Change to show his appreciation .                                                                                                                                                                                                                                                           
FIGER_test                              	Sony                                                                                                	                                                                                                                                                                                                                                                                                                            	|has now announced that they 're creating a new line of high-speed SD cards .                                                                                                                                                                                                                                
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------BBN_filtered_with_FIGER_test            	J.L . Henry                                                                                         	                                                                                                                                                                                                                                                                                                            	|& Co. , Miami , and a principal of the firm , Henry I. Otero of Miami , were jointly fined $ 30,000 and expelled , for alleged improper use of a customer 's funds , among other things .                                                                                                                   
BBN_filtered_with_FIGER_test            	Ford                                                                                                	General Motors Corp. said it had discussed the possibility of a joint venture with Jaguar before                                                                                                                                                                                                            	|began buying shares .                                                                                                                                                                                                                                                                                       
BBN_filtered_with_FIGER_test            	Harken                                                                                              	                                                                                                                                                                                                                                                                                                            	|also said that its financing from Bankers Trust Co. has been extended until Dec. 15 to give Tesoro 's board time to consider the offer at a Tesoro board meeting scheduled for mid-November .                                                                                                               
BBN_filtered_with_FIGER_test            	Sansui                                                                                              	Nor do analysts expect the                                                                                                                                                                                                                                                                                  	|deal to touch off a fresh wave of foreign purchases .                                                                                                                                                                                                                                                       
BBN_filtered_with_FIGER_test            	IBM                                                                                                 	Backup computer tapes were hand-carried to an                                                                                                                                                                                                                                                               	|office in Philadelphia , and the company expects its mainframe to be up in a few days .                                                                                                                                                                                                                     
BBN_filtered_with_FIGER_test            	Southam                                                                                             	A spokesman for                                                                                                                                                                                                                                                                                             	|declined to comment on the price the company is seeking or on estimates of the paper 's annual losses , which most analysts place at between C $ 4 million and C $ 7 million .                                                                                                                              
BBN_filtered_with_FIGER_test            	Dow                                                                                                 	`` I still think we will have a 3000                                                                                                                                                                                                                                                                        	|, whether it 's six months or 12 months from now I do n't know , '' says David Dreman , managing partner of Dreman Value Management in New York .                                                                                                                                                           
BBN_filtered_with_FIGER_test            	Qintex Australia                                                                                    	MGM\/UA has sued Qintex Australia for breach of contract and fraud over the collapsed acquisition agreement , and                                                                                                                                                                                           	|has threatened a countersuit .                                                                                                                                                                                                                                                                              
BBN_filtered_with_FIGER_test            	Cols Bleus                                                                                          	In an interview in the navy 's official weekly magazine                                                                                                                                                                                                                                                     	|, the navy 's second-in-command , Adm. Yves Goupil , said the navy still intends to buy 86 Rafales as scheduled in the late 1990s and early 21st century .                                                                                                                                                  
BBN_filtered_with_FIGER_test            	California Plant Protection                                                                         	Over the next 20 years ,                                                                                                                                                                                                                                                                                    	|opened 125 offices around the country .                                                                                                                                                                                                                                                                     
BBN_filtered_with_FIGER_test            	AMR                                                                                                 	Mr. Trump never said how much                                                                                                                                                                                                                                                                               	|stock he had bought , only that his holdings were `` substantial . ''                                                                                                                                                                                                                                       
BBN_filtered_with_FIGER_test            	Industrial Bank of Japan                                                                            	`` Those devices do n't give sufficient certainty to our bosses in Japan , '' says Yasuo Nakamura , representative of the                                                                                                                                                                                   	|.                                                                                                                                                                                                                                                                                                           
BBN_filtered_with_FIGER_test            	Interco                                                                                             	USA Today reported that the Rales brothers , Washington , D.C.-based investors who made an unsuccessful offer to acquire                                                                                                                                                                                    	|last year , have bought nearly 3 % of Mead 's common shares .                                                                                                                                                                                                                                               
BBN_filtered_with_FIGER_test            	Mesa                                                                                                	Except to characterize its offer as `` fair and generous and in the best interests of                                                                                                                                                                                                                       	|shareholders , '' StatesWest declined to discuss details of its proposal .                                                                                                                                                                                                                                  
BBN_filtered_with_FIGER_test            	UAP                                                                                                 	In return , the agreement would force                                                                                                                                                                                                                                                                       	|to buy TransAtlantic 's 29.8 % holding in Sun Life or sell its 22.9 % stake to TransAtlantic at a price set by Transatlantic .                                                                                                                                                                              
BBN_filtered_with_FIGER_test            	Asia Advisory Services Inc .                                                                        	If you find sound , healthy companies in Japan , they are not for sale , '' said George Watanabe , a management-consultant at Tokyo-based                                                                                                                                                                   	|                                                                                                                                                                                                                                                                                                            
BBN_filtered_with_FIGER_test            	General Motors                                                                                      	Short interest in the American depositary receipts of Jaguar , the target of both Ford Motor and                                                                                                                                                                                                            	|, more than doubled .                                                                                                                                                                                                                                                                                       
BBN_filtered_with_FIGER_test            	Citadel                                                                                             	In American Stock Exchange composite trading ,                                                                                                                                                                                                                                                              	|shares closed yesterday at $ 45.75 , down 25 cents .                                                                                                                                                                                                                                                        
BBN_filtered_with_FIGER_test            	Montgomery Securities                                                                               	The departures , said Alice Ruth , an analyst at                                                                                                                                                                                                                                                            	|in San Francisco , should enable the company to focus on business issues instead of management differences .                                                                                                                                                                                                
BBN_filtered_with_FIGER_test            	AMR                                                                                                 	He said he might now sell his                                                                                                                                                                                                                                                                               	|stake , buy more shares , or make another offer at a lower price .                                                                                                                                                                                                                                          
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------OntoNotes_filtered_with_FIGER_test      	the Bank of China                                                                                   	Recently ,                                                                                                                                                                                                                                                                                                  	|provided Argentina with loan of 20 million US dollars .                                                                                                                                                                                                                                                     
OntoNotes_filtered_with_FIGER_test      	Korean agencies                                                                                     	Bozell joins Backer Spielvogel Bates and Ogilvy Group as U.S. agencies with interests in                                                                                                                                                                                                                    	|.                                                                                                                                                                                                                                                                                                           
OntoNotes_filtered_with_FIGER_test      	the company                                                                                         	The broken purchase appears as additional evidence of trouble at Imperial Corp. , whose spokesman said                                                                                                                                                                                                      	|withdrew its application from the federal Office of Thrift Supervision because of an informal notice that Imperial 's thrift unit failed to meet Community Reinvestment Act requirements .                                                                                                                  
OntoNotes_filtered_with_FIGER_test      	a part - owner                                                                                      	In 1984 the EPA notified Gulf Resources , which was                                                                                                                                                                                                                                                         	|of the smelter , that it was potentially liable for sharing cleanup costs at the site under the federal Superfund program .                                                                                                                                                                                 
OntoNotes_filtered_with_FIGER_test      	Royal Crown Cola Co.                                                                                	                                                                                                                                                                                                                                                                                                            	|has ended its relationship with the Boston office of Hill , Holliday , Connors , Cosmopulos .                                                                                                                                                                                                               
OntoNotes_filtered_with_FIGER_test      	ASKO                                                                                                	Should the courts uphold the validity of this type of defense ,                                                                                                                                                                                                                                             	|will then ask the court to overturn such a vote - diluting maneuver recently deployed by Koninklijke Ahold NV .                                                                                                                                                                                             
OntoNotes_filtered_with_FIGER_test      	Imperial Corp.                                                                                      	Valley Federal said Friday that it is considering whether to seek another buyer for the branches or to pursue the transaction with                                                                                                                                                                          	|, which said it is attempting to meet Community Reinvestment Act requirements .                                                                                                                                                                                                                             
OntoNotes_filtered_with_FIGER_test      	NCNB                                                                                                	                                                                                                                                                                                                                                                                                                            	|continued its foray into the Florida and Texas markets .                                                                                                                                                                                                                                                    
OntoNotes_filtered_with_FIGER_test      	Time                                                                                                	But                                                                                                                                                                                                                                                                                                         	|, as part of the more cost - conscious Time Warner , wants to wean itself away from expensive gimmicks .                                                                                                                                                                                                    
OntoNotes_filtered_with_FIGER_test      	Ferranti International Signal PLC , a smaller British defense contractor rocked by alleged accounting fraud at a U.S. unit	Just last week they announced they may make a joint bid to buy                                                                                                                                                                                                                                              	|.                                                                                                                                                                                                                                                                                                           
OntoNotes_filtered_with_FIGER_test      	Privately owned industry and commercial enterprises                                                 	                                                                                                                                                                                                                                                                                                            	|total 5836 .                                                                                                                                                                                                                                                                                                
OntoNotes_filtered_with_FIGER_test      	a major transporter of crude to the U.S.                                                            	Interprovincial , Canada 's biggest oil pipeline operator and                                                                                                                                                                                                                                               	|, said revised industry forecasts indicate that Canadian oil output will total about 1.64 million barrels a day by 1991 , 8 % lower than a previous estimate .                                                                                                                                              
OntoNotes_filtered_with_FIGER_test      	HOFI , the North American holding company of Swiss concern Holderbank Financiere Glaris Ltd. ,      	                                                                                                                                                                                                                                                                                                            	|previously proposed combining its 100 % stake in St. Lawrence Cement Inc. and its 60 % stake in Dundee Cement Co. with its 67 % stake in Ideal .                                                                                                                                                            
OntoNotes_filtered_with_FIGER_test      	Alex . Brown & Sons Inc. , John Nuveen & Co. , Prudential - Bache Capital Funding , and Bateman Eichler , Hill Richards	Nuveen California Performance Plus Municipal Fund Inc. , initial offering of five million common shares , via                                                                                                                                                                                               	|.                                                                                                                                                                                                                                                                                                           
OntoNotes_filtered_with_FIGER_test      	Vitarine                                                                                            	Neither                                                                                                                                                                                                                                                                                                     	|nor any of the Springfield Gardens , N.Y. , company 's officials or employees have been charged with any crimes .                                                                                                                                                                                           
OntoNotes_filtered_with_FIGER_test      	NCNB                                                                                                	                                                                                                                                                                                                                                                                                                            	|also acquired Freedom Savings & Loan Association , Tampa , Fla. , which had total assets of $ 900 million .                                                                                                                                                                                                 
OntoNotes_filtered_with_FIGER_test      	Xinhua News Agency                                                                                  	                                                                                                                                                                                                                                                                                                            	|, Buenos Aires , April 7th , by reporter Hong Xue                                                                                                                                                                                                                                                           
OntoNotes_filtered_with_FIGER_test      	Reader 's Digest , New York Times Co. 's McCall 's , and most recently News Corp. 's TV Guide ,     	In recent years ,                                                                                                                                                                                                                                                                                           	|have cut their massive circulation rate bases to eliminate marginal circulation and hold down rates for advertisers .                                                                                                                                                                                       
OntoNotes_filtered_with_FIGER_test      	NCNB                                                                                                	As a measure of the depths to which the Texas real estate market has sunk , the RTC will pay $ 3.8 billion to                                                                                                                                                                                               	|to take $ 750 million of bad assets .                                                                                                                                                                                                                                                                       
OntoNotes_filtered_with_FIGER_test      	insurance companies                                                                                 	Unlike mutual funds , which can be forced to sell stockholdings when investors rush to withdraw money , big investors such as pension funds and                                                                                                                                                             	|can decide to ride out market storms without jettisoning stock .                                                                                                                                                                                                                                            
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------Choi_filtered_with_FIGER_test           	it                                                                                                  	Old Mutual added 1.8 percent after                                                                                                                                                                                                                                                                          	|said it has held bid talks with Swedish insurer Skandia during the last week regarding an offer for Skandia at 42 kroner ( euro4.50 ; US$ 5.53 ) a share , payable 40 percent in cash and 60 percent in shares .                                                                                            
Choi_filtered_with_FIGER_test           	It                                                                                                  	                                                                                                                                                                                                                                                                                                            	|also operates logistic facilities in New Zealand supporting the South Pole and McMurdo .                                                                                                                                                                                                                    
Choi_filtered_with_FIGER_test           	it                                                                                                  	Sony also said                                                                                                                                                                                                                                                                                              	|will reorganize its electronics and games divisions to better integrate the company 's sprawling businesses .                                                                                                                                                                                               
Choi_filtered_with_FIGER_test           	British Airways                                                                                     	After a # 110m loss in 2005 pressure from the UK financial and business leaders led to Smallwood becoming merely a general manager of the company , Taylor becoming Chief Executive and former                                                                                                              	|chief executive Bob Ayling being installed as the new Chairman .                                                                                                                                                                                                                                            
Choi_filtered_with_FIGER_test           	NBC                                                                                                 	In New York City , the Macy 's Thanksgiving Day Parade is held annually every Thanksgiving Day from the Upper West Side of Manhattan to Macy 's flagship store in Herald Square , and televised nationally by                                                                                               	|.                                                                                                                                                                                                                                                                                                           
Choi_filtered_with_FIGER_test           	It                                                                                                  	                                                                                                                                                                                                                                                                                                            	|earned $ 66.1 million last year on on revenues of $ 1.02 billion .                                                                                                                                                                                                                                          
Choi_filtered_with_FIGER_test           	her small trading business                                                                          	She has rented the same private booth in the Internet cafe every weekend since August in an uphill battle to keep                                                                                                                                                                                           	|going .                                                                                                                                                                                                                                                                                                     
Choi_filtered_with_FIGER_test           	They                                                                                                	``                                                                                                                                                                                                                                                                                                          	|'ve been slammed left , right and center _ there 's a flight to quality in the market , '' Sekely said .                                                                                                                                                                                                    
Choi_filtered_with_FIGER_test           	The company                                                                                         	                                                                                                                                                                                                                                                                                                            	|said the mine was no longer viable and recorded a $ 7.2 million charge .                                                                                                                                                                                                                                    
Choi_filtered_with_FIGER_test           	it                                                                                                  	In January , the agency said                                                                                                                                                                                                                                                                                	|was simplifying the wording and organization of drug package inserts , most notably in a new `` highlights '' section .                                                                                                                                                                                     
Choi_filtered_with_FIGER_test           	it                                                                                                  	The company ended the quarter with 71,000 Sky subscribers in Central America and the Dominican Republic , and said                                                                                                                                                                                          	|plans to extend satellite television service to Panama by the year 's end .                                                                                                                                                                                                                                 
Choi_filtered_with_FIGER_test           	ACT headquarters                                                                                    	He believes Manuel took the test honestly on one , but someone else-without Manuel 's knowledge-copied Shearer 's answers on the second and sent it to                                                                                                                                                      	|in Iowa City .                                                                                                                                                                                                                                                                                              
Choi_filtered_with_FIGER_test           	Puerto Rico Telephone Co.                                                                           	                                                                                                                                                                                                                                                                                                            	|awarded its $ 3 million account to West Indies & Grey , Grey Advertising 's office in Puerto Rico .                                                                                                                                                                                                         
Choi_filtered_with_FIGER_test           	the Chrysler Corporation                                                                            	The Chrysler Airflow was manufctured by                                                                                                                                                                                                                                                                     	|from 1934 to 1937 .                                                                                                                                                                                                                                                                                         
Choi_filtered_with_FIGER_test           	the company                                                                                         	Growth In March 1999 ,                                                                                                                                                                                                                                                                                      	|moved its offices to Palo Alto , California , home to several other noted Silicon Valley technology startups .                                                                                                                                                                                              
Choi_filtered_with_FIGER_test           	We                                                                                                  	``                                                                                                                                                                                                                                                                                                          	|await ( the panel 's ) findings and recommendations of what , if anything , can be done to improve the rudder system , '' Boeing spokesman Russ Young said .                                                                                                                                                
Choi_filtered_with_FIGER_test           	it                                                                                                  	Separately , the Swiss National Bank said Friday                                                                                                                                                                                                                                                            	|would now offer six billion dollars on a 14-day basis , doubling the amount of funds available to 12 billion dollars per month .                                                                                                                                                                            
Choi_filtered_with_FIGER_test           	such companies                                                                                      	Major Appliance brands include                                                                                                                                                                                                                                                                              	|as Siemens , Bosch , Hitachi , Toshiba , Fujitsu , Haier , Whirlpool Corporation , GE , Electrolux , Indesit , Fagor , Samsung , Beko , Blomberg , LG , and Fulgor .                                                                                                                                        
Choi_filtered_with_FIGER_test           	many Japanese trading companies                                                                     	Indeed , for                                                                                                                                                                                                                                                                                                	|, the favorite U.S. small business is one whose research and development can be milked for future Japanese use .                                                                                                                                                                                            
Choi_filtered_with_FIGER_test           	Sotheby 's International branches                                                                   	In October , agents from 11                                                                                                                                                                                                                                                                                 	|will descend on Hong Kong 's convention center to regale wealthy buyers there with slick visuals on showcase properties .                                                                                                                                                                                   
