OntoNotes_train                         	Oakland                                                                                             	Typical , perhaps , was the situation at New United Motor Manufacturing Inc. , the General Motors Corp.-Toyota joint-venture auto plant in Fremont , about 35 miles south of                                                                                                                                	|.                                                                                                                                                                                                                                                                                                           
OntoNotes_train                         	San Salvador                                                                                        	Just outside the capital of                                                                                                                                                                                                                                                                                 	|, a hillside collapsed in the community of Las Colinas , burying more than 260 homes and 1,200 residents .                                                                                                                                                                                                  
OntoNotes_train                         	Hills                                                                                               	However , five other countries -- China , Thailand , India , Brazil and Mexico -- will remain on that so-called priority watch list as a result of an interim review , U.S. Trade Representative Carla                                                                                                      	|announced .                                                                                                                                                                                                                                                                                                 
OntoNotes_train                         	Beihai                                                                                              	This reporter recently drove to cities such as Guangxi 's Fangchenggang , Qinzhou ,                                                                                                                                                                                                                         	|, Zhanjiang , etc . to gather news , and saw that with the opening and operation of the Nanning-Kunming railway , these four port cities along the coast of the Northern Gulf have docks that are anxious and busy with the loading and unloading of cargo , and along the coast , a number of new docks are speedily being constructed .
OntoNotes_train                         	Cuba                                                                                                	Opposition legislators boycotted Castro 's speech in the Venezuelan Congress to protest human rights abuses in                                                                                                                                                                                              	|.                                                                                                                                                                                                                                                                                                           
OntoNotes_train                         	Antioch                                                                                             	When the church in Jerusalem heard about this , they sent Barnabas to                                                                                                                                                                                                                                       	|.                                                                                                                                                                                                                                                                                                           
OntoNotes_train                         	Israeli                                                                                             	In an interview with                                                                                                                                                                                                                                                                                        	|Television Monday Mr. Mubarak said Israel knows what is necessary for peace , the return of lands captured in the 1967 Middle East war .                                                                                                                                                                    
OntoNotes_train                         	Santa Ana                                                                                           	                                                                                                                                                                                                                                                                                                            	|Redevelopment Agency -- $ 107 million of tax allocation bonds , 1989 Series A-D , via a Donaldson Lufkin & Jenrette Securities Corp. group .                                                                                                                                                                
OntoNotes_train                         	Babylonians                                                                                         	The Lord sent groups of                                                                                                                                                                                                                                                                                     	|, Arameans , Moabites , and Ammonites to fight against Jehoiakim .                                                                                                                                                                                                                                          
OntoNotes_train                         	Hong Kong                                                                                           	In recent years ,                                                                                                                                                                                                                                                                                           	|'s tourist attractions have gradually moved from Hong Kong Island to Kowloon and the New Territory .                                                                                                                                                                                                        
OntoNotes_train                         	Most                                                                                                	What the Chinese Nation Needs                                                                                                                                                                                                                                                                               	|is a Son like Zhou Enlai-LRB-In Commemoration of the 31st Anniversary of the Death of the People 's Good Premier-RRB                                                                                                                                                                                        
OntoNotes_train                         	New York                                                                                            	The                                                                                                                                                                                                                                                                                                         	|Stock Exchange now has the capacity to handle a volume of nearly a billion shares a day .                                                                                                                                                                                                                   
OntoNotes_train                         	Most                                                                                                	                                                                                                                                                                                                                                                                                                            	|opinion leaders in the PRC view this policy positively .                                                                                                                                                                                                                                                    
OntoNotes_train                         	German                                                                                              	Genscher , the                                                                                                                                                                                                                                                                                              	|Minister for Foreign Affairs , gave a speech on the 11th , hoping that a united Germany will be able to play a bigger role in the UN and have greater rights to air its voice when the UN makes decisions .                                                                                                 
OntoNotes_train                         	Both                                                                                                	                                                                                                                                                                                                                                                                                                            	|before and after the Friday plunge , Shearson has maintained a recommended portfolio weighting of 65 % stocks , 20 % bonds and 15 % cash .                                                                                                                                                                  
OntoNotes_train                         	Chicago                                                                                             	Such a situation can wreak havoc , as was shown by the emergency that developed in soybean futures trading this summer on the                                                                                                                                                                               	|Board of Trade .                                                                                                                                                                                                                                                                                            
OntoNotes_train                         	Hong Kong                                                                                           	                                                                                                                                                                                                                                                                                                            	|'s actual benefits are far higher than mainland China .                                                                                                                                                                                                                                                     
OntoNotes_train                         	New York                                                                                            	Daily trading volume in the                                                                                                                                                                                                                                                                                 	|foreign exchange market is $ 130 billion .                                                                                                                                                                                                                                                                  
OntoNotes_train                         	Chicago-based                                                                                       	`` They were absolutely killed , slaughtered , '' said one                                                                                                                                                                                                                                                  	|options trader .                                                                                                                                                                                                                                                                                            
OntoNotes_train                         	San Francisco                                                                                       	                                                                                                                                                                                                                                                                                                            	|Mayor Art Agnos estimated the damage to his city alone at $ 2 billion .                                                                                                                                                                                                                                     
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------OntoNotes_test                          	Cambridge                                                                                           	                                                                                                                                                                                                                                                                                                            	|, Mass .                                                                                                                                                                                                                                                                                                    
OntoNotes_test                          	Copiague                                                                                            	Bolar , of                                                                                                                                                                                                                                                                                                  	|, N.Y. , earlier began a voluntary recall of both its 100 milligram and 50 milligram versions of the drug .                                                                                                                                                                                                 
OntoNotes_test                          	Tampa                                                                                               	NCNB also acquired Freedom Savings & Loan Association ,                                                                                                                                                                                                                                                     	|, Fla. , which had total assets of $ 900 million .                                                                                                                                                                                                                                                          
OntoNotes_test                          	Fourteen cities such as Guangzhou , Shenzhen , etc.                                                 	                                                                                                                                                                                                                                                                                                            	|went to Beijing for the first national talent and technology exchange fair , where they established a total of 100 employment booths .                                                                                                                                                                      
OntoNotes_test                          	all cities                                                                                          	Since 1991 when Shenzhen established the first standing talent market , such '' all - weather '' talent exchange organizations have rapidly spread in the Zhujiang Delta and                                                                                                                                	|within the province .                                                                                                                                                                                                                                                                                       
OntoNotes_test                          	Dallas                                                                                              	But the court said it lacked enough financial information about Sunbelt and the FSLIC and sent the cases back to federal district court in                                                                                                                                                                  	|.                                                                                                                                                                                                                                                                                                           
OntoNotes_test                          	Lakewood                                                                                            	Just a month ago , GM announced it would make an aging assembly plant in                                                                                                                                                                                                                                    	|, Ga. , the eighth U.S. assembly facility to close since 1987 .                                                                                                                                                                                                                                             
OntoNotes_test                          	Beijing                                                                                             	Xinhua News Agency ,                                                                                                                                                                                                                                                                                        	|, August 31st                                                                                                                                                                                                                                                                                               
OntoNotes_test                          	Beijing                                                                                             	According to a news report on February 14th by Xinhua News Agency from                                                                                                                                                                                                                                      	|, when the multi-national forces carried out an air attack on Baghdad on the 13th , hundreds of civilians were killed in the bombing .                                                                                                                                                                      
OntoNotes_test                          	Manhattan                                                                                           	Harry has avoided all that by living in a Long Island suburb with his wife , who 's so addicted to soap operas and mystery novels she barely seems to notice when her husband disappears for drug - seeking forays into                                                                                     	|.                                                                                                                                                                                                                                                                                                           
OntoNotes_test                          	Copiague , N.Y. ,                                                                                   	Bolar , of                                                                                                                                                                                                                                                                                                  	|earlier began a voluntary recall of both its 100 milligram and 50 milligram versions of the drug .                                                                                                                                                                                                          
OntoNotes_test                          	Reading                                                                                             	Meridian Bancorp Inc. ,                                                                                                                                                                                                                                                                                     	|, Pa. , will acquire Hill Financial Savings Association , Red Hill , Pa. , which had $ 2.3 billion in assets .                                                                                                                                                                                              
OntoNotes_test                          	Costa Mesa , Calif. ,                                                                               	In the first RTC transaction with a foreign buyer , Royal Trustco Ltd. , Toronto , will acquire Pacific Savings Bank ,                                                                                                                                                                                      	|which had $ 949 million in assets .                                                                                                                                                                                                                                                                         
OntoNotes_test                          	Chicago , Buffalo , Toronto and Montreal                                                            	Nearly all of the crude oil that Canada exports to the U.S. is transported on Interprovincial 's system , whose main line runs from Edmonton to major U.S. and Canadian cities in the Great Lakes region , including                                                                                        	|.                                                                                                                                                                                                                                                                                                           
OntoNotes_test                          	Miami                                                                                               	Robert Kolb and Ricardo Rodriguez , professors of finance at the University of                                                                                                                                                                                                                              	|, found evidence that the market is spooked by Friday the 13th .                                                                                                                                                                                                                                            
OntoNotes_test                          	Macau 's                                                                                            	Xuming Zhang recently said at the joint meeting for the fifth anniversary of the establishment of the Chinese Enterprise Association in Macau , that Macau 's inland investment enterprises , from small to large and from weak to strong , have developed into an important force in                       	|economic domain .                                                                                                                                                                                                                                                                                           
OntoNotes_test                          	Macao                                                                                               	Guangdong Province , fully utilizing its geographical advantage of being in close proximity to Hong Kong and                                                                                                                                                                                                	|and being located in the Asian tropics , is vigorously developing extroverted agriculture .                                                                                                                                                                                                                 
OntoNotes_test                          	Beijing 's                                                                                          	The Wangma Computer Company , a high science and technology enterprise in                                                                                                                                                                                                                                   	|Zhongguan village , held a press conference in the Great Hall Of the People on January 4th and announced : to meet urgent demands for office automation of all Party departments , the government and the army , it was decided to '' open '' a whole set of top - quality products of Wangma Software , which can profit more than one million yuan , to the home , all in the way to non-encoded floppy disks , exempting technical fees , so that all domestic computer users can copy and use .
OntoNotes_test                          	Catamarca City of this province                                                                     	The handover ceremony for China mechanical products purchased by Argentina 's LaRioja Province using a loan provided by the Bank of China , was held today in                                                                                                                                               	|.                                                                                                                                                                                                                                                                                                           
OntoNotes_test                          	St. Therese                                                                                         	GM is studying whether it can build the new Camaro - Firebird profitably at a plant in                                                                                                                                                                                                                      	|, Quebec , company and union officials said .                                                                                                                                                                                                                                                               
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------FIGER_filtered_with_OntoNotes_test      	Los Angeles                                                                                         	Investigators suspect Cho is in the                                                                                                                                                                                                                                                                         	|area .                                                                                                                                                                                                                                                                                                      
FIGER_filtered_with_OntoNotes_test      	Seattle                                                                                             	Art shows by this organization are held all over the                                                                                                                                                                                                                                                        	|area sporadically throughout the year .                                                                                                                                                                                                                                                                     
FIGER_filtered_with_OntoNotes_test      	Billings                                                                                            	The 33-year-old                                                                                                                                                                                                                                                                                             	|native enlisted as a military veterinarian .                                                                                                                                                                                                                                                                
FIGER_filtered_with_OntoNotes_test      	Amsterdam                                                                                           	Since then , Wieczorek has visited Balth ’s studio near                                                                                                                                                                                                                                                     	|many times .                                                                                                                                                                                                                                                                                                
FIGER_filtered_with_OntoNotes_test      	Ogdensburg                                                                                          	Barrett brought on Mary Rain of                                                                                                                                                                                                                                                                             	|as his co-counsel in the case at some point last year .                                                                                                                                                                                                                                                     
FIGER_filtered_with_OntoNotes_test      	Federal Way                                                                                         	Also arrested Thursday were : Miyoung Roberts , 40 , of                                                                                                                                                                                                                                                     	|; accused of being the current madam at the club .                                                                                                                                                                                                                                                          
FIGER_filtered_with_OntoNotes_test      	Federal Way                                                                                         	A federal grand jury has indicted eight people suspected of operating a human-trafficking ring for interstate prostitution from a Korean nightclub in                                                                                                                                                       	|.                                                                                                                                                                                                                                                                                                           
FIGER_filtered_with_OntoNotes_test      	Oklahoma City                                                                                       	Bennett said the city-owned arena lacked the amenities to support an NBA franchise and moved the team to                                                                                                                                                                                                    	|after failing to secure a new arena here .                                                                                                                                                                                                                                                                  
FIGER_filtered_with_OntoNotes_test      	Milton                                                                                              	Agents arrested six of the accused Thursday morning , including the club ’s owner , Chang Young Kim , a 58-year-old                                                                                                                                                                                         	|resident ; and his wife , 35-year-old Yeun Jeong Mun .                                                                                                                                                                                                                                                      
FIGER_filtered_with_OntoNotes_test      	San Francisco                                                                                       	The Times also reported in December that the investment group is headed by                                                                                                                                                                                                                                  	|hedge-fund manager Christopher Hansen , who has family ties to Seattle .                                                                                                                                                                                                                                    
FIGER_filtered_with_OntoNotes_test      	Glasgow                                                                                             	The study is from the College of Medical , Veterinary & Life Sciences , University of Glasgow ,                                                                                                                                                                                                             	|, UK .                                                                                                                                                                                                                                                                                                      
FIGER_filtered_with_OntoNotes_test      	Safeway                                                                                             	McClain often does this as well — he likes to bake in his spare time and bring food for the employees at                                                                                                                                                                                                    	|as well as Real Change to show his appreciation .                                                                                                                                                                                                                                                           
FIGER_filtered_with_OntoNotes_test      	Lake Placid                                                                                         	The move came late Friday afternoon after Scaringe dismissed Brian Barrett of                                                                                                                                                                                                                               	|as one of his defense attorneys .                                                                                                                                                                                                                                                                           
FIGER_filtered_with_OntoNotes_test      	Orlando                                                                                             	He worked with the city of                                                                                                                                                                                                                                                                                  	|to negotiate an agreement with the Orlando Magic for a new downtown arena and with senior management planning a new Madison Square Garden in New York City .                                                                                                                                                
FIGER_filtered_with_OntoNotes_test      	Seattle                                                                                             	The Seattle Coalition on Homelessness counted 2,442 people sleeping on the streets of                                                                                                                                                                                                                       	|last year in its annual One Night Count .                                                                                                                                                                                                                                                                   
FIGER_filtered_with_OntoNotes_test      	Seattle                                                                                             	The Sanctuary Art Center also has an education program , which is partnered with the Interagency Academy , an alternative school in                                                                                                                                                                         	|that allows young adults to get credit toward their GEDs by participating in the program .                                                                                                                                                                                                                  
FIGER_filtered_with_OntoNotes_test      	Chicago                                                                                             	He was born in Jackson , Miss. , but was raised in                                                                                                                                                                                                                                                          	|.                                                                                                                                                                                                                                                                                                           
FIGER_filtered_with_OntoNotes_test      	Vancouver                                                                                           	Newly elected fellows are invited to attend the annual Fellows Forum , held this year in                                                                                                                                                                                                                    	|, B.C .                                                                                                                                                                                                                                                                                                     
FIGER_filtered_with_OntoNotes_test      	Seattle                                                                                             	" My direction to city staff and our experts is to focus on two goals : 1 ) Seriously explore and consider the opportunity , and 2 ) Ensure that taxpayers and the city of                                                                                                                                  	|are protected , particularly in light of the public 's direction through I-91 , " McGinn said in an emailed statement .                                                                                                                                                                                     
FIGER_filtered_with_OntoNotes_test      	Seattle                                                                                             	McGinn said Friday that his office was approached last year by " a private party interested in making a significant investment to construct a new arena in                                                                                                                                                  	|. "                                                                                                                                                                                                                                                                                                         
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------BBN_filtered_with_OntoNotes_test        	Dallas                                                                                              	Mr. Reed admitted he conspired to conceal an agreement not to enforce loan guarantees executed by                                                                                                                                                                                                           	|real-estate developers A. Starke Taylor III and George S. Watson , both of whom were FirstSouth stockholders .                                                                                                                                                                                              
BBN_filtered_with_OntoNotes_test        	Yokohama                                                                                            	It is the largest private-sector landowner of the Minato-Mirai 21 project , a multibillion-yen development in the port city of                                                                                                                                                                              	|, about an hour outside Tokyo .                                                                                                                                                                                                                                                                             
BBN_filtered_with_OntoNotes_test        	New York                                                                                            	Nicholas Parks , a                                                                                                                                                                                                                                                                                          	|money manager , expects the market to decline about 15 % .                                                                                                                                                                                                                                                  
BBN_filtered_with_OntoNotes_test        	San Francisco                                                                                       	A                                                                                                                                                                                                                                                                                                           	|lawyer , Mr. Panelli rowed religiously when he first got the machine , but , he complains , it left grease marks on his carpet , `` and it was boring .                                                                                                                                                     
BBN_filtered_with_OntoNotes_test        	Minneapolis                                                                                         	Charles D. Phipps Sr. , Hermitage , Pa. , fined $ 10,000 ; David Scott Rankin , Lake St. Louis , Mo . , $ 15,000 ; Leigh A. Sanderoff , Gaithersburg , Md . , fined $ 45,000 , ordered to disgorge $ 12,252 ; Sandra Ann Smith , Ridgefield , N.J. , $ 15,000 ; James G. Spence , Aloha , Ore. , $ 5,000 and six-month suspension ; Mona Sun , Jamaica Estates , N.Y. , $ 60,000 ; William Swearingen ,	|, $ 15,000 and six-month suspension ; John Bew Wong , San Francisco , $ 25,000 ; Rabia M. Zayed , San Francisco , $ 50,000 .                                                                                                                                                                                
BBN_filtered_with_OntoNotes_test        	Bridgeville                                                                                         	The following were barred or , where noted , suspended and consented to findings without admitting or denying wrongdoing : Edward L. Cole , Jackson , Miss . , $ 10,000 fine ; Rita Rae Cross , Denver , $ 2,500 fine and 30-day suspension ; Thomas Richard Meinders , Colorado Springs , Colo. , $ 2,000 fine , five-day suspension and eight-month suspension as a principal ; Ronald A. Cutrer , Baton Rouge , La . , $ 15,000 fine and one-month suspension ; Karl Grant Hale , Midvale , Utah , $ 15,000 fine ; Clinton P. Hayne , New Orleans , $ 7,500 fine and one-week suspension ; Richard M. Kane , Coconut Creek , Fla. , $ 250,000 fine ; John B. Merrick , Aurora , Colo. , $ 1,000 fine and 10-day suspension ; John P. Miller , Baton Rouge , $ 2,000 fine and two-week suspension ; Randolph K. Pace , New York , $ 10,000 fine and 90-day suspension ; Brian D. Pitcher , New Providence , N.J. , $ 30,000 fine ; Wayne A. Russo ,	|, Pa. , $ 4,000 fine and 15-day suspension ; Orville Leroy Sandberg , Aurora , Colo. , $ 3,500 fine and 10-day suspension ; Richard T. Marchese , Las Vegas , Nev. , $ 5,000 and one-year suspension ; Eric G. Monchecourt , Las Vegas , $ 5,000 and one-year suspension ; and Robert Gerhard Smith , Carson City , Nev. , two-year suspension .
BBN_filtered_with_OntoNotes_test        	Chicago                                                                                             	Arbitrage simply transfers his selling pressure from Chicago to New York , while functioning as a buyer in                                                                                                                                                                                                  	|.                                                                                                                                                                                                                                                                                                           
BBN_filtered_with_OntoNotes_test        	San Francisco                                                                                       	The proprietor of Sante West , an aerobics studio in                                                                                                                                                                                                                                                        	|'s Marina district , which was hit hard by the earthquake , says , `` People were going nuts the minute we opened , '' three days after the quake .                                                                                                                                                         
BBN_filtered_with_OntoNotes_test        	Moscow                                                                                              	They believe technology is one of their best bets , and some Soviet officials say                                                                                                                                                                                                                           	|will even consider declassifying military know-how if the price is right .                                                                                                                                                                                                                                  
BBN_filtered_with_OntoNotes_test        	New York                                                                                            	Suffice it to say that if this were a                                                                                                                                                                                                                                                                       	|Yankees-Mets series , or one between the Chicago Cubs and White Sox -LRB- hey , it 's possible -RRB- , you 'd need uniformed police in every other seat to separate opposing fans , and only the suicidal would bifurcate their bonnets .                                                                   
BBN_filtered_with_OntoNotes_test        	Tokyo                                                                                               	Jay Goldinger , who often trades overnight for Capital Insight Inc. , Beverly Hills , Calif. , said trading in                                                                                                                                                                                              	|was `` very active '' but highly volatile .                                                                                                                                                                                                                                                                 
BBN_filtered_with_OntoNotes_test        	New York                                                                                            	Last week , the U.S. Court of Appeals in                                                                                                                                                                                                                                                                    	|upheld a $ 5.5 million award of attorneys fees to the defunct league .                                                                                                                                                                                                                                      
BBN_filtered_with_OntoNotes_test        	Tokyo                                                                                               	In early trading in                                                                                                                                                                                                                                                                                         	|Tuesday , the Nikkei index rose 35.28 points to 35452.72 .                                                                                                                                                                                                                                                  
BBN_filtered_with_OntoNotes_test        	Alexandria                                                                                          	The bribery scheme took place between 1982 and 1985 , according to documents filed by prosecutors in connection with Mr. Lavelle 's guilty plea in federal district court in                                                                                                                                	|, Va .                                                                                                                                                                                                                                                                                                      
BBN_filtered_with_OntoNotes_test        	Hartford                                                                                            	The $ 2.25 billion value claimed by Northeast , based in                                                                                                                                                                                                                                                    	|, Conn. , is the highest yet given to a bid .                                                                                                                                                                                                                                                               
BBN_filtered_with_OntoNotes_test        	New York                                                                                            	U.S. and Soviet negotiators opened talks in                                                                                                                                                                                                                                                                 	|aimed at resolving differences in proposals to reduce chemical-weapons arsenals .                                                                                                                                                                                                                           
BBN_filtered_with_OntoNotes_test        	Chicago                                                                                             	disengage itself from a 20-year-old commitment to this system of school governance , even as                                                                                                                                                                                                                	|and other cities are moving to institute it .                                                                                                                                                                                                                                                               
BBN_filtered_with_OntoNotes_test        	Arlington                                                                                           	General Motors Corp. said it will temporarily idle its                                                                                                                                                                                                                                                      	|, Texas , assembly plant for one week beginning Monday because of slow sales .                                                                                                                                                                                                                              
BBN_filtered_with_OntoNotes_test        	Irvine                                                                                              	And 81 % preferred a group practice or health maintenance organization , while just 11 % favored solo practice . `` Ten years ago , a physician would go to a town and take out a loan -LRB- to start a practice -RRB- , '' says James Merritt , president of Merritt , Hawkins & Associates , an           	|, Calif. , physician recruiter that conducted the survey .                                                                                                                                                                                                                                                  
BBN_filtered_with_OntoNotes_test        	Toronto                                                                                             	ESB said it was given only a three-hour advance warning on a `` take it or leave it '' basis from Inco , as the                                                                                                                                                                                             	|company is called .                                                                                                                                                                                                                                                                                         
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------Choi_filtered_with_OntoNotes_test       	the neighbouring town of Lannion                                                                    	His grandfather , having made a small fortune with his fishing-shack , bought a house at Treguier and settled there , and his father , captain of a small cutter and an ardent republican , married the daughter of a Royalist tradesman from                                                               	|.                                                                                                                                                                                                                                                                                                           
Choi_filtered_with_OntoNotes_test       	Venice                                                                                              	The `` Deepwater Horizon '' drilling rig , owned by Swiss-based Transocean , sank April 22 some 52 km off                                                                                                                                                                                                   	|, after burning for roughly 36 hours .                                                                                                                                                                                                                                                                      
Choi_filtered_with_OntoNotes_test       	Chattanooga , Tenn.                                                                                 	Capt. Felix Tran , assigned to Air Mobility Command , will be sentenced Sept. 23 in                                                                                                                                                                                                                         	|.                                                                                                                                                                                                                                                                                                           
Choi_filtered_with_OntoNotes_test       	London -LRB- UK -RRB-                                                                               	Started in                                                                                                                                                                                                                                                                                                  	|, there are now conferences in Berlin -LRB- Germany -RRB- , Florence -LRB- Italy -RRB- , Moscow -LRB- Russia -RRB- , Vienna -LRB- Austria -RRB- and other major cities .                                                                                                                                    
Choi_filtered_with_OntoNotes_test       	Edmonds , Mukilteo , and Seattle                                                                    	The North Line originates at Everett Station and continues south , serving                                                                                                                                                                                                                                  	|.                                                                                                                                                                                                                                                                                                           
Choi_filtered_with_OntoNotes_test       	it                                                                                                  	Unlike the Maronites , Israel 's Jews will not let themselves become the weakest force in a system of private armies ; Jerusalem will become Belfast before                                                                                                                                                 	|becomes Beirut .                                                                                                                                                                                                                                                                                            
Choi_filtered_with_OntoNotes_test       	Pennsylvania , Michigan , Colorado , Ohio and New York                                              	In subsequent years , Ella worked as a trade union organizer and helped during industrial disputes in                                                                                                                                                                                                       	|.                                                                                                                                                                                                                                                                                                           
Choi_filtered_with_OntoNotes_test       	The city                                                                                            	                                                                                                                                                                                                                                                                                                            	|became part of the independent nation of Kenya in the 20th century .                                                                                                                                                                                                                                        
Choi_filtered_with_OntoNotes_test       	Sandy Hook                                                                                          	Shortly thereafter the Signal Corps became alarmed that their radar work was being observed by German spies , and moved development to                                                                                                                                                                      	|at Fort Hancock , the coast artillery defense site for Lower New York Bay .                                                                                                                                                                                                                                 
Choi_filtered_with_OntoNotes_test       	Sinaloa , Mexico                                                                                    	Associated Press Writer Ricardo Gonzalez contributed to this report from                                                                                                                                                                                                                                    	|.                                                                                                                                                                                                                                                                                                           
Choi_filtered_with_OntoNotes_test       	Fordham Essex                                                                                       	                                                                                                                                                                                                                                                                                                            	|is arguably the most important of these towns , but all were held by Norman nobles in the 11th century .                                                                                                                                                                                                    
Choi_filtered_with_OntoNotes_test       	every single person , parlement and military , everyone                                             	This is called Rule of Law and it governs                                                                                                                                                                                                                                                                   	|.                                                                                                                                                                                                                                                                                                           
Choi_filtered_with_OntoNotes_test       	the Victoria Aces                                                                                   	South Australia hosted the New South Wales Patriots at Norwood Oval , Adelaide for the semi-final series , while                                                                                                                                                                                            	|hosted the championship series at La Trobe University , Melbourne .                                                                                                                                                                                                                                         
Choi_filtered_with_OntoNotes_test       	Arua town                                                                                           	In the late 1970s the Ugandan president at the time Godfrey Binaisa declared that all districts / provinces acquire their names from their regional capital so that is how Arua district inherited the name from                                                                                            	|.                                                                                                                                                                                                                                                                                                           
Choi_filtered_with_OntoNotes_test       	Pakistan in a daring night raid by the US                                                           	May brought the news that Osama bin Laden was found and killed in                                                                                                                                                                                                                                           	|.                                                                                                                                                                                                                                                                                                           
Choi_filtered_with_OntoNotes_test       	Gloucestershire                                                                                     	The Faringdon rural district bordered                                                                                                                                                                                                                                                                       	|to the north west , Wiltshire to the west and Oxfordshire and the River Thames to the north .                                                                                                                                                                                                               
Choi_filtered_with_OntoNotes_test       	course                                                                                              	We , of                                                                                                                                                                                                                                                                                                     	|, will bring the word to you just as soon as the Army and coalition forces do take control of Saddam Hussein International Airport , just on the outskirts of Baghdad .                                                                                                                                     
Choi_filtered_with_OntoNotes_test       	Montreal and Toronto                                                                                	In tennis the airline sponsors the Dubai Tennis Championships , and the Canadian Open tennis championships held in                                                                                                                                                                                          	|.                                                                                                                                                                                                                                                                                                           
Choi_filtered_with_OntoNotes_test       	Babylon                                                                                             	She returned via Germany , Syria and Mesopotamian sites in Iraq such as Ur and                                                                                                                                                                                                                              	|.                                                                                                                                                                                                                                                                                                           
Choi_filtered_with_OntoNotes_test       	Oxford                                                                                              	He studied at St Clare 's International School in                                                                                                                                                                                                                                                           	|and then at Bocconi University in Milan .                                                                                                                                                                                                                                                                   
