OntoNotes_train                         	Bush administration                                                                                 	                                                                                                                                                                                                                                                                                                            	|officials say inflation is under control .                                                                                                                                                                                                                                                                  
OntoNotes_train                         	al-Jazeera                                                                                          	Since the                                                                                                                                                                                                                                                                                                   	|TV station logo is on , people should be quite familiar with al-Jazeera TV station .                                                                                                                                                                                                                        
OntoNotes_train                         	Laura                                                                                               	but                                                                                                                                                                                                                                                                                                         	|was able to help her with the book a bit , you know by her sort of secretly wanting her to read it . and tell what sections are where                                                                                                                                                                       
OntoNotes_train                         	Gorbachev                                                                                           	So every time a Bush official raises a doubt about Mr.                                                                                                                                                                                                                                                      	|, the Washington community shouts `` Cold War '' and `` timidity , '' and an administration spokesman is quickly trotted out to reply , `` Mr. Bush wants perestroika to succeed . ''                                                                                                                       
OntoNotes_train                         	The                                                                                                 	                                                                                                                                                                                                                                                                                                            	|NTUST College of Management attracted nearly 500 applicants with over 10 years of work experience for 20 spots in its executive management program beginning in 1999 .                                                                                                                                      
OntoNotes_train                         	Saul                                                                                                	The messengers told                                                                                                                                                                                                                                                                                         	|'s message to the people at Jabesh , and they were very happy .                                                                                                                                                                                                                                             
OntoNotes_train                         	talk                                                                                                	In his                                                                                                                                                                                                                                                                                                      	|in Toronto on 22nd with Jiahua Zou , visiting vice-premier of the Chinese State Council , McLauren , minister of Canada 's International Trade , said that he has just returned from a visit to China , and that the rapid development of the Chinese economy has left a deep impression on him .           
OntoNotes_train                         	announced                                                                                           	Someone recently                                                                                                                                                                                                                                                                                            	|that they wanted to inmport some Indian ' put-put ' three-wheeled taxis to ply for hire in the middle of London-LRB-we already have a few pedal-powered rickshaws-RRB - ; I do n't know if that will ever come to pass .                                                                                    
OntoNotes_train                         	pizza delivery                                                                                      	A                                                                                                                                                                                                                                                                                                           	|helped police nab the suspect in the kidnapping of a 9-year-old California girl .                                                                                                                                                                                                                           
OntoNotes_train                         	World Trade                                                                                         	Other management experts note that once Taiwan joins the                                                                                                                                                                                                                                                    	|Organization-LRB-WTO-RRB - , foreign universities will be able to recruit students directly in Taiwan , and that with the Ministry of Education asking national universities to come up with a portion of their own funding , universities are doubly motivated to establish programs of this sort .        
OntoNotes_train                         	running                                                                                             	But attention also rivets on who finishes last , and Pine Bluff , Ark. -- which finished third to last in 1981 and second to last in 1985 -- is certainly in the                                                                                                                                            	|.                                                                                                                                                                                                                                                                                                           
OntoNotes_train                         	Charles                                                                                             	`` We 've got to get out of the Detroit mentality and be part of the world mentality , '' declares                                                                                                                                                                                                          	|M. Jordan , GM 's vice president for design , in explaining his pilgrimage to the Tokyo Show .                                                                                                                                                                                                              
OntoNotes_train                         	Rush                                                                                                	`` Mad                                                                                                                                                                                                                                                                                                      	|'' began its life as the accompaniment to the Dalai Lama 's first public address in the U.S. , when Mr. Glass played it on the organ at New York 's Cathedral of St. John the Divine .                                                                                                                      
OntoNotes_train                         	U.S.                                                                                                	Using testers could be controversial with financial institutions , but Mr. Grohl said the                                                                                                                                                                                                                   	|League of Savings Institutions had n't yet taken any position on the matter .                                                                                                                                                                                                                               
OntoNotes_train                         	Prosecutors                                                                                         	                                                                                                                                                                                                                                                                                                            	|in Taitung have been investigating county councilors for alleged corruption involving public grants and construction projects , and after half a year of the investigation 19 representatives have been indicted , including the current speaker and deputy speaker of the county council , along with 41 members of the previous two sessions of the council .
OntoNotes_train                         	officer                                                                                             	Robert P. Bulseco , 44 years old , was named president and chief administrative                                                                                                                                                                                                                             	|of this regional commercial bank .                                                                                                                                                                                                                                                                          
OntoNotes_train                         	Speaker                                                                                             	Mr. Ronnie Alfa , well , despite all that went on in Lebanon today , there is still some hope pinned , in some way or another , on                                                                                                                                                                          	|Nabih Berri to play a certain role towards resolution , towards returning to the discussion table , and so forth .                                                                                                                                                                                          
OntoNotes_train                         	CEO                                                                                                 	Tyco 's                                                                                                                                                                                                                                                                                                     	|and President Dennis Kozlowski and the last time I looked , he was sailing around Martha Vinyard on his yacht .                                                                                                                                                                                             
OntoNotes_train                         	hurts                                                                                               	It is better not to eat meat or drink wine or do anything else that                                                                                                                                                                                                                                         	|the faith of your brother or sister .                                                                                                                                                                                                                                                                       
OntoNotes_train                         	Executives                                                                                          	                                                                                                                                                                                                                                                                                                            	|at Olivetti , whose earnings have been steadily sliding over the past couple of years , have acknowledged that in the past they have lagged at getting new technology to market .                                                                                                                           
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------OntoNotes_test                          	the dissenters                                                                                      	Justice Stevens , 69 , is probably the most philosophical of                                                                                                                                                                                                                                                	|about his role , in part because he may be the least liberal of the four , but also because he enjoys the intellectual challenge of arguing with the majority more than the others .                                                                                                                        
OntoNotes_test                          	some people                                                                                         	`` I think there 's                                                                                                                                                                                                                                                                                         	|worried about something pretty ridiculous , '' Councilman John Nolan says .                                                                                                                                                                                                                                 
OntoNotes_test                          	The representative to Shanghai 's Mayor , and Municipal Foreign Economic and Trade Committee Director , Zukang Wang	                                                                                                                                                                                                                                                                                                            	|went to the airport to escort the US guests .                                                                                                                                                                                                                                                               
OntoNotes_test                          	Schwab customers                                                                                    	Hugo Quackenbush , senior vice president at Charles Schwab Corp. , the San Francisco - based discount brokerage firm , said he did n't expect any immediate problems with margin calls for                                                                                                                  	|.                                                                                                                                                                                                                                                                                                           
OntoNotes_test                          	Alan Seelenfreund , 52 years old ,                                                                  	                                                                                                                                                                                                                                                                                                            	|was named chairman of this processor of prescription claims , succeeding Thomas W. Field Jr. , 55 , who resigned last month .                                                                                                                                                                               
OntoNotes_test                          	Neil Weisman                                                                                        	                                                                                                                                                                                                                                                                                                            	|, whose New York - based Chilmark Capital Partners had converted 85 % of its $ 220 million investment pool to cash in recent months , said he was besieged by Wall Street firms Friday asking him to take stock off their hands .                                                                           
OntoNotes_test                          	students                                                                                            	At the beginning of 1993 , six cities such as Zhuhai , Foshan , etc. also organized a delegation to advertise in the US and Canada for                                                                                                                                                                      	|studying abroad .                                                                                                                                                                                                                                                                                           
OntoNotes_test                          	more than 85 % of the nation 's computer users                                                      	This simple , convenient and efficient input method covers                                                                                                                                                                                                                                                  	|, and has become the input technology of Chinese characters which dominates the leading position in our nation .                                                                                                                                                                                            
OntoNotes_test                          	specialists , technicians and managers                                                              	It will soon promulgate documents such as '' Detailed rules for implementing temporary regulations on resignations of                                                                                                                                                                                       	|in state - owned units '' and '' Supplementary regulations of Guangdong Province on the management of Chinese side cadres in foreign investment enterprises '' , etc .                                                                                                                                      
OntoNotes_test                          	former president Nixon                                                                              	What makes Mao - tai even more famous is that first generation leaders of new China had used it to entertain distinguished guests such as                                                                                                                                                                   	|of the US , Tanaka Kakuei , former prime minister of Japan , etc .                                                                                                                                                                                                                                          
OntoNotes_test                          	Rosie                                                                                               	She was raised , for the first eight years , by her mother ,                                                                                                                                                                                                                                                	|, whom she remembers as a loving liar , who realigned history to explain why Lily 's father did n't live with them .                                                                                                                                                                                        
OntoNotes_test                          	Dirk Van Dongen , president of the National Association of Wholesaler - Distributors ,              	But                                                                                                                                                                                                                                                                                                         	|said that last month 's rise `` is n't as bad an omen '' as the 0.9 % figure suggests .                                                                                                                                                                                                                     
OntoNotes_test                          	The dissenters                                                                                      	                                                                                                                                                                                                                                                                                                            	|in the Warren Court , he says , appeared to be writing for the short - term , suggesting that the court 's direction might change soon .                                                                                                                                                                    
OntoNotes_test                          	the People                                                                                          	The Wangma Computer Company , a high science and technology enterprise in Beijing 's Zhongguan village , held a press conference in the Great Hall Of                                                                                                                                                       	|on January 4th and announced : to meet urgent demands for office automation of all Party departments , the government and the army , it was decided to '' open '' a whole set of top - quality products of Wangma Software , which can profit more than one million yuan , to the home , all in the way to non-encoded floppy disks , exempting technical fees , so that all domestic computer users can copy and use .
OntoNotes_test                          	his delegation                                                                                      	Brown and                                                                                                                                                                                                                                                                                                   	|left Shanghai for Guangzhou tonight .                                                                                                                                                                                                                                                                       
OntoNotes_test                          	Ms. Cunningham                                                                                      	Little Lily , as                                                                                                                                                                                                                                                                                            	|calls herself in the book , really was n't ordinary .                                                                                                                                                                                                                                                       
OntoNotes_test                          	Committee member of the CCP Central Politburo , and Secretary of the Shanghai Municipal Party Committee , Bangguo Wu	                                                                                                                                                                                                                                                                                                            	|met with Brown this afternoon and introduced the progress and development prospects of reforms and opening up in Shanghai .                                                                                                                                                                                 
OntoNotes_test                          	the Uruguayan guests                                                                                	In his meeting with                                                                                                                                                                                                                                                                                         	|, Qichen Qian expressed welcome over the visit by vice Foreign Affairs Minister Kamyao and the political consultations in progress .                                                                                                                                                                        
OntoNotes_test                          	any of the Springfield Gardens , N.Y. , company 's officials or employees                           	Neither Vitarine nor                                                                                                                                                                                                                                                                                        	|have been charged with any crimes .                                                                                                                                                                                                                                                                         
OntoNotes_test                          	reporters Hongwei Hu and Jicheng Chai                                                               	Xinhua News Agency , Ningbo , February 7th , by                                                                                                                                                                                                                                                             	|                                                                                                                                                                                                                                                                                                            
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------FIGER_filtered_with_OntoNotes_test      	Spencer                                                                                             	“ I thought it was an opportunity for me to still be in the military and be a veterinarian , ” said                                                                                                                                                                                                         	|, as he prefers to be called .                                                                                                                                                                                                                                                                              
FIGER_filtered_with_OntoNotes_test      	Rogers                                                                                              	                                                                                                                                                                                                                                                                                                            	|, the UW ’s leading scorer ( 16.2 points per game ) and rebounder ( 7.8 ) , will be a game-time decision against Washington State .                                                                                                                                                                         
FIGER_filtered_with_OntoNotes_test      	Balth                                                                                               	In                                                                                                                                                                                                                                                                                                          	|’s work “ Artwork without the Tulipman , ” Balth took a Polaroid of a building and scratched the photo with his nails before removing the film .                                                                                                                                                            
FIGER_filtered_with_OntoNotes_test      	Bruce Cox                                                                                           	" This afternoon Judge Main granted a defense motion for a mistrial , " county Court Clerk                                                                                                                                                                                                                  	|said in a message left with the Enterprise .                                                                                                                                                                                                                                                                
FIGER_filtered_with_OntoNotes_test      	Sara Osborne                                                                                        	                                                                                                                                                                                                                                                                                                            	|, Safeway ’s public and government affairs director , said the store has had one or two complaints over the years regarding customers disliking McClain ’s solicitation outside the store , but she said it has been years since they ’ve received a complaint .                                            
FIGER_filtered_with_OntoNotes_test      	Balth                                                                                               	“ That ’s what I love about                                                                                                                                                                                                                                                                                 	|’s art .                                                                                                                                                                                                                                                                                                    
FIGER_filtered_with_OntoNotes_test      	Taing                                                                                               	“ All the South Asian groups are pretty close with each other and communicate with each other fairly often , but that is not being done at all with ASC , ”                                                                                                                                                 	|said .                                                                                                                                                                                                                                                                                                      
FIGER_filtered_with_OntoNotes_test      	Barrett                                                                                             	                                                                                                                                                                                                                                                                                                            	|confirmed to the Enterprise earlier this afternoon that Scaringe had dismissed him , though the lawyer initially declined to go into detail as to why .                                                                                                                                                     
FIGER_filtered_with_OntoNotes_test      	Hirsh                                                                                               	A large portion of that was the cost of land ,                                                                                                                                                                                                                                                              	|said .                                                                                                                                                                                                                                                                                                      
FIGER_filtered_with_OntoNotes_test      	Mary Rain                                                                                           	Barrett brought on                                                                                                                                                                                                                                                                                          	|of Ogdensburg as his co-counsel in the case at some point last year .                                                                                                                                                                                                                                       
FIGER_filtered_with_OntoNotes_test      	Rogers                                                                                              	“ I do n’t want to think about that right now , ”                                                                                                                                                                                                                                                           	|said of potentially missing the game .                                                                                                                                                                                                                                                                      
FIGER_filtered_with_OntoNotes_test      	Balth                                                                                               	In an interview with The Seattle Times ,                                                                                                                                                                                                                                                                    	|said his intention in his art is “ to come to the heart of seeing , the core of perception . ”                                                                                                                                                                                                              
FIGER_filtered_with_OntoNotes_test      	Wieczorek                                                                                           	It was the beginning of a passion to which                                                                                                                                                                                                                                                                  	|would devote most of his life .                                                                                                                                                                                                                                                                             
FIGER_filtered_with_OntoNotes_test      	Leight                                                                                              	“ When we go in he ’s barely walking , ”                                                                                                                                                                                                                                                                    	|said .                                                                                                                                                                                                                                                                                                      
FIGER_filtered_with_OntoNotes_test      	Hirsh                                                                                               	                                                                                                                                                                                                                                                                                                            	|worked for former Sonics owner Howard Schultz , when the team was evaluating how to make KeyArena financially profitable .                                                                                                                                                                                  
FIGER_filtered_with_OntoNotes_test      	Claudia Rapkoch                                                                                     	Northwestern Energy spokeswoman                                                                                                                                                                                                                                                                             	|said the outage started at 10:50 a.m .                                                                                                                                                                                                                                                                      
FIGER_filtered_with_OntoNotes_test      	McClain                                                                                             	After 18 years ,                                                                                                                                                                                                                                                                                            	|is still consistently one of the top sellers for Real Change .                                                                                                                                                                                                                                              
FIGER_filtered_with_OntoNotes_test      	Cho                                                                                                 	Investigators suspect                                                                                                                                                                                                                                                                                       	|is in the Los Angeles area .                                                                                                                                                                                                                                                                                
FIGER_filtered_with_OntoNotes_test      	Balth                                                                                               	For Wieczorek ,                                                                                                                                                                                                                                                                                             	|’s work is powerful because of the interplay of different mediums , known as intermedia .                                                                                                                                                                                                                   
FIGER_filtered_with_OntoNotes_test      	Regina Rogers                                                                                       	The biggest cause for concern for McGuff is the bruised hamstring                                                                                                                                                                                                                                           	|suffered against Utah last Saturday .                                                                                                                                                                                                                                                                       
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------BBN_filtered_with_OntoNotes_test        	Brody                                                                                               	`` Most American investors have just given up , '' Mr.                                                                                                                                                                                                                                                      	|says .                                                                                                                                                                                                                                                                                                      
BBN_filtered_with_OntoNotes_test        	Robert M.A . Hirschfeld                                                                             	The disorders , which 20 years ago struck middle-age and older people , `` now strike people at the height of productivity , '' says                                                                                                                                                                        	|, of the National Institute of Mental Health , who spoke at the presentation of the study 's findings .                                                                                                                                                                                                     
BBN_filtered_with_OntoNotes_test        	Peter David Gould                                                                                   	For the Alley production , scene designer                                                                                                                                                                                                                                                                   	|has arranged a stark but extremely effective set featuring a rectangular platform of white-washed boards that extends into the audience .                                                                                                                                                                   
BBN_filtered_with_OntoNotes_test        	Jackson                                                                                             	Why Mr.                                                                                                                                                                                                                                                                                                     	|, who could n't be reached for comment , has made some of his checks available for sale is n't clear .                                                                                                                                                                                                      
BBN_filtered_with_OntoNotes_test        	Sim                                                                                                 	Besides spurring Barry Wright 's sales , which were $ 201.7 million in 1988 , Mr.                                                                                                                                                                                                                           	|must pare its costs and product line . `` The question is how long it 's going to take Barry Wright to make a contribution , '' says F. John Mirek , an analyst at Blunt Ellis Loewi in Milwaukee .                                                                                                         
BBN_filtered_with_OntoNotes_test        	Steinberg                                                                                           	Although takeover experts said they doubted Mr.                                                                                                                                                                                                                                                             	|will make a bid by himself , the application by his Reliance Group Holdings Inc. could signal his interest in helping revive a failed labor-management bid .                                                                                                                                                
BBN_filtered_with_OntoNotes_test        	Bush                                                                                                	The measure drew criticism from the                                                                                                                                                                                                                                                                         	|administration and a parting shot from financier Donald Trump , who yesterday withdrew his takeover bid for AMR Corp. , the parent of American Airlines .                                                                                                                                                   
BBN_filtered_with_OntoNotes_test        	Keating                                                                                             	Sens . John Glenn -LRB- D. , Ohio -RRB- , John McCain , -LRB- R. , Ariz. -RRB- and Alan Cranston -LRB- D. , Calif. -RRB- also received substantial contributions from Mr.                                                                                                                                   	|and sought to intervene on behalf of Lincoln .                                                                                                                                                                                                                                                              
BBN_filtered_with_OntoNotes_test        	Lawson                                                                                              	To make matters even more confusing , the earlier U.S. experience made clear that Mr.                                                                                                                                                                                                                       	|'s tax cuts would have profound effects on Britain 's international accounts and the value of sterling .                                                                                                                                                                                                    
BBN_filtered_with_OntoNotes_test        	Paul Asquith                                                                                        	`` If anything , we 're going to see defaults increase because credit ratings have declined , '' says                                                                                                                                                                                                       	|, associate professor at the Massachusetts Institute of Technology 's Sloan School of Management .                                                                                                                                                                                                          
BBN_filtered_with_OntoNotes_test        	Bush                                                                                                	Hill Democrats are particularly angry over Mr.                                                                                                                                                                                                                                                              	|'s claim that the capital-gains cut was part of April 's budget accord and his insistence on combining it with the deficit-reduction legislation .                                                                                                                                                          
BBN_filtered_with_OntoNotes_test        	Bertram M. Lee                                                                                      	Chicago businessmen                                                                                                                                                                                                                                                                                         	|and Peter Bynoe signed a new agreement to purchase the Denver Nuggets basketball team , but not as principal owners .                                                                                                                                                                                       
BBN_filtered_with_OntoNotes_test        	Mary Farrell                                                                                        	`` The market will have to look for a new theme now and that theme will be a return to growth , '' declares                                                                                                                                                                                                 	|, a PaineWebber analyst .                                                                                                                                                                                                                                                                                   
BBN_filtered_with_OntoNotes_test        	McDuffie                                                                                            	It was also at Juilliard that Mr.                                                                                                                                                                                                                                                                           	|discovered his predilection for conservative , 20th-century American composers such as David Diamond and Samuel Barber .                                                                                                                                                                                    
BBN_filtered_with_OntoNotes_test        	Donald K. Crowley                                                                                   	`` They -LCB- BankAmerica -RCB- continue to show good performance , '' said                                                                                                                                                                                                                                 	|, an analyst with Keefe , Bruyette & Woods Inc. , San Francisco .                                                                                                                                                                                                                                           
BBN_filtered_with_OntoNotes_test        	Jackson                                                                                             	An initial batch of Mr.                                                                                                                                                                                                                                                                                     	|'s checks was on sale at a baseball-card show held in San Francisco over Labor Day weekend .                                                                                                                                                                                                                
BBN_filtered_with_OntoNotes_test        	Frank                                                                                               	Mr.                                                                                                                                                                                                                                                                                                         	|told Mr. Pilson that Olympics officials wanted $ 290 million or more for TV rights to the 1994 Winter Games in Norway .                                                                                                                                                                                     
BBN_filtered_with_OntoNotes_test        	Cranston                                                                                            	House Banking Committee Chairman Henry Gonzalez -LRB- D. , Texas -RRB- said Sen.                                                                                                                                                                                                                            	|volunteered to appear before the House committee , if necessary .                                                                                                                                                                                                                                           
BBN_filtered_with_OntoNotes_test        	Brady                                                                                               	Mr.                                                                                                                                                                                                                                                                                                         	|also said he expects the leveraged buy-out phenomenon to `` end under -LRB- its -RRB- own weight . ''                                                                                                                                                                                                       
BBN_filtered_with_OntoNotes_test        	Brody                                                                                               	In the 1970s , Mr.                                                                                                                                                                                                                                                                                          	|helped develop the first display panels based on active-matrix liquid crystals at Westinghouse Electric Corp. 's research labs in Pittsburgh .                                                                                                                                                              
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------Choi_filtered_with_OntoNotes_test       	I                                                                                                   	                                                                                                                                                                                                                                                                                                            	|can remember people coming to my office , trying to get forms faxed through to the Australian Electoral Commission .                                                                                                                                                                                        
Choi_filtered_with_OntoNotes_test       	they                                                                                                	`` It is very scary _ 23 , killed in two days and police said                                                                                                                                                                                                                                               	|killed only four ?                                                                                                                                                                                                                                                                                          
Choi_filtered_with_OntoNotes_test       	The key                                                                                             	                                                                                                                                                                                                                                                                                                            	|is going to fwo see whether or not Khatami actually does signal that he is going to be heeding the word of President Bush and backing off in some way in supporting Hezbollah .                                                                                                                             
Choi_filtered_with_OntoNotes_test       	it                                                                                                  	The voters recoiled but                                                                                                                                                                                                                                                                                     	|does not as yet make her history .                                                                                                                                                                                                                                                                          
Choi_filtered_with_OntoNotes_test       	They                                                                                                	"                                                                                                                                                                                                                                                                                                           	|started getting dizzy , " polo club spokesman Tim O'Connor told The Palm Beach Post . "                                                                                                                                                                                                                     
Choi_filtered_with_OntoNotes_test       	he                                                                                                  	The Bordeaux defenders failed to spot Lampard 's run through the middle as                                                                                                                                                                                                                                  	|arrived unmarked to head home a rightwing cross by rightback Jose Bosingwa to open Chelsea 's account .                                                                                                                                                                                                     
Choi_filtered_with_OntoNotes_test       	a concert artist and composer                                                                       	While pursuing a busy career as                                                                                                                                                                                                                                                                             	|, he teaches students throughout the U.S. , Canada , Europe , and Africa , as well as India .                                                                                                                                                                                                               
Choi_filtered_with_OntoNotes_test       	They                                                                                                	"                                                                                                                                                                                                                                                                                                           	|, like the other children , are listed as missing . "                                                                                                                                                                                                                                                       
Choi_filtered_with_OntoNotes_test       	one line of his mother                                                                              	Through DNA tests -LRB- as aired on the 2006 PBS documentary African American Lives -RRB- , Tucker 's paternal ancestry was traced back to the Mbundu ethnic group of Angola and                                                                                                                            	|'s to the Bamileke of Cameroon .                                                                                                                                                                                                                                                                            
Choi_filtered_with_OntoNotes_test       	He                                                                                                  	Another mother said : "                                                                                                                                                                                                                                                                                     	|is the first Arab leader to attack Israel since Saddam Hussein , " referring to the ousted Iraqi president who rained Scud missiles down on Israel during the 1991 Gulf war . "                                                                                                                             
Choi_filtered_with_OntoNotes_test       	he                                                                                                  	Buckmaster was promoted through the ranks until 1934 when , with the rank of Commander ,                                                                                                                                                                                                                    	|would commission USS '' Farragut '' as her first Commanding Officer .                                                                                                                                                                                                                                       
Choi_filtered_with_OntoNotes_test       	they                                                                                                	Initially scheduled to arrive Dec. 31 ,                                                                                                                                                                                                                                                                     	|were rerouted to the east Sumatran city of Medan because the Banda Aceh airstrip was unavailable .                                                                                                                                                                                                          
Choi_filtered_with_OntoNotes_test       	the varsity football coach                                                                          	Debbie Vance , of Lehman High Schoolin the Bronx , has been                                                                                                                                                                                                                                                 	|there for the past two seasons .                                                                                                                                                                                                                                                                            
Choi_filtered_with_OntoNotes_test       	her                                                                                                 	American Yettaw is on trial in the military - run nation alongside democracy icon Suu Kyi and two of                                                                                                                                                                                                        	|female aides for swimming to her lakeside home in May -- he says to warn her of his vision she would be assassinated .                                                                                                                                                                                      
Choi_filtered_with_OntoNotes_test       	he                                                                                                  	`` Spam cases are resource - intensive , ''                                                                                                                                                                                                                                                                 	|said . ``                                                                                                                                                                                                                                                                                                   
Choi_filtered_with_OntoNotes_test       	I                                                                                                   	These fans are like the spark plug and                                                                                                                                                                                                                                                                      	|just plugged in and I did n't even think what I was doing , " Garnett said .                                                                                                                                                                                                                                
Choi_filtered_with_OntoNotes_test       	the APPD                                                                                            	With approximately 35,000 , or 0.1 % , of the votes ,                                                                                                                                                                                                                                                       	|outperformed Lyndon LaRouche 's '' BuSo '' and also the German Communist Party DKP .                                                                                                                                                                                                                        
Choi_filtered_with_OntoNotes_test       	He                                                                                                  	                                                                                                                                                                                                                                                                                                            	|wrote under the pen name Glauceste Saturnio , and his most famous work is the epic poem Vila Rica , that tells the history of the homonymous city , nowadays called Ouro Preto .                                                                                                                            
Choi_filtered_with_OntoNotes_test       	Ross MacDonald in the men 's Star event                                                             	He won a bronze medal with                                                                                                                                                                                                                                                                                  	|at the 1992 Summer Olympics and finished 14th at the 1996 Summer Olympics with in the same event .                                                                                                                                                                                                          
Choi_filtered_with_OntoNotes_test       	borough president                                                                                   	Mr. Sutton recalls : `` When I left , I sat down with Charlie-LCB-Rangel-RCB - , Basil-LCB-Paterson-RCB-and David , and David said , ` Who will run for                                                                                                                                                     	|? ' And I said , ` You will . ' ''                                                                                                                                                                                                                                                                          
